"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L"
"ARMCacheCoherence-PT-none","1","300.00","137460","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","1","300.02","223524","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","1","1.95","8080","FALSE","FALSE","846","1148","345","719","445","29","20","8","0","0","0","0","0","18","0","0"
"ASLink-PT-02a","1","300.00","135236","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","3.77","9252","FALSE","FALSE","1242","1621","477","892","666","46","33","10","0","3","0","0","0","34","0","0"
"ASLink-PT-03a","1","300.01","160456","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","1","300.00","232968","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","1","300.00","161260","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","1","300.01","160664","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-05a","1","3.17","9564","FALSE","FALSE","1211","1827","857","1534","201","58","71","20","0","10","0","0","0","49","0","0"
"ASLink-PT-05b","1","13.12","12464","TRUE","FALSE","2430","3040","869","1555","1348","93","76","20","0","10","0","0","0","69","0","0"
"ASLink-PT-06a","1","35.81","23556","TRUE","FALSE","1406","2100","988","1755","237","68","84","23","0","12","0","0","0","58","0","0"
"ASLink-PT-06b","1","300.01","149112","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-07a","1","300.00","113448","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-07b","1","300.00","85148","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-08a","1","31.61","17296","FALSE","FALSE","1796","2646","1252","2199","308","86","110","29","0","16","0","0","0","76","0","0"
"ASLink-PT-08b","1","300.01","288536","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-09a","1","300.00","61080","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-09b","1","300.00","93568","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-10a","1","300.00","111992","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-10b","1","300.00","132808","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0010","1","0.06","6600","TRUE","FALSE","89","88","56","88","0","0","1","0","0","32","0","0","0","0","0","0"
"AirplaneLD-PT-0020","1","0.07","6980","FALSE","FALSE","159","168","94","166","0","2","1","0","0","62","0","0","0","0","0","0"
"AirplaneLD-PT-0050","1","0.43","6984","TRUE","FALSE","369","408","7","6","1","0","0","49","0","155","124","0","1","0","0","0"
"AirplaneLD-PT-0100","1","1.72","8460","FALSE","FALSE","719","808","106","201","2","103","0","100","0","305","201","0","1","0","0","0"
"AirplaneLD-PT-0200","1","3.79","12936","FALSE","FALSE","1419","1608","1115","1407","0","101","1","100","0","202","0","0","0","0","0","0"
"AirplaneLD-PT-0500","1","64.68","25764","TRUE","FALSE","3519","4008","1264","2509","0","0","0","0","0","1505","750","0","1","0","0","0"
"AirplaneLD-PT-1000","1","300.00","165436","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-2000","1","67.78","91160","TRUE","FALSE","14019","16008","13857","16008","0","0","1","0","0","161","0","0","0","0","0","0"
"AirplaneLD-PT-4000","1","100.29","178568","FALSE","FALSE","28019","32008","27993","32008","0","0","0","0","0","26","0","0","0","0","0","0"
"Angiogenesis-PT-01","1","0.02","6304","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-05","1","0.03","6364","FALSE","FALSE","39","64","26","43","0","1","0","0","0","2","12","0","0","11","0","0"
"Angiogenesis-PT-10","1","0.04","6320","TRUE","FALSE","39","64","26","43","0","4","0","0","0","1","13","0","0","12","0","0"
"Angiogenesis-PT-15","1","0.60","6588","FALSE","FALSE","39","64","25","43","0","3","0","0","0","1","14","0","1","12","0","0"
"Angiogenesis-PT-20","1","0.05","6320","FALSE","FALSE","39","64","24","42","0","4","0","0","0","2","16","0","1","12","0","0"
"Angiogenesis-PT-25","1","300.02","898972","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-50","1","0.24","6320","TRUE","FALSE","39","64","23","40","0","4","0","0","0","2","17","0","1","13","0","0"
"AutoFlight-PT-01a","1","0.02","6192","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-01b","1","0.03","6516","FALSE","FALSE","114","112","14","12","81","8","0","4","0","4","0","0","0","10","0","0"
"AutoFlight-PT-02a","1","0.02","6516","TRUE","FALSE","57","55","41","29","6","12","0","10","0","0","0","0","0","4","0","0"
"AutoFlight-PT-02b","1","0.11","6780","FALSE","FALSE","206","204","17","14","149","16","0","10","0","9","0","0","0","21","0","0"
"AutoFlight-PT-03a","1","0.03","6516","TRUE","FALSE","82","80","58","41","9","18","0","15","0","0","0","0","0","6","0","0"
"AutoFlight-PT-03b","1","0.15","6880","FALSE","FALSE","298","296","4","4","216","24","0","15","0","8","0","0","1","0","0","0"
"AutoFlight-PT-04a","1","0.05","6516","FALSE","FALSE","107","105","78","56","10","20","0","20","0","0","0","0","0","9","0","0"
"AutoFlight-PT-04b","1","0.29","7084","FALSE","FALSE","390","388","23","20","284","31","0","20","0","19","0","0","0","45","0","0"
"AutoFlight-PT-05a","1","0.05","6780","TRUE","FALSE","132","130","97","70","15","24","0","25","0","0","0","0","0","8","0","0"
"AutoFlight-PT-05b","1","0.41","7192","FALSE","FALSE","482","480","22","19","353","40","0","25","0","24","0","0","0","58","0","0"
"AutoFlight-PT-06a","1","0.08","6780","TRUE","FALSE","157","155","114","82","16","30","0","30","0","0","0","0","0","12","0","0"
"AutoFlight-PT-06b","1","0.53","7516","TRUE","FALSE","574","572","89","73","411","41","0","29","0","15","0","0","0","34","0","0"
"AutoFlight-PT-12a","1","0.29","7068","FALSE","FALSE","307","305","35","32","38","68","0","60","0","59","0","0","0","141","0","0"
"AutoFlight-PT-12b","1","2.11","8248","FALSE","FALSE","1126","1124","44","40","826","94","0","60","0","58","0","0","0","139","0","0"
"AutoFlight-PT-24a","1","1.05","7216","FALSE","FALSE","607","605","56","54","73","144","0","120","0","120","0","0","0","286","0","0"
"AutoFlight-PT-24b","1","7.35","10104","FALSE","FALSE","2230","2228","2","2","1646","192","0","120","0","53","0","0","1","0","0","0"
"AutoFlight-PT-48a","1","3.36","7984","TRUE","FALSE","1127","1113","116","112","237","236","0","192","0","202","0","0","0","454","0","0"
"AutoFlight-PT-48b","1","24.58","14592","TRUE","FALSE","3950","3936","439","348","2981","308","0","192","0","115","0","0","0","225","0","0"
"AutoFlight-PT-96a","1","13.98","10852","TRUE","FALSE","2251","2225","220","216","475","476","0","384","0","406","0","0","0","912","0","0"
"AutoFlight-PT-96b","1","72.82","24808","FALSE","FALSE","7894","7868","3564","3538","4330","0","0","0","0","0","0","0","0","0","0","0"
