,model name,query index,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,net size,with-r-last@reduce time,base-rules@answer
0,CSRepetitions-PT-03,4,0.03,0.42,0.07142857142857142,1237501,2413810,0.5126753969865068,139,0.000727,FALSE
1,BART-PT-005,11,0.01,0.12,0.08333333333333334,36601,58201,0.6288723561450834,1880,0.003731,FALSE
2,BART-PT-005,5,0.14,0.24,0.5833333333333334,42951,68151,0.6302328652550953,1880,0.003076,TRUE
3,BART-PT-002,1,0.09,0.23,0.3913043478260869,149,233,0.6394849785407726,878,0.002398,TRUE
4,BART-PT-002,14,0.09,0.21,0.42857142857142855,613,958,0.639874739039666,878,0.003739,TRUE
5,BART-PT-002,5,0.02,0.04,0.5,725,1109,0.6537421100090172,878,0.003858,FALSE
6,BART-PT-005,12,0.01,0.19,0.05263157894736842,245729,374753,0.655709227144279,1880,0.003234,TRUE
7,BART-PT-005,4,0.07,0.18,0.38888888888888895,118357,170101,0.6958042574705616,1880,0.003323,TRUE
8,CSRepetitions-PT-02,4,0.01,0.21,0.04761904761904762,1301,1765,0.7371104815864022,51,0.000125,TRUE
9,BART-PT-010,10,0.01,0.2,0.049999999999999996,45514753,60997633,0.7461724457406405,3550,0.010798,FALSE
10,UtilityControlRoom-PT-Z4T4N04,9,0.02,0.11,0.18181818181818182,15618273,20864289,0.7485648324752403,454,0.000815,FALSE
11,UtilityControlRoom-PT-Z4T4N02,12,0.04,0.45,0.08888888888888889,40141,52837,0.7597138368946004,230,0.000364,FALSE
12,UtilityControlRoom-PT-Z4T4N02,16,0.07,0.15,0.46666666666666673,40141,52837,0.7597138368946004,230,0.000374,FALSE
13,UtilityControlRoom-PT-Z4T4N02,9,0.01,0.1,0.09999999999999999,41171,53207,0.7737891630800459,230,0.000459,FALSE
14,UtilityControlRoom-PT-Z4T4N02,11,0.11,0.07,1.5714285714285714,50911,64627,0.7877667228867192,230,0.000379,TRUE
15,DLCflexbar-PT-7a,15,0.04,0.18,0.22222222222222224,27,34,0.7941176470588235,26232,0.411085,TRUE
16,UtilityControlRoom-PT-Z4T4N04,14,0.07,0.83,0.08433734939759037,14606689,18364513,0.7953757880756217,454,0.000751,FALSE
17,UtilityControlRoom-PT-Z4T4N04,16,0.02,0.09,0.22222222222222224,14606689,18364513,0.7953757880756217,454,0.000749,TRUE
18,TCPcondis-PT-05,7,0.02,0.1,0.19999999999999998,3693016,4622199,0.798973821767518,62,0.0001,TRUE
19,TCPcondis-PT-05,4,0.04,0.1,0.39999999999999997,3693016,4622199,0.798973821767518,62,0.000103,TRUE
20,TCPcondis-PT-05,12,0.01,0.27,0.037037037037037035,4312736,5357428,0.8050012058024858,62,9.7e-05,TRUE
21,UtilityControlRoom-PT-Z4T4N04,13,0.03,0.33,0.0909090909090909,18982905,23570361,0.8053718396591381,454,0.000817,FALSE
22,DLCflexbar-PT-6a,15,0.02,0.11,0.18181818181818182,25,31,0.8064516129032258,18146,0.21021,TRUE
23,DLCflexbar-PT-6a,4,0.01,0.13,0.07692307692307693,25,31,0.8064516129032258,18146,0.235792,FALSE
24,DLCround-PT-11a,16,0.01,0.21,0.04761904761904762,76,94,0.8085106382978723,3370,0.014447,FALSE
25,TCPcondis-PT-05,9,0.02,0.03,0.6666666666666667,5965651,7367641,0.8097097836335945,62,0.000102,FALSE
26,TCPcondis-PT-05,14,0.01,0.09,0.11111111111111112,5965651,7367641,0.8097097836335945,62,9.5e-05,TRUE
27,UtilityControlRoom-PT-Z4T4N04,11,0.08,0.47,0.17021276595744683,18398027,22323998,0.8241367428898713,454,0.000745,FALSE
28,BART-PT-002,12,0.11,0.22,0.5,115,139,0.8273381294964028,878,0.002989,TRUE
29,DLCflexbar-PT-8a,10,0.1,0.01,10.0,68,82,0.8292682926829268,36542,0.853425,FALSE
30,DLCshifumi-PT-6a,5,0.01,0.11,0.09090909090909091,21,25,0.84,29504,0.735616,FALSE
31,IBMB2S565S3960-PT-none,14,0.02,0.47,0.04255319148936171,3098,3672,0.843681917211329,452,0.000775,TRUE
