,model name,query index,base-rules@verification time,with-r@verification time,veri time ratio,base-rules@state space size,with-r@state space size,state space ratio,with-r@reduce time,base-rules@answer,type
489,Eratosthenes-PT-010,5,0.0,0.59,0.0,1,1,1.0,1.6e-05,NONE,EF
490,Eratosthenes-PT-010,4,0.0,0.73,0.0,1,1,1.0,1.7e-05,NONE,EF
414,GPUForwardProgress-PT-28a,2,0.0,0.66,0.0,4,4,1.0,0.000438,FALSE,EF
4,JoinFreeModules-PT-0004,13,0.01,30.13,0.00033189512114171923,1672141,1725957,0.9688196171747037,5.4e-05,TRUE,EF
3,JoinFreeModules-PT-0020,4,0.01,20.02,0.0004995004995004995,83491,90796,0.9195449138728579,0.000169,FALSE,AG
6,JoinFreeModules-PT-0004,6,0.02,20.07,0.000996512207274539,1672141,1699049,0.9841629052487597,5.3e-05,TRUE,AG
2,JoinFreeModules-PT-0200,2,0.04,20.06,0.0019940179461615157,559224451,626556091,0.8925369317014588,0.003528,TRUE,EF
442,FMS-PT-00010,7,0.01,1.67,0.005988023952095809,221,221,1.0,5.2e-05,TRUE,AG
451,FMS-PT-00020,8,0.01,1.65,0.0060606060606060615,41,41,1.0,5.7e-05,FALSE,AG
523,ASLink-PT-01a,6,0.06,9.74,0.006160164271047227,35136997,35040539,1.0027527544596275,0.002714,FALSE,AG
156,SatelliteMemory-PT-X00100Y0003,2,0.01,1.54,0.006493506493506493,209485,209485,1.0,3.9e-05,TRUE,EF
462,Eratosthenes-PT-050,4,0.01,1.34,0.007462686567164179,13,13,1.0,0.000163,FALSE,EF
188,Sudoku-PT-AN12,9,0.03,4.02,0.00746268656716418,4321,4321,1.0,0.00244,TRUE,EF
171,RwMutex-PT-r2000w0010,2,0.01,1.31,0.007633587786259542,405,405,1.0,0.158941,TRUE,AG
452,FMS-PT-00020,7,0.01,1.21,0.008264462809917356,841,841,1.0,5.1e-05,TRUE,EF
384,CircadianClock-PT-000001,3,0.01,1.16,0.008620689655172415,625,625,1.0,2.1e-05,TRUE,EF
488,Eratosthenes-PT-020,4,0.01,1.16,0.008620689655172415,161,161,1.0,5.7e-05,TRUE,AG
421,FMS-PT-00005,7,0.02,2.19,0.009132420091324202,31,31,1.0,5.6e-05,TRUE,EF
388,CSRepetitions-PT-02,6,0.01,1.09,0.009174311926605503,37089,37089,1.0,3.6e-05,TRUE,AG
187,Sudoku-PT-AN13,9,0.07,6.75,0.010370370370370372,1473,1473,1.0,0.003192,FALSE,EF
457,FMS-PT-00005,6,0.01,0.95,0.010526315789473686,113,113,1.0,5.7e-05,FALSE,AG
170,RwMutex-PT-r1000w0010,2,0.01,0.95,0.010526315789473686,917,917,1.0,0.17904,FALSE,EF
158,SafeBus-PT-03,3,0.01,0.91,0.010989010989010988,8011,8011,1.0,0.000187,TRUE,AG
387,CSRepetitions-PT-03,8,0.01,0.9,0.011111111111111112,2138401,2138401,1.0,0.00016,TRUE,AG
