model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.029652,170412,TRUE,FALSE,87,33676,87,33676,0.001025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,1032548,NONE,FALSE,87,33676,87,33676,0.000575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.5795,170352,FALSE,FALSE,87,33676,87,33676,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,1276540,NONE,FALSE,87,33676,87,33676,0.000594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,170696,FALSE,TRUE,87,33676,87,33676,0.000562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6204,FALSE,TRUE,87,33676,63,770,0.607571,0,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,168572,NONE,FALSE,87,33676,87,33676,0.000556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,168548,FALSE,TRUE,87,33676,87,33676,0.000618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6008,TRUE,TRUE,431,735,428,735,0.000234,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.02309,59888,FALSE,FALSE,431,735,427,735,0.000192,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5996,TRUE,TRUE,431,735,427,735,0.000182,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5684,FALSE,TRUE,431,735,354,667,0.001973,0,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5816,TRUE,TRUE,431,735,358,669,0.001944,0,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.022387,60020,FALSE,FALSE,431,735,427,735,0.000197,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.32582,84288,TRUE,FALSE,431,735,427,735,0.000197,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.023837,59292,FALSE,FALSE,431,735,382,688,0.00201,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.023843,59968,TRUE,FALSE,846,1148,440,748,0.002304,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,632580,NONE,FALSE,846,1148,846,1148,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5956,TRUE,TRUE,846,1148,413,722,0.002731,0,419,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5516,NONE,FALSE,846,1148,414,724,0.002756,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,7184,TRUE,TRUE,846,1148,846,1148,0.000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5740,FALSE,TRUE,846,1148,353,670,0.00337,0,451,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,7100,FALSE,TRUE,846,1148,846,1148,0.000135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6076,FALSE,TRUE,846,1148,457,767,0.00227,0,376,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,6564,TRUE,TRUE,626,1008,618,1008,0.000281,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6724,TRUE,TRUE,626,1008,618,1008,0.000305,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.023457,60164,TRUE,FALSE,626,1008,618,1008,0.000298,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.022719,59440,FALSE,FALSE,626,1008,618,1008,0.000271,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001373,7748,FALSE,FALSE,626,1008,486,887,0.002654,0,99,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.029105,59748,FALSE,FALSE,626,1008,618,1008,0.000272,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6252,NONE,FALSE,626,1008,618,1008,0.00031,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,6624,FALSE,TRUE,626,1008,618,1008,0.000272,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.034842,61284,TRUE,FALSE,1242,1621,1242,1621,0.000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,8656,TRUE,TRUE,1242,1621,1242,1621,0.000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,8652,FALSE,TRUE,1242,1621,1242,1621,0.000169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,6476,FALSE,TRUE,1242,1621,553,952,0.00368,0,660,0,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.024805,59192,TRUE,FALSE,1242,1621,532,928,0.003605,0,683,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.0,8648,FALSE,TRUE,1242,1621,1242,1621,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,0.023502,61292,FALSE,FALSE,1242,1621,1242,1621,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0.0,8660,FALSE,TRUE,1242,1621,1242,1621,0.000182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,0.018465,8224,TRUE,FALSE,821,1281,675,1152,0.003607,0,110,14,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,2,0.0,7328,FALSE,TRUE,821,1281,651,1134,0.003403,0,134,0,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0
