model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.027952,0,TRUE,FALSE,87,33676,80,34098,0.00692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,87,33676,0.000861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,50.4161,0,FALSE,FALSE,87,33676,85,33836,0.005228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
ARMCacheCoherence-PT-none,4,0.0,0,FALSE,TRUE,87,33676,85,33916,0.005949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,67,35260,0.0198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,63,770,23.5145,0,0,0,0,32825,0,0,1,3,2,0,0,0,1,0,0,1,535
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,66,35262,0.020214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1586
ARMCacheCoherence-PT-none,8,0.0,0,FALSE,TRUE,87,33676,86,33758,0.002651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,385,696,0.000429,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01a,2,0.025246,0,FALSE,FALSE,431,735,355,673,0.000425,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,74
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,363,683,0.000409,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,65
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,350,663,0.002137,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,70
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,354,669,0.002163,0,0,0,14,7,0,0,0,0,0,0,0,0,1,0,0,1,68
ASLink-PT-01a,6,0.022292,0,FALSE,FALSE,431,735,384,695,0.000377,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46
ASLink-PT-01a,7,2.79152,0,TRUE,FALSE,431,735,385,695,0.000368,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,43
ASLink-PT-01a,8,0.177021,0,FALSE,FALSE,431,735,377,687,0.002172,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,51
ASLink-PT-01b,1,0.022612,0,TRUE,FALSE,846,1148,426,748,0.003451,0,0,0,11,5,0,0,0,0,0,0,0,0,1,0,0,30,900
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,493,850,0.000933,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,828
ASLink-PT-01b,3,0.0,0,TRUE,TRUE,846,1148,399,710,0.004013,0,0,0,14,7,0,0,0,0,0,0,0,0,2,0,0,26,927
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,404,759,0.003362,0,0,0,15,7,0,0,0,0,0,0,0,0,1,0,0,13,995
ASLink-PT-01b,5,0.0,0,TRUE,TRUE,846,1148,571,914,0.000824,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,633
ASLink-PT-01b,6,0.0,0,FALSE,TRUE,846,1148,356,758,0.005327,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,33,1228
ASLink-PT-01b,7,0.0,0,FALSE,TRUE,846,1148,449,809,0.000948,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,888
ASLink-PT-01b,8,0.0,0,FALSE,TRUE,846,1148,448,794,0.003527,0,0,0,13,5,0,0,0,0,0,0,0,0,1,0,0,9,890
ASLink-PT-02a,1,0.0,0,TRUE,TRUE,626,1008,481,897,0.000607,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,134
ASLink-PT-02a,2,0.0,0,TRUE,TRUE,626,1008,527,929,0.000626,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,89
ASLink-PT-02a,3,0.023103,0,TRUE,FALSE,626,1008,519,921,0.000619,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,98
ASLink-PT-02a,4,0.022427,0,FALSE,FALSE,626,1008,491,905,0.000646,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,122
ASLink-PT-02a,5,0.001619,0,FALSE,FALSE,626,1008,489,894,0.003453,0,0,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,116
ASLink-PT-02a,6,0.274687,0,FALSE,FALSE,626,1008,493,906,0.000621,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,125
