model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.028684,0,TRUE,FALSE,87,33676,80,34098,0.007202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,87,33676,0.000997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,50.5496,0,FALSE,FALSE,87,33676,85,33836,0.004175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
ARMCacheCoherence-PT-none,4,0.0,0,FALSE,TRUE,87,33676,85,33916,0.004632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,67,35260,0.019822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,63,770,0.600588,0,1,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,535
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,65,35261,0.021859,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1586
ARMCacheCoherence-PT-none,8,0.0,0,FALSE,TRUE,87,33676,86,33758,0.004243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,385,696,0.000495,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01a,2,0.022883,0,FALSE,FALSE,431,735,355,673,0.000507,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,74
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,362,682,0.000501,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,65
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,350,663,0.002322,0,54,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,11
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,354,669,0.002294,0,53,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,11
ASLink-PT-01a,6,0.02234,0,FALSE,FALSE,431,735,384,695,0.000447,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,46
ASLink-PT-01a,7,2.91731,0,TRUE,FALSE,431,735,384,694,0.000475,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,43
ASLink-PT-01a,8,0.024116,0,FALSE,FALSE,431,735,377,687,0.002379,0,37,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01b,1,0.023237,0,TRUE,FALSE,846,1148,426,748,0.00238,0,389,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,493,850,0.001048,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,828
ASLink-PT-01b,3,0.0,0,TRUE,TRUE,846,1148,399,710,0.003132,0,408,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,25
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,404,759,0.00322,0,408,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,5,0.0,0,TRUE,TRUE,846,1148,571,914,0.000958,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,633
ASLink-PT-01b,6,0.0,0,FALSE,TRUE,846,1148,348,675,0.004543,0,437,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-01b,7,0.0,0,FALSE,TRUE,846,1148,449,809,0.001114,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,888
ASLink-PT-01b,8,0.0,0,FALSE,TRUE,846,1148,448,794,0.002431,0,369,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-02a,1,0.0,0,TRUE,TRUE,626,1008,480,896,0.000732,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,1,134
ASLink-PT-02a,2,0.0,0,TRUE,TRUE,626,1008,527,929,0.000743,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,89
ASLink-PT-02a,3,0.022531,0,TRUE,FALSE,626,1008,519,921,0.000727,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,98
ASLink-PT-02a,4,0.021966,0,FALSE,FALSE,626,1008,491,905,0.000722,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,122
ASLink-PT-02a,5,0.001373,0,FALSE,FALSE,626,1008,485,886,0.002677,0,86,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,14
ASLink-PT-02a,6,0.271828,0,FALSE,FALSE,626,1008,493,906,0.000727,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,125
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,541,938,0.000711,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ASLink-PT-02a,8,0.0,0,FALSE,TRUE,626,1008,499,909,0.00074,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,1,116
