model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,87,33676,0.000425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,87,33676,0.000458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,87,33676,0.000438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,87,33676,0.000454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,87,33676,0.000441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.016195,0,TRUE,FALSE,87,33676,86,11807,0.917269,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,87,33676,0.000447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,87,33676,0.00045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,429,735,0.000168,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,428,735,0.000152,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,428,735,0.000137,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,365,676,0.001796,0,53,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,371,680,0.001036,0,49,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,428,735,0.00024,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,428,735,0.000148,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,391,695,0.001014,0,34,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,568,873,0.001401,0,274,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,846,1148,0.000192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,552,858,0.001551,0,288,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,558,862,0.00153,0,284,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,846,1148,0.000134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,454,759,0.00272,0,310,11,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,846,1148,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,579,885,0.001474,0,262,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,619,1008,0.000273,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,0,NONE,FALSE,626,1008,619,1008,0.000192,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,0,NONE,FALSE,626,1008,619,1008,0.000192,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,619,1008,0.000308,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,521,913,0.001912,0,75,8,21,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,619,1008,0.000184,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,619,1008,0.0002,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,619,1008,0.000185,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,773,1160,0.003728,0,458,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,758,1145,0.002104,0,473,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,1242,1621,0.000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,707,1172,0.003527,0,82,7,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,699,1174,0.001795,0,97,0,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,812,1281,0.000252,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,812,1281,0.000251,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,5,0.0,0,NONE,FALSE,821,1281,812,1281,0.000245,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,6,0.0,0,NONE,FALSE,821,1281,691,1169,0.002253,0,102,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,812,1281,0.000416,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,812,1281,0.000248,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,1,0.0,0,NONE,FALSE,1638,2094,969,1439,0.0065,0,648,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,2,0.0,0,NONE,FALSE,1638,2094,1638,2094,0.000195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,3,0.0,0,NONE,FALSE,1638,2094,1638,2094,0.000178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,1000,1468,0.00281,0,619,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,1638,2094,0.000184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,988,1457,0.004864,0,630,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,7,0.0,0,NONE,FALSE,1638,2094,1638,2094,0.000314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,8,0.0,0,NONE,FALSE,1638,2094,911,1383,0.003598,0,631,0,19,6,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-04a,1,0.0,0,NONE,FALSE,1016,1554,1000,1554,0.000298,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,2,0.0,0,NONE,FALSE,1016,1554,1000,1554,0.000297,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,3,0.0,0,NONE,FALSE,1016,1554,815,1371,0.003154,0,133,14,38,15,0,0,0,0,1,0,0,0,0,0,0,0,0
