model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.028351,0,TRUE,FALSE,87,33676,87,33676,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,87,33676,0.000816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.7337,0,FALSE,FALSE,87,33676,87,33676,0.000623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,87,33676,0.001051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,87,33676,0.000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,63,770,0.604501,0,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,87,33676,0.000729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,FALSE,TRUE,87,33676,87,33676,0.000662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,428,735,0.000224,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022355,0,FALSE,FALSE,431,735,427,735,0.00021,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,427,735,0.000208,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,354,667,0.002726,0,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,358,669,0.002639,0,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.022061,0,FALSE,FALSE,431,735,427,735,0.00024,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.36395,0,TRUE,FALSE,431,735,427,735,0.000207,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
