model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,86,11807,0.936851,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,86,11806,0.938224,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,86,11806,0.937861,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,86,11807,0.938229,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,86,11806,0.934257,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,86,11806,0.9363,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,86,11807,0.93605,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,86,11806,0.934097,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.003207,0,FALSE,FALSE,431,735,361,674,0.001844,0,52,4,12,6,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,354,668,0.002753,0,55,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,356,670,0.001833,0,53,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,356,669,0.001828,0,54,6,13,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,358,671,0.001858,0,53,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,6,0.000724,0,FALSE,FALSE,431,735,354,668,0.001856,0,55,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,357,671,0.003836,0,52,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,355,669,0.004269,0,54,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,1,0.000691,0,FALSE,FALSE,846,1148,412,754,0.003336,0,316,10,6,2,0,0,0,0,2,0,0,0,1,0,0,0,0
ASLink-PT-01b,2,0.002099,0,FALSE,FALSE,846,1148,405,748,0.003348,0,320,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,410,753,0.003377,0,315,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01b,4,0.001141,0,FALSE,FALSE,846,1148,1,2,0.001602,0,312,9,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,413,753,0.003349,0,318,11,5,2,0,1,0,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,407,750,0.005826,0,320,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,409,751,0.005846,0,317,11,5,2,0,1,0,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,419,759,0.004513,0,312,11,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,508,909,0.002537,0,77,8,20,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,2,0.0,0,FALSE,TRUE,626,1008,504,907,0.002506,0,79,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,3,0.000882,0,FALSE,FALSE,626,1008,504,907,0.005592,0,79,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,504,907,0.002507,0,79,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,5,0.001655,0,FALSE,FALSE,626,1008,504,907,0.002486,0,79,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,506,909,0.002514,0,77,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,507,910,0.002497,0,76,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,506,909,0.00251,0,77,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,1,0.000985,0,FALSE,FALSE,1242,1621,590,1030,0.003516,0,479,20,13,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,580,1023,0.003495,0,479,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,593,1035,0.00381,0,472,20,13,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,585,1026,0.003495,0,484,18,14,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,575,1018,0.003484,0,484,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,73,166,0.00236,0,480,18,13,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,585,1026,0.003498,0,483,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,575,1018,0.003729,0,484,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,651,1138,0.003166,0,110,19,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,653,1139,0.003184,0,109,23,29,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,658,1142,0.003212,0,106,23,27,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,651,1138,0.003155,0,110,22,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,5,0.001087,0,FALSE,FALSE,821,1281,651,1138,0.003178,0,110,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,6,0.0,0,TRUE,TRUE,821,1281,652,1139,0.003639,0,109,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,651,1138,0.003181,0,110,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,652,1139,0.003173,0,109,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03b,1,0.0,0,FALSE,TRUE,1638,2094,1,0,0.002517,1,635,22,19,7,0,30,2,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03b,2,0.0,0,TRUE,TRUE,1638,2094,719,1257,0.004971,0,642,22,19,9,0,30,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,3,0.000739,0,TRUE,FALSE,1638,2094,706,1247,0.004935,0,654,22,21,9,0,30,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,708,1248,0.004954,0,653,22,21,9,0,29,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,708,1248,0.008589,0,654,22,21,9,0,30,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,711,1252,0.00495,0,650,22,20,9,0,30,1,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,7,0.001076,0,FALSE,FALSE,1638,2094,1,2,0.005133,0,636,22,20,7,0,30,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-03b,8,0.006,0,TRUE,FALSE,1638,2094,706,1247,0.004947,0,654,22,21,9,0,30,2,0,1,0,0,0,2,0,0,0,0
ASLink-PT-04a,1,0.0,0,NONE,FALSE,1016,1554,796,1374,0.003953,0,130,13,37,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,2,0.0,0,NONE,FALSE,1016,1554,792,1371,0.003905,0,133,14,38,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,3,0.002476,0,TRUE,FALSE,1016,1554,792,1371,0.005557,0,133,13,38,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,4,0.0,0,NONE,FALSE,1016,1554,796,1373,0.003929,0,131,14,36,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,5,0.0,0,NONE,FALSE,1016,1554,799,1376,0.005291,0,130,14,37,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,6,0.0,0,NONE,FALSE,1016,1554,794,1372,0.003932,0,132,14,37,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,7,0.0,0,NONE,FALSE,1016,1554,792,1371,0.003911,0,133,14,38,15,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04a,8,0.0,0,NONE,FALSE,1016,1554,800,1378,0.003924,0,128,12,36,14,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-04b,1,0.003905,0,FALSE,FALSE,2034,2567,995,1613,0.006032,0,785,21,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,2,0.000756,0,TRUE,FALSE,2034,2567,1011,1625,0.00756,0,783,21,18,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,3,0.0,0,NONE,FALSE,2034,2567,995,1614,0.007544,0,784,21,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,4,0.000803,0,TRUE,FALSE,2034,2567,993,1611,0.010681,0,788,18,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,5,0.0,0,NONE,FALSE,2034,2567,992,1612,0.007884,0,787,20,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,6,0.0,0,NONE,FALSE,2034,2567,1003,1620,0.007569,0,789,17,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,7,0.00149,0,TRUE,FALSE,2034,2567,991,1610,0.010536,0,788,21,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-04b,8,0.001466,0,FALSE,FALSE,2034,2567,991,1609,0.007561,0,790,21,19,7,0,0,1,0,2,0,0,0,1,0,0,0,0
ASLink-PT-05a,1,0.0,0,NONE,FALSE,1211,1827,942,1602,0.00466,0,164,33,42,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,2,0.0,0,NONE,FALSE,1211,1827,941,1601,0.004644,0,165,33,42,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,3,0.0,0,NONE,FALSE,1211,1827,944,1603,0.007911,0,163,33,41,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,4,0.0,0,NONE,FALSE,1211,1827,947,1606,0.004704,0,160,33,41,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,5,0.0,0,NONE,FALSE,1211,1827,944,1603,0.004655,0,163,33,41,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,6,0.0,0,NONE,FALSE,1211,1827,945,1603,0.006891,0,165,33,42,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,7,0.0,0,FALSE,TRUE,1211,1827,941,1601,0.007218,0,165,33,42,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05a,8,0.0,0,NONE,FALSE,1211,1827,948,1606,0.004672,0,162,33,42,19,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-05b,1,0.0,0,NONE,FALSE,2430,3040,1139,1848,0.008891,0,1008,42,43,15,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-05b,2,0.003802,0,TRUE,FALSE,2430,3040,1101,1817,0.008734,0,1010,42,43,15,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-05b,3,0.004357,0,FALSE,FALSE,2430,3040,1100,1816,0.008697,0,1011,41,43,15,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-05b,4,0.0,0,NONE,FALSE,2430,3040,1103,1818,0.008784,0,1009,42,42,15,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-05b,5,0.0,0,NONE,FALSE,2430,3040,1106,1822,0.010801,0,1007,41,42,14,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-05b,6,0.0,0,NONE,FALSE,2430,3040,1107,1821,0.011404,0,1006,42,41,15,0,0,1,0,2,0,0,0,2,0,0,0,0
