model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,86,11752,0.927408,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,86,11751,0.926406,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,86,11751,0.926846,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,86,11752,0.929238,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,86,11751,0.930865,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,86,11751,0.934693,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,86,11752,0.930121,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,86,11751,0.930675,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ASLink-PT-01a,1,0.003293,0,FALSE,FALSE,431,735,359,672,0.001944,0,47,4,12,6,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,353,667,0.00348,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,355,669,0.001953,0,47,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,355,668,0.001926,0,48,6,13,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,357,670,0.002137,0,47,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,6,0.000984,0,FALSE,FALSE,431,735,353,667,0.001955,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,356,670,0.001937,0,46,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,354,668,0.001938,0,48,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01b,1,0.000733,0,FALSE,FALSE,846,1148,408,782,0.002895,0,310,10,6,2,0,0,0,0,2,0,0,0,1,0,0,0,26
ASLink-PT-01b,2,0.002275,0,FALSE,FALSE,846,1148,401,776,0.002904,0,313,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,27
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,406,781,0.005088,0,308,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,27
ASLink-PT-01b,4,0.001028,0,FALSE,FALSE,846,1148,1,2,0.001302,0,312,9,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,409,781,0.002887,0,312,11,5,2,0,1,0,0,2,0,0,0,2,0,0,0,26
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,403,778,0.002892,0,313,11,6,2,0,1,0,0,2,0,0,0,2,0,0,0,27
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,405,779,0.002921,0,311,11,5,2,0,1,0,0,2,0,0,0,2,0,0,0,26
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,415,787,0.0028,0,308,11,5,2,0,0,0,0,1,0,0,0,1,0,0,0,24
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,505,906,0.002647,0,69,8,20,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,2,0.0,0,FALSE,TRUE,626,1008,501,904,0.002643,0,71,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,3,0.00108,0,FALSE,FALSE,626,1008,501,904,0.004611,0,71,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,501,904,0.002651,0,71,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,501,904,0.004613,0,71,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,503,906,0.002641,0,69,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,504,907,0.002654,0,69,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,10
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,503,906,0.002633,0,69,8,22,10,0,0,0,0,1,0,0,0,1,0,0,0,11
ASLink-PT-02b,1,0.000945,0,FALSE,FALSE,1242,1621,588,1045,0.003731,0,470,20,13,3,0,0,0,0,1,0,0,0,1,0,0,0,19
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,578,1038,0.003741,0,470,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,19
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,591,1050,0.003813,0,465,20,13,3,0,0,0,0,1,0,0,0,1,0,0,0,17
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,583,1041,0.005344,0,474,18,14,3,0,0,0,0,1,0,0,0,1,0,0,0,20
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,573,1033,0.004601,0,475,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,19
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,73,166,0.002379,0,478,18,13,3,0,0,0,0,1,0,0,0,1,0,0,1,2
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,583,1041,0.003775,0,474,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,19
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,573,1033,0.003736,0,475,20,14,3,0,0,0,0,1,0,0,0,1,0,0,0,19
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,651,1138,0.003453,0,102,19,30,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,653,1139,0.00248,0,101,23,29,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,658,1142,0.004331,0,98,23,27,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,650,1137,0.002479,0,102,22,30,11,0,0,0,0,1,0,0,0,1,0,0,0,9
ASLink-PT-03a,5,0.000611,0,FALSE,FALSE,821,1281,651,1138,0.002462,0,102,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03a,6,0.0,0,TRUE,TRUE,821,1281,652,1139,0.002478,0,102,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,651,1138,0.004304,0,102,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,652,1139,0.002486,0,101,23,30,11,0,0,0,0,1,0,0,0,1,0,0,0,8
ASLink-PT-03b,1,0.0,0,FALSE,TRUE,1638,2094,1,0,0.004084,1,635,22,20,19,0,29,2,0,2,0,0,0,1,0,0,0,35
ASLink-PT-03b,2,0.0,0,TRUE,TRUE,1638,2094,715,1280,0.006717,0,625,22,19,20,0,29,2,0,2,0,0,0,1,0,0,0,34
ASLink-PT-03b,3,0.000717,0,TRUE,FALSE,1638,2094,702,1270,0.006676,0,636,22,21,20,0,29,2,0,2,0,0,0,1,0,0,0,35
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,704,1271,0.006637,0,635,22,21,20,0,28,2,0,2,0,0,0,1,0,0,0,35
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,704,1271,0.011434,0,636,22,21,20,0,29,2,0,2,0,0,0,1,0,0,0,35
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,707,1275,0.011111,0,633,22,20,20,0,29,2,0,2,0,0,0,1,0,0,0,34
ASLink-PT-03b,7,0.001161,0,FALSE,FALSE,1638,2094,1,2,0.002376,0,636,22,20,7,0,0,0,0,1,0,0,0,1,0,0,0,0
ASLink-PT-03b,8,0.006406,0,TRUE,FALSE,1638,2094,702,1270,0.006683,0,636,22,21,20,0,29,2,0,2,0,0,0,1,0,0,0,35
ASLink-PT-04a,1,0.0,0,NONE,FALSE,1016,1554,792,1370,0.004154,0,120,13,37,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,2,0.0,0,NONE,FALSE,1016,1554,788,1367,0.004155,0,123,14,38,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,3,0.0,0,NONE,FALSE,1016,1554,788,1367,0.004907,0,123,13,38,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,4,0.0,0,NONE,FALSE,1016,1554,792,1369,0.005261,0,121,14,36,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,5,0.0,0,NONE,FALSE,1016,1554,795,1372,0.00414,0,121,14,37,15,0,0,0,0,1,0,0,0,1,0,0,0,13
ASLink-PT-04a,6,0.0,0,NONE,FALSE,1016,1554,790,1368,0.004148,0,122,14,37,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,7,0.0,0,NONE,FALSE,1016,1554,788,1367,0.004174,0,123,14,38,15,0,0,0,0,1,0,0,0,1,0,0,0,14
ASLink-PT-04a,8,0.0,0,NONE,FALSE,1016,1554,796,1378,0.005582,0,120,12,36,14,0,0,0,0,1,0,0,0,1,0,0,0,13
ASLink-PT-04b,1,0.003465,0,FALSE,FALSE,2034,2567,981,1727,0.006693,0,769,24,19,7,0,0,1,0,2,0,0,0,1,0,0,0,73
ASLink-PT-04b,2,0.000755,0,TRUE,FALSE,2034,2567,997,1739,0.006842,0,766,24,18,7,0,1,1,0,2,0,0,0,1,0,0,0,77
ASLink-PT-04b,3,0.0,0,NONE,FALSE,2034,2567,981,1728,0.006786,0,767,24,19,7,0,1,1,0,2,0,0,0,1,0,0,0,77
ASLink-PT-04b,4,0.00088,0,TRUE,FALSE,2034,2567,979,1720,0.010119,0,770,21,19,7,0,1,1,0,2,0,0,0,1,0,0,0,77
ASLink-PT-04b,5,0.0,0,NONE,FALSE,2034,2567,977,1720,0.006784,0,770,23,19,7,0,1,1,0,2,0,0,0,1,0,0,0,77
ASLink-PT-04b,6,0.0,0,NONE,FALSE,2034,2567,988,1729,0.009596,0,771,17,19,7,0,1,1,0,2,0,0,0,1,0,0,0,77
ASLink-PT-04b,7,0.001175,0,TRUE,FALSE,2034,2567,977,1724,0.010024,0,770,24,19,7,0,1,1,0,2,0,0,0,1,0,0,0,78
ASLink-PT-04b,8,0.001494,0,FALSE,FALSE,2034,2567,977,1723,0.006739,0,772,24,19,7,0,1,1,0,2,0,0,0,1,0,0,0,78
