model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,86,11807,0.92199,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,86,11806,0.923794,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,86,11806,0.923628,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,86,11807,0.928181,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,86,11806,0.92007,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,86,11806,0.923195,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,86,11807,0.925087,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,86,11806,0.924874,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.003217,0,FALSE,FALSE,431,735,361,674,0.002498,0,52,4,12,6,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,354,668,0.001659,0,55,6,14,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,356,670,0.00247,0,53,6,14,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,356,669,0.002483,0,54,6,13,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,358,671,0.002232,0,53,6,14,7,3,0,0,0,1,0,0,0,0,0,3,0,0
ASLink-PT-01a,6,0.000786,0,FALSE,FALSE,431,735,354,668,0.002489,0,55,6,14,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,357,671,0.001485,0,52,6,14,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,355,669,0.002483,0,54,6,14,7,4,0,0,0,1,0,0,0,0,0,4,0,0
ASLink-PT-01b,1,0.000725,0,FALSE,FALSE,846,1148,412,754,0.004721,0,316,10,6,2,39,0,0,0,2,0,0,0,0,0,39,0,0
ASLink-PT-01b,2,0.00222,0,FALSE,FALSE,846,1148,405,748,0.002732,0,320,11,6,2,40,1,0,0,2,0,0,0,0,0,40,0,0
