model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,170976,FALSE,TRUE,87,33676,87,33674,62.2807,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,171096,FALSE,TRUE,87,33676,86,33675,63.0639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,168840,NONE,FALSE,87,33676,86,33675,62.6758,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,170156,TRUE,TRUE,87,33676,86,33675,62.4727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,168052,FALSE,TRUE,87,33676,86,33675,62.907,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,171008,FALSE,TRUE,87,33676,86,33675,63.0107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,170428,TRUE,FALSE,87,33676,87,33674,62.4233,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,169820,TRUE,TRUE,87,33676,87,33674,62.3228,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,7128,TRUE,TRUE,431,735,349,662,0.263506,0,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.0,8144,FALSE,FALSE,431,735,334,651,0.336095,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,6752,TRUE,TRUE,431,735,336,653,0.334452,0,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,6760,FALSE,TRUE,431,735,336,652,0.341674,0,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,6980,TRUE,TRUE,431,735,346,659,0.296764,0,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,8672,FALSE,FALSE,431,735,334,651,0.3394,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,7204,TRUE,TRUE,431,735,337,654,0.34997,0,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,6760,FALSE,TRUE,431,735,335,652,0.344653,0,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.0,8668,FALSE,FALSE,846,1148,353,667,1.69042,0,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,8680,FALSE,FALSE,846,1148,342,659,1.79861,0,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,6828,FALSE,TRUE,846,1148,346,663,1.80826,0,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,6768,TRUE,TRUE,846,1148,343,660,1.78741,0,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,8960,FALSE,FALSE,846,1148,348,663,1.78886,0,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,6772,TRUE,TRUE,846,1148,344,661,1.78756,0,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,8168,FALSE,FALSE,846,1148,346,662,1.77389,0,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,7000,TRUE,TRUE,846,1148,356,669,1.78896,0,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,29192,NONE,FALSE,626,1008,470,875,0.598496,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,7468,FALSE,TRUE,626,1008,465,872,0.68987,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,7472,TRUE,TRUE,626,1008,465,872,0.658611,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.0,9140,FALSE,FALSE,626,1008,465,872,0.695743,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.0,9140,FALSE,FALSE,626,1008,465,872,0.666235,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,7480,TRUE,TRUE,626,1008,467,874,0.650645,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,7628,FALSE,TRUE,626,1008,474,879,0.699604,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,9148,FALSE,FALSE,626,1008,467,874,0.662506,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.0,9204,FALSE,FALSE,1242,1621,491,895,3.52059,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,7508,TRUE,TRUE,1242,1621,482,888,3.65021,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,14304,TRUE,FALSE,1242,1621,499,901,3.57244,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,8652,FALSE,FALSE,1242,1621,479,886,3.63619,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.0,8636,FALSE,FALSE,1242,1621,476,883,3.67411,0,697,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.0,7488,FALSE,TRUE,1242,1621,476,883,3.69012,0,698,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
