model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6264,FALSE,TRUE,87,33676,67,802,1.18202,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5976,FALSE,TRUE,87,33676,60,697,1.35426,0,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.010955,7196,FALSE,FALSE,87,33676,61,698,1.22735,0,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6244,TRUE,TRUE,87,33676,63,772,1.24711,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5976,FALSE,TRUE,87,33676,60,697,1.25626,0,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6256,FALSE,TRUE,87,33676,65,800,1.21672,0,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002503,7196,TRUE,FALSE,87,33676,62,699,1.22565,0,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6052,TRUE,TRUE,87,33676,62,727,1.20364,0,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6012,TRUE,TRUE,431,735,349,662,0.005689,0,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.002609,7008,FALSE,FALSE,431,735,334,651,0.005255,0,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5512,TRUE,TRUE,431,735,336,653,0.004939,0,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
