model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.028387,170288,TRUE,FALSE,87,33676,87,33676,0.000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5948,NONE,FALSE,87,33676,62,727,0.591558,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.031089,170284,FALSE,FALSE,87,33676,87,33676,0.000989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,169012,TRUE,TRUE,87,33676,87,33676,0.000645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6208,NONE,FALSE,87,33676,70,809,0.588352,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.028482,170284,FALSE,FALSE,87,33676,87,33676,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,167636,TRUE,TRUE,87,33676,87,33676,0.001065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,169468,NONE,FALSE,87,33676,87,33676,0.001046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6995248,NONE,FALSE,87,33676,87,33676,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.6664,170360,FALSE,FALSE,87,33676,87,33676,0.000723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7127660,NONE,FALSE,87,33676,87,33676,0.000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,166464,FALSE,TRUE,87,33676,87,33676,0.000805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6208,FALSE,TRUE,87,33676,63,770,0.606157,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,170028,NONE,FALSE,87,33676,87,33676,0.000583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,166856,FALSE,TRUE,87,33676,87,33676,0.000605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6476,NONE,FALSE,87,33676,69,864,0.582541,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6008,TRUE,TRUE,431,735,428,735,0.000222,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.031655,60112,FALSE,FALSE,431,735,427,735,0.000211,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6012,FALSE,TRUE,431,735,428,735,0.000226,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5848,TRUE,TRUE,431,735,356,668,0.001981,17011074,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5552,NONE,FALSE,431,735,427,735,0.00021,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.021746,59964,TRUE,FALSE,431,735,427,735,0.000223,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5684,FALSE,TRUE,431,735,354,667,0.001981,13529756,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5996,FALSE,TRUE,431,735,427,735,0.000206,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022257,59884,FALSE,FALSE,431,735,427,735,0.00021,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5996,TRUE,TRUE,431,735,427,735,0.000205,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5684,FALSE,TRUE,431,735,354,667,0.001999,13510044,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5816,TRUE,TRUE,431,735,358,669,0.001939,17086809,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.021647,59952,FALSE,FALSE,431,735,427,735,0.000215,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.39184,84208,TRUE,FALSE,431,735,427,735,0.000215,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.024164,59304,FALSE,FALSE,431,735,382,688,0.002115,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5376,NONE,FALSE,431,735,356,668,0.001966,14894360,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.024672,59968,TRUE,FALSE,846,1148,440,748,0.002228,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.046379,60528,TRUE,FALSE,846,1148,846,1148,0.000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6080,TRUE,TRUE,846,1148,448,757,0.002241,0,386,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.025245,60604,TRUE,FALSE,846,1148,846,1148,0.000161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5732,FALSE,TRUE,846,1148,376,689,0.002611,0,453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.0,7092,FALSE,TRUE,846,1148,846,1148,0.000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5840,FALSE,TRUE,846,1148,397,709,0.004063,0,433,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,7088,FALSE,TRUE,846,1148,846,1148,0.000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1538404,NONE,FALSE,846,1148,846,1148,0.000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5960,TRUE,TRUE,846,1148,413,722,0.002758,0,419,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5516,NONE,FALSE,846,1148,414,724,0.002756,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,7188,TRUE,TRUE,846,1148,846,1148,0.000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5740,FALSE,TRUE,846,1148,353,670,0.003398,22640828,451,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,7096,FALSE,TRUE,846,1148,846,1148,0.000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6076,FALSE,TRUE,846,1148,457,767,0.002275,0,376,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,5784,TRUE,TRUE,846,1148,366,680,0.002633,17843228,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,6564,TRUE,TRUE,626,1008,618,1008,0.000282,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.001344,7284,TRUE,FALSE,626,1008,618,1008,0.000288,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.034459,60184,TRUE,FALSE,626,1008,618,1008,0.000304,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,6692,TRUE,TRUE,626,1008,618,1008,0.000297,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,6664,FALSE,TRUE,626,1008,618,1008,0.00029,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6720,FALSE,TRUE,626,1008,618,1008,0.000304,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,6624,TRUE,TRUE,626,1008,618,1008,0.000287,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.135287,60440,FALSE,FALSE,626,1008,618,1008,0.000301,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6724,TRUE,TRUE,626,1008,618,1008,0.000302,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.024456,60164,TRUE,FALSE,626,1008,618,1008,0.000296,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.021545,59440,FALSE,FALSE,626,1008,618,1008,0.000287,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001204,7596,FALSE,FALSE,626,1008,486,887,0.002675,0,99,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.030201,59744,FALSE,FALSE,626,1008,618,1008,0.000294,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6252,NONE,FALSE,626,1008,618,1008,0.000316,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,6624,FALSE,TRUE,626,1008,618,1008,0.000295,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,8680,TRUE,TRUE,626,1008,539,929,0.00225,0,69,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.034766,61292,TRUE,FALSE,1242,1621,1242,1621,0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,1209808,NONE,FALSE,1242,1621,1242,1621,0.000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.0,8812,TRUE,TRUE,1242,1621,1242,1621,0.000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.0,8656,TRUE,TRUE,1242,1621,1242,1621,0.000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.0,8660,FALSE,TRUE,1242,1621,1242,1621,0.000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.021402,61576,FALSE,FALSE,1242,1621,1242,1621,0.000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0.023071,61352,FALSE,FALSE,1242,1621,1242,1621,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.0,8476,TRUE,TRUE,1242,1621,1242,1621,0.000192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
