model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.022189,180624,TRUE,FALSE,87,33676,87,33676,0.013163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6600,NONE,FALSE,87,33676,65,736,2.42756,0,22,0,0,32901,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.024635,178968,FALSE,FALSE,87,33676,87,33676,0.013329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,179432,TRUE,TRUE,87,33676,87,33676,0.01304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6752,NONE,FALSE,87,33676,62,716,2.46348,5749921,16,0,0,32914,0,0,5,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.048389,179956,FALSE,FALSE,87,33676,87,33676,0.013022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,179388,TRUE,TRUE,87,33676,87,33676,0.015063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,178992,NONE,FALSE,87,33676,87,33676,0.012936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6251408,NONE,FALSE,87,33676,87,33676,0.013188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.7068,177944,FALSE,FALSE,87,33676,87,33676,0.013335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6179428,NONE,FALSE,87,33676,87,33676,0.015158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,180028,FALSE,TRUE,87,33676,87,33676,0.013313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,5996,FALSE,TRUE,87,33676,52,567,2.47175,844800,21,0,0,33024,0,0,2,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,178276,NONE,FALSE,87,33676,87,33676,0.013709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,178532,FALSE,TRUE,87,33676,87,33676,0.013644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,7192,NONE,FALSE,87,33676,71,870,0.467423,0,16,0,0,32790,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6456,TRUE,TRUE,431,735,428,735,0.000593,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.032346,60000,FALSE,FALSE,431,735,427,735,0.000543,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6472,FALSE,TRUE,431,735,428,735,0.000566,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,6280,TRUE,TRUE,431,735,356,668,0.002591,17011074,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,6672,NONE,FALSE,431,735,427,735,0.000535,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.023054,60432,TRUE,FALSE,431,735,427,735,0.000556,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,6276,FALSE,TRUE,431,735,354,667,0.002582,13529756,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,6472,FALSE,TRUE,431,735,427,735,0.000538,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022348,59920,FALSE,FALSE,431,735,427,735,0.000538,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,6468,TRUE,TRUE,431,735,427,735,0.000536,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,6280,FALSE,TRUE,431,735,354,667,0.002584,13510044,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,6284,TRUE,TRUE,431,735,358,669,0.002547,17086809,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.022462,60432,FALSE,FALSE,431,735,427,735,0.000555,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.42824,84448,TRUE,FALSE,431,735,427,735,0.00055,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.024168,59828,FALSE,FALSE,431,735,382,688,0.002636,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,6484,NONE,FALSE,431,735,356,668,0.002567,14894360,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.022897,59316,TRUE,FALSE,846,1148,440,748,0.002753,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.049308,60676,TRUE,FALSE,846,1148,846,1148,0.000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6516,TRUE,TRUE,846,1148,448,757,0.002774,0,386,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.024678,60832,TRUE,FALSE,846,1148,846,1148,0.000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,6260,FALSE,TRUE,846,1148,376,689,0.003202,0,453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.0,7652,FALSE,TRUE,846,1148,846,1148,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,6380,FALSE,TRUE,846,1148,397,709,0.004698,0,433,0,15,6,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,16,0.0,7656,FALSE,TRUE,846,1148,846,1148,0.000407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1521840,NONE,FALSE,846,1148,846,1148,0.000431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,6420,TRUE,TRUE,846,1148,409,719,0.003328,0,422,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,4,0.0,6628,NONE,FALSE,846,1148,414,724,0.003329,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,7656,TRUE,TRUE,846,1148,846,1148,0.000449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,6248,FALSE,TRUE,846,1148,345,662,0.004138,21052877,437,30,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,7,0.0,7652,FALSE,TRUE,846,1148,846,1148,0.000428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6540,FALSE,TRUE,846,1148,457,767,0.002809,0,376,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,6220,TRUE,TRUE,846,1148,359,675,0.003753,14689877,466,0,19,7,0,0,0,0,0,0,0,0,2,0,0,0,0
ASLink-PT-02a,1,0.0,7184,TRUE,TRUE,626,1008,618,1008,0.000761,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.001371,7772,TRUE,FALSE,626,1008,618,1008,0.000751,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.332399,61524,TRUE,FALSE,626,1008,618,1008,0.000768,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,7252,TRUE,TRUE,626,1008,618,1008,0.000779,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,7188,FALSE,TRUE,626,1008,618,1008,0.000753,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,7252,FALSE,TRUE,626,1008,618,1008,0.000794,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,7252,TRUE,TRUE,626,1008,618,1008,0.000776,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.133849,60756,FALSE,FALSE,626,1008,618,1008,0.000778,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,7248,TRUE,TRUE,626,1008,618,1008,0.000776,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.023877,60240,TRUE,FALSE,626,1008,618,1008,0.000768,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.021981,60268,FALSE,FALSE,626,1008,618,1008,0.000758,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001396,7992,FALSE,FALSE,626,1008,484,885,0.004438,0,86,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0
