model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.028653,170284,TRUE,FALSE,87,33676,87,33676,0.000647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5944,NONE,FALSE,87,33676,62,727,0.586865,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.031628,170308,FALSE,FALSE,87,33676,87,33676,0.000631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,168836,TRUE,TRUE,87,33676,87,33676,0.00099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6208,NONE,FALSE,87,33676,70,809,0.594985,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.029851,170308,FALSE,FALSE,87,33676,87,33676,0.000649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,167132,TRUE,TRUE,87,33676,87,33676,0.001038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,167800,NONE,FALSE,87,33676,87,33676,0.000655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6901692,NONE,FALSE,87,33676,87,33676,0.000665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.5116,170356,FALSE,FALSE,87,33676,87,33676,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7170620,NONE,FALSE,87,33676,87,33676,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,170456,FALSE,TRUE,87,33676,87,33676,0.000577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6208,FALSE,TRUE,87,33676,63,770,0.593773,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,166748,NONE,FALSE,87,33676,87,33676,0.000579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,169868,FALSE,TRUE,87,33676,87,33676,0.000595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6472,NONE,FALSE,87,33676,69,864,0.581966,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6008,TRUE,TRUE,431,735,428,735,0.000229,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.030962,60108,FALSE,FALSE,431,735,427,735,0.000227,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6008,FALSE,TRUE,431,735,428,735,0.000228,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5848,TRUE,TRUE,431,735,356,668,0.002012,17011074,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5552,NONE,FALSE,431,735,427,735,0.00022,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.02274,59964,TRUE,FALSE,431,735,427,735,0.000217,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5680,FALSE,TRUE,431,735,354,667,0.001997,13529756,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5992,FALSE,TRUE,431,735,427,735,0.000216,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022448,59888,FALSE,FALSE,431,735,427,735,0.000212,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5992,TRUE,TRUE,431,735,427,735,0.000208,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5680,FALSE,TRUE,431,735,354,667,0.001985,13510044,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
