model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.031579,170288,TRUE,FALSE,87,33676,87,33676,0.000623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5940,NONE,FALSE,87,33676,62,727,0.595582,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.034296,170304,FALSE,FALSE,87,33676,87,33676,0.001034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,167016,TRUE,TRUE,87,33676,87,33676,0.001171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6208,NONE,FALSE,87,33676,70,809,0.587256,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.031166,170304,FALSE,FALSE,87,33676,87,33676,0.000649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,169040,TRUE,TRUE,87,33676,87,33676,0.000711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,169032,NONE,FALSE,87,33676,87,33676,0.000616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6808704,NONE,FALSE,87,33676,87,33676,0.00061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.6491,170356,FALSE,FALSE,87,33676,87,33676,0.000611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7141912,NONE,FALSE,87,33676,87,33676,0.000705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,168588,FALSE,TRUE,87,33676,87,33676,0.000556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6208,FALSE,TRUE,87,33676,63,770,0.59994,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,168536,NONE,FALSE,87,33676,87,33676,0.000689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,169512,FALSE,TRUE,87,33676,87,33676,0.000749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6476,NONE,FALSE,87,33676,69,864,0.597053,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6012,TRUE,TRUE,431,735,428,735,0.000223,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
