model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.031119,170356,TRUE,FALSE,87,33676,87,33676,0.000647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5944,NONE,FALSE,87,33676,62,727,0.588395,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.030595,170292,FALSE,FALSE,87,33676,87,33676,0.000597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,168084,TRUE,TRUE,87,33676,87,33676,0.000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6208,NONE,FALSE,87,33676,70,809,0.588074,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.028889,170284,FALSE,FALSE,87,33676,87,33676,0.000621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,168888,TRUE,TRUE,87,33676,87,33676,0.000574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,169360,NONE,FALSE,87,33676,87,33676,0.000605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6898892,NONE,FALSE,87,33676,87,33676,0.000628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.4208,170356,FALSE,FALSE,87,33676,87,33676,0.000618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7041376,NONE,FALSE,87,33676,87,33676,0.000595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,167500,FALSE,TRUE,87,33676,87,33676,0.000683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6208,FALSE,TRUE,87,33676,63,770,0.60154,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,167936,NONE,FALSE,87,33676,87,33676,0.000593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,169964,FALSE,TRUE,87,33676,87,33676,0.000794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6472,NONE,FALSE,87,33676,69,864,0.580188,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6012,TRUE,TRUE,431,735,428,735,0.000215,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.031557,60108,FALSE,FALSE,431,735,427,735,0.000205,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6012,FALSE,TRUE,431,735,428,735,0.000223,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5852,TRUE,TRUE,431,735,356,668,0.001996,17011074,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5556,NONE,FALSE,431,735,427,735,0.0002,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.023206,59980,TRUE,FALSE,431,735,427,735,0.000218,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5680,FALSE,TRUE,431,735,354,667,0.002002,13529756,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5992,FALSE,TRUE,431,735,427,735,0.000212,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.02253,59884,FALSE,FALSE,431,735,427,735,0.00021,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5992,TRUE,TRUE,431,735,427,735,0.000207,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5680,FALSE,TRUE,431,735,354,667,0.001999,13510044,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5820,TRUE,TRUE,431,735,358,669,0.001934,17086809,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.022743,60020,FALSE,FALSE,431,735,427,735,0.000215,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.40587,84208,TRUE,FALSE,431,735,427,735,0.000222,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.02419,59296,FALSE,FALSE,431,735,382,688,0.002029,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5376,NONE,FALSE,431,735,356,668,0.001979,14894360,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.023831,59968,TRUE,FALSE,846,1148,440,748,0.002197,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.047,60532,TRUE,FALSE,846,1148,846,1148,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6076,TRUE,TRUE,846,1148,448,757,0.002233,0,386,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.025848,60588,TRUE,FALSE,846,1148,846,1148,0.000155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5732,FALSE,TRUE,846,1148,376,689,0.002621,0,453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.0,7092,FALSE,TRUE,846,1148,846,1148,0.000147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5840,FALSE,TRUE,846,1148,397,709,0.004092,0,433,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,7088,FALSE,TRUE,846,1148,846,1148,0.000163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1529080,NONE,FALSE,846,1148,846,1148,0.000156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5960,TRUE,TRUE,846,1148,413,722,0.002731,0,419,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5520,NONE,FALSE,846,1148,414,724,0.002758,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,7188,TRUE,TRUE,846,1148,846,1148,0.000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5740,FALSE,TRUE,846,1148,353,670,0.003399,22640828,451,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,7096,FALSE,TRUE,846,1148,846,1148,0.000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6076,FALSE,TRUE,846,1148,457,767,0.002288,0,376,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,5784,TRUE,TRUE,846,1148,366,680,0.002613,17843228,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,6564,TRUE,TRUE,626,1008,618,1008,0.000288,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.001284,7284,TRUE,FALSE,626,1008,618,1008,0.000286,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.035177,60184,TRUE,FALSE,626,1008,618,1008,0.000299,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,6688,TRUE,TRUE,626,1008,618,1008,0.000299,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,6660,FALSE,TRUE,626,1008,618,1008,0.000286,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6720,FALSE,TRUE,626,1008,618,1008,0.000296,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,6624,TRUE,TRUE,626,1008,618,1008,0.000291,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.136156,60440,FALSE,FALSE,626,1008,618,1008,0.000302,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6724,TRUE,TRUE,626,1008,618,1008,0.0003,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.023271,60164,TRUE,FALSE,626,1008,618,1008,0.000306,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.021677,59436,FALSE,FALSE,626,1008,618,1008,0.000286,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001305,7660,FALSE,FALSE,626,1008,486,887,0.002656,0,99,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.030744,59748,FALSE,FALSE,626,1008,618,1008,0.00029,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6252,NONE,FALSE,626,1008,618,1008,0.000313,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,6628,FALSE,TRUE,626,1008,618,1008,0.000289,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,8684,TRUE,TRUE,626,1008,539,929,0.002257,0,69,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.036456,61460,TRUE,FALSE,1242,1621,1242,1621,0.000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,1199480,NONE,FALSE,1242,1621,1242,1621,0.000196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.0,8812,TRUE,TRUE,1242,1621,1242,1621,0.000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.0,8652,TRUE,TRUE,1242,1621,1242,1621,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.0,8660,FALSE,TRUE,1242,1621,1242,1621,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.021837,61700,FALSE,FALSE,1242,1621,1242,1621,0.000195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0.022476,61352,FALSE,FALSE,1242,1621,1242,1621,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.0,8480,TRUE,TRUE,1242,1621,1242,1621,0.000189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,8660,TRUE,TRUE,1242,1621,1242,1621,0.000193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,8656,FALSE,TRUE,1242,1621,1242,1621,0.000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,6476,FALSE,TRUE,1242,1621,553,952,0.00378,0,660,0,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.024361,59192,TRUE,FALSE,1242,1621,532,928,0.003628,0,683,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0.0,8652,FALSE,TRUE,1242,1621,1242,1621,0.000187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,0.022824,61292,FALSE,FALSE,1242,1621,1242,1621,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0.0,8656,FALSE,TRUE,1242,1621,1242,1621,0.000206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,9,0.025444,60688,FALSE,FALSE,1242,1621,1242,1621,0.000187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,0.022986,8228,TRUE,FALSE,821,1281,675,1152,0.00357,0,110,14,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,10,0.023102,60516,FALSE,FALSE,821,1281,809,1281,0.000435,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,11,0.022795,60516,FALSE,FALSE,821,1281,809,1281,0.00039,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,12,0.054008,60544,FALSE,FALSE,821,1281,809,1281,0.000407,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,13,0.02233,60516,FALSE,FALSE,821,1281,809,1281,0.00041,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,14,0.001589,8048,FALSE,FALSE,821,1281,809,1281,0.000406,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,15,0.0,7132,FALSE,TRUE,821,1281,650,1136,0.00343,0,132,0,39,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,16,0.02345,60516,FALSE,FALSE,821,1281,809,1281,0.00039,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,2,0.0,7324,FALSE,TRUE,821,1281,651,1134,0.003396,0,134,0,36,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,3,0.022933,60504,TRUE,FALSE,821,1281,809,1281,0.000378,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,4,0.023318,60504,TRUE,FALSE,821,1281,809,1281,0.000384,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,5,0.060866,60584,TRUE,FALSE,821,1281,809,1281,0.000382,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
