model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.029596,170388,TRUE,FALSE,87,33676,87,33676,0.010899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5884,NONE,FALSE,87,33676,62,727,0.584584,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.032625,170388,FALSE,FALSE,87,33676,87,33676,0.012541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,169504,TRUE,TRUE,87,33676,87,33676,0.01262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6152,NONE,FALSE,87,33676,70,809,0.594226,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.030043,170412,FALSE,FALSE,87,33676,87,33676,0.011323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,167452,TRUE,TRUE,87,33676,87,33676,0.011299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,170656,NONE,FALSE,87,33676,87,33676,0.011024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6613460,NONE,FALSE,87,33676,87,33676,0.012173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.649,170412,FALSE,FALSE,87,33676,87,33676,0.011157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6937620,NONE,FALSE,87,33676,87,33676,0.011439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,167812,FALSE,TRUE,87,33676,87,33676,0.011964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,63,770,0.590462,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,167096,NONE,FALSE,87,33676,87,33676,0.01106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,166440,FALSE,TRUE,87,33676,87,33676,0.011095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6416,NONE,FALSE,87,33676,69,864,0.58236,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6072,TRUE,TRUE,431,735,428,735,0.000355,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.032581,60156,FALSE,FALSE,431,735,427,735,0.00035,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6076,FALSE,TRUE,431,735,428,735,0.000348,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5916,TRUE,TRUE,431,735,356,668,0.002228,17011074,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5616,NONE,FALSE,431,735,427,735,0.000326,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.021941,60004,TRUE,FALSE,431,735,427,735,0.000372,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5752,FALSE,TRUE,431,735,354,667,0.002272,13529756,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,6064,FALSE,TRUE,431,735,427,735,0.000338,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022317,59988,FALSE,FALSE,431,735,427,735,0.000335,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,6064,TRUE,TRUE,431,735,427,735,0.000334,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5752,FALSE,TRUE,431,735,354,667,0.002363,13510044,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5884,TRUE,TRUE,431,735,358,669,0.002194,17086809,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.022279,60068,FALSE,FALSE,431,735,427,735,0.000334,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.40849,84320,TRUE,FALSE,431,735,427,735,0.000341,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.023671,59400,FALSE,FALSE,431,735,382,688,0.002284,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5436,NONE,FALSE,431,735,356,668,0.002213,14894360,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.023249,60068,TRUE,FALSE,846,1148,440,748,0.002419,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.046171,60512,TRUE,FALSE,846,1148,846,1148,0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6148,TRUE,TRUE,846,1148,448,757,0.00242,0,386,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.02567,60704,TRUE,FALSE,846,1148,846,1148,0.000235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5796,FALSE,TRUE,846,1148,376,689,0.002912,0,453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.0,7156,FALSE,TRUE,846,1148,846,1148,0.000227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5972,FALSE,TRUE,846,1148,397,709,0.004356,0,433,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,7152,FALSE,TRUE,846,1148,846,1148,0.000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1539240,NONE,FALSE,846,1148,846,1148,0.000242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,6028,TRUE,TRUE,846,1148,413,722,0.002984,0,419,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,5580,NONE,FALSE,846,1148,414,724,0.002969,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,7256,TRUE,TRUE,846,1148,846,1148,0.000264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5872,FALSE,TRUE,846,1148,353,670,0.003649,22640828,451,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,7168,FALSE,TRUE,846,1148,846,1148,0.000231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6144,FALSE,TRUE,846,1148,457,767,0.002499,0,376,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,5784,TRUE,TRUE,846,1148,366,680,0.002822,17843228,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,6604,TRUE,TRUE,626,1008,618,1008,0.000449,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.001334,7268,TRUE,FALSE,626,1008,618,1008,0.000452,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.033248,60284,TRUE,FALSE,626,1008,618,1008,0.000465,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,6752,TRUE,TRUE,626,1008,618,1008,0.000462,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,6656,FALSE,TRUE,626,1008,618,1008,0.000454,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6784,FALSE,TRUE,626,1008,618,1008,0.000467,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,6752,TRUE,TRUE,626,1008,618,1008,0.000466,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.136167,60540,FALSE,FALSE,626,1008,618,1008,0.000475,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6784,TRUE,TRUE,626,1008,618,1008,0.000475,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.023245,60264,TRUE,FALSE,626,1008,618,1008,0.000467,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
