model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.022824,60672,TRUE,FALSE,87,33676,87,1216,1.64408,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5948,NONE,FALSE,87,33676,62,695,3.76753,9600000,1,591,0,476,0,0,20,3,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.022361,60672,FALSE,FALSE,87,33676,87,1216,1.64438,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,8056,TRUE,TRUE,87,33676,87,1216,1.65397,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6216,NONE,FALSE,87,33676,70,809,2.16638,0,0,481,0,32794,0,0,33,1,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.022442,60676,FALSE,FALSE,87,33676,87,1216,1.66733,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,8052,TRUE,TRUE,87,33676,87,1216,1.66773,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,236212,NONE,FALSE,87,33676,87,1216,1.67743,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,4867092,NONE,FALSE,87,33676,87,1216,1.66407,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.5098,67320,FALSE,FALSE,87,33676,87,1216,1.66932,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,8052,FALSE,TRUE,87,33676,87,1216,1.65099,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,8052,FALSE,TRUE,87,33676,87,1216,1.65706,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,63,770,2.17733,10560000,1,535,0,32822,0,0,2,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,238248,NONE,FALSE,87,33676,87,1216,1.65033,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,8052,FALSE,TRUE,87,33676,87,1216,1.66445,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6216,NONE,FALSE,87,33676,69,831,1.81899,0,0,433,0,367,0,0,0,2,0,0,0,32460,0,0,0,0,0
ASLink-PT-01a,1,0.0,6016,TRUE,TRUE,431,735,428,728,0.002049,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,10,0.03214,60092,FALSE,FALSE,431,735,427,728,0.002004,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,11,0.0,6016,FALSE,TRUE,431,735,428,728,0.002036,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,12,0.0,5820,TRUE,TRUE,431,735,351,667,0.004762,16657248,0,63,15,0,0,0,0,0,0,0,0,7,0,0,0,0,6
ASLink-PT-01a,13,0.0,5548,NONE,FALSE,431,735,427,728,0.002001,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,14,0.022376,59972,TRUE,FALSE,431,735,427,728,0.002067,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,15,0.0,5644,FALSE,TRUE,431,735,350,663,0.004745,13281234,0,64,16,0,0,0,0,0,0,0,0,7,0,0,0,0,4
ASLink-PT-01a,16,0.0,5992,FALSE,TRUE,431,735,427,728,0.002021,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,2,0.023699,59880,FALSE,FALSE,431,735,427,728,0.002025,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,3,0.0,5988,TRUE,TRUE,431,735,427,728,0.00201,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,4,0.0,5684,FALSE,TRUE,431,735,350,663,0.004765,13261190,0,64,16,0,0,0,0,0,0,0,0,7,0,0,0,0,4
