model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.035232,170276,TRUE,FALSE,87,33676,87,33676,0.013054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5936,NONE,FALSE,87,33676,65,736,2.42406,0,22,0,0,32901,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.032121,170276,FALSE,FALSE,87,33676,87,33676,0.013305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,166520,TRUE,TRUE,87,33676,87,33676,0.013743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6200,NONE,FALSE,87,33676,71,812,2.08486,0,16,0,0,32825,0,0,5,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.030591,170280,FALSE,FALSE,87,33676,87,33676,0.01324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,168056,TRUE,TRUE,87,33676,87,33676,0.013941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,166424,NONE,FALSE,87,33676,87,33676,0.014365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6883096,NONE,FALSE,87,33676,87,33676,0.014304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.6527,170352,FALSE,FALSE,87,33676,87,33676,0.014639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7085636,NONE,FALSE,87,33676,87,33676,0.013944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,168804,FALSE,TRUE,87,33676,87,33676,0.013497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6200,FALSE,TRUE,87,33676,66,779,2.03739,0,21,0,0,32825,0,0,2,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,167808,NONE,FALSE,87,33676,87,33676,0.012931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,167364,FALSE,TRUE,87,33676,87,33676,0.013436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6464,NONE,FALSE,87,33676,71,870,0.463636,0,16,0,0,32790,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6000,TRUE,TRUE,431,735,428,735,0.000569,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.03149,60100,FALSE,FALSE,431,735,427,735,0.000534,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6004,FALSE,TRUE,431,735,428,735,0.000551,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5804,TRUE,TRUE,431,735,351,667,0.002619,16657248,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01a,13,0.0,5544,NONE,FALSE,431,735,427,735,0.000528,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.023017,59956,TRUE,FALSE,431,735,427,735,0.000544,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5632,FALSE,TRUE,431,735,350,663,0.002603,13281234,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,4
ASLink-PT-01a,16,0.0,5988,FALSE,TRUE,431,735,427,735,0.000534,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.022716,59880,FALSE,FALSE,431,735,427,735,0.00053,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5988,TRUE,TRUE,431,735,427,735,0.000523,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5676,FALSE,TRUE,431,735,350,663,0.002613,13261190,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,4
ASLink-PT-01a,5,0.0,5812,TRUE,TRUE,431,735,354,669,0.002586,16826335,59,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,5
ASLink-PT-01a,6,0.022467,60012,FALSE,FALSE,431,735,427,735,0.000545,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.29319,84196,TRUE,FALSE,431,735,427,735,0.000545,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.023716,59796,FALSE,FALSE,431,735,377,687,0.00268,0,40,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01a,9,0.0,5364,NONE,FALSE,431,735,351,667,0.002629,14567372,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01b,1,0.02449,59432,TRUE,FALSE,846,1148,426,748,0.002946,0,395,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,25
ASLink-PT-01b,10,0.044069,60520,TRUE,FALSE,846,1148,846,1148,0.000408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6132,TRUE,TRUE,846,1148,438,801,0.00288,0,386,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,12,0.025505,60512,TRUE,FALSE,846,1148,846,1148,0.000421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5952,FALSE,TRUE,846,1148,362,764,0.003345,22689517,453,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,48
ASLink-PT-01b,14,0.0,7084,FALSE,TRUE,846,1148,846,1148,0.000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5980,FALSE,TRUE,846,1148,383,744,0.00483,0,433,0,15,6,0,0,0,0,0,0,0,0,1,0,0,0,32
ASLink-PT-01b,16,0.0,7080,FALSE,TRUE,846,1148,846,1148,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1628404,NONE,FALSE,846,1148,846,1148,0.000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5904,TRUE,TRUE,846,1148,399,710,0.003376,0,422,0,14,7,0,0,0,0,0,0,0,0,1,0,0,0,11
ASLink-PT-01b,4,0.0,5572,NONE,FALSE,846,1148,404,759,0.003428,0,417,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,34
