model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.02214,60672,TRUE,FALSE,87,33676,87,1216,1.66337,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5952,NONE,FALSE,87,33676,65,736,0.465259,0,22,0,0,32901,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.024092,60676,FALSE,FALSE,87,33676,87,1216,1.69258,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,8052,TRUE,TRUE,87,33676,87,1216,1.65061,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6212,NONE,FALSE,87,33676,71,812,0.464199,0,16,0,0,32831,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.02296,60676,FALSE,FALSE,87,33676,87,1216,1.6666,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,8052,TRUE,TRUE,87,33676,87,1216,1.6563,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,234640,NONE,FALSE,87,33676,87,1216,1.6695,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,4947588,NONE,FALSE,87,33676,87,1216,1.67979,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.483798,67320,FALSE,FALSE,87,33676,87,1216,1.66404,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,8052,FALSE,TRUE,87,33676,87,1216,1.66681,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,8056,FALSE,TRUE,87,33676,87,1216,1.69285,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6216,FALSE,TRUE,87,33676,66,779,0.466435,0,21,0,0,32859,0,0,17,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,236304,NONE,FALSE,87,33676,87,1216,1.68077,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,8052,FALSE,TRUE,87,33676,87,1216,1.6495,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6476,NONE,FALSE,87,33676,71,870,0.459931,0,16,0,0,32790,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6016,TRUE,TRUE,431,735,428,728,0.002027,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,10,0.035164,60096,FALSE,FALSE,431,735,427,728,0.001969,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,11,0.0,6012,FALSE,TRUE,431,735,428,728,0.001966,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,12,0.0,5816,TRUE,TRUE,431,735,351,667,0.00259,16657248,60,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01a,13,0.0,5552,NONE,FALSE,431,735,427,728,0.001965,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,14,0.022459,59968,TRUE,FALSE,431,735,427,728,0.001981,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0
ASLink-PT-01a,15,0.0,5640,FALSE,TRUE,431,735,350,663,0.002585,13281234,61,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,4
