model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.030213,170292,TRUE,FALSE,87,33676,87,33676,0.000912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5952,NONE,FALSE,87,33676,62,727,0.590547,9600000,1,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,11,0.031422,170880,FALSE,FALSE,87,33676,87,33676,0.000634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,168032,TRUE,TRUE,87,33676,87,33676,0.000889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6212,NONE,FALSE,87,33676,70,809,0.593605,0,0,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,481
ARMCacheCoherence-PT-none,14,0.029859,170308,FALSE,FALSE,87,33676,87,33676,0.000695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,166180,TRUE,TRUE,87,33676,87,33676,0.000681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,169156,NONE,FALSE,87,33676,87,33676,0.000751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6832988,NONE,FALSE,87,33676,87,33676,0.000702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.9805,170360,FALSE,FALSE,87,33676,87,33676,0.000806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7127184,NONE,FALSE,87,33676,87,33676,0.000861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,167916,FALSE,TRUE,87,33676,87,33676,0.001077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,63,770,0.598221,10560000,1,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,535
ARMCacheCoherence-PT-none,7,0.0,170080,NONE,FALSE,87,33676,87,33676,0.000683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,168404,FALSE,TRUE,87,33676,87,33676,0.000688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6480,NONE,FALSE,87,33676,69,864,0.581693,0,0,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,433
ASLink-PT-01a,1,0.0,6016,TRUE,TRUE,431,735,428,735,0.000235,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.032628,60116,FALSE,FALSE,431,735,427,735,0.00022,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6016,FALSE,TRUE,431,735,428,735,0.000242,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5816,TRUE,TRUE,431,735,351,667,0.001883,16657248,51,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,15
ASLink-PT-01a,13,0.0,5556,NONE,FALSE,431,735,427,735,0.00022,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.022528,59900,TRUE,FALSE,431,735,427,735,0.00024,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,5640,FALSE,TRUE,431,735,350,663,0.001832,13281234,55,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,10
ASLink-PT-01a,16,0.0,6000,FALSE,TRUE,431,735,427,735,0.000236,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.02342,59888,FALSE,FALSE,431,735,427,735,0.000221,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,6000,TRUE,TRUE,431,735,427,735,0.000217,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5684,FALSE,TRUE,431,735,350,663,0.00185,13261190,54,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,11
ASLink-PT-01a,5,0.0,5824,TRUE,TRUE,431,735,354,669,0.001791,16826335,53,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,11
ASLink-PT-01a,6,0.022537,60020,FALSE,FALSE,431,735,427,735,0.000233,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,1.40272,84144,TRUE,FALSE,431,735,427,735,0.000232,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0243,59808,FALSE,FALSE,431,735,377,687,0.00186,0,37,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,9,0.0,5380,NONE,FALSE,431,735,351,667,0.001849,14567372,53,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01b,1,0.024144,59460,TRUE,FALSE,846,1148,426,748,0.002015,0,389,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,10,0.046539,60532,TRUE,FALSE,846,1148,846,1148,0.000162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,6144,TRUE,TRUE,846,1148,438,801,0.002043,0,379,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-01b,12,0.025543,60540,TRUE,FALSE,846,1148,846,1148,0.000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.0,5900,FALSE,TRUE,846,1148,362,764,0.002673,22689517,441,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,60
ASLink-PT-01b,14,0.0,7096,FALSE,TRUE,846,1148,846,1148,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.0,5932,FALSE,TRUE,846,1148,383,744,0.004825,0,421,0,15,6,0,1,0,0,0,0,0,0,0,0,0,0,51
ASLink-PT-01b,16,0.0,7092,FALSE,TRUE,846,1148,846,1148,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0,1528204,NONE,FALSE,846,1148,846,1148,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,5912,TRUE,TRUE,846,1148,399,710,0.002595,0,408,0,14,7,0,1,0,0,0,0,0,0,0,3,0,0,25
ASLink-PT-01b,4,0.0,5584,NONE,FALSE,846,1148,404,759,0.002673,0,408,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,5,0.0,7192,TRUE,TRUE,846,1148,846,1148,0.000191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,5756,FALSE,TRUE,846,1148,348,675,0.004625,21808513,437,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-01b,7,0.0,7104,FALSE,TRUE,846,1148,846,1148,0.000179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,6144,FALSE,TRUE,846,1148,448,794,0.002047,0,369,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,9,0.0,5904,TRUE,TRUE,846,1148,347,748,0.003258,12482368,446,0,19,7,0,2,0,0,0,0,0,0,0,7,0,0,72
ASLink-PT-02a,1,0.0,6568,TRUE,TRUE,626,1008,618,1008,0.000308,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.001325,7288,TRUE,FALSE,626,1008,618,1008,0.000304,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.033614,60120,TRUE,FALSE,626,1008,618,1008,0.000321,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,6692,TRUE,TRUE,626,1008,618,1008,0.000308,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,6668,FALSE,TRUE,626,1008,618,1008,0.000314,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,6724,FALSE,TRUE,626,1008,618,1008,0.000319,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,6632,TRUE,TRUE,626,1008,618,1008,0.000309,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.130926,60440,FALSE,FALSE,626,1008,618,1008,0.000323,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6728,TRUE,TRUE,626,1008,618,1008,0.000329,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.022127,60168,TRUE,FALSE,626,1008,618,1008,0.000317,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.02223,59440,FALSE,FALSE,626,1008,618,1008,0.000309,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.001337,7492,FALSE,FALSE,626,1008,485,886,0.00273,0,86,27,30,11,0,0,0,0,0,0,0,0,0,0,0,0,14
ASLink-PT-02a,6,0.029134,59752,FALSE,FALSE,626,1008,618,1008,0.000309,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,6252,NONE,FALSE,626,1008,618,1008,0.000357,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,6628,FALSE,TRUE,626,1008,618,1008,0.000324,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,6624,TRUE,TRUE,626,1008,535,925,0.002522,0,63,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,10
ASLink-PT-02b,1,0.034639,61284,TRUE,FALSE,1242,1621,1242,1621,0.000237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,1199484,NONE,FALSE,1242,1621,1242,1621,0.000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.0,8812,TRUE,TRUE,1242,1621,1242,1621,0.000213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.0,8660,TRUE,TRUE,1242,1621,1242,1621,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.0,8664,FALSE,TRUE,1242,1621,1242,1621,0.000244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.023343,61704,FALSE,FALSE,1242,1621,1242,1621,0.000225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0.022784,61352,FALSE,FALSE,1242,1621,1242,1621,0.000241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.0,8480,TRUE,TRUE,1242,1621,1242,1621,0.000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,8660,TRUE,TRUE,1242,1621,1242,1621,0.000218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
