model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.028042,170292,TRUE,FALSE,87,33676,87,33676,0.001042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5948,NONE,FALSE,87,33676,62,727,0.589835,9600000,1,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,11,0.03149,170308,FALSE,FALSE,87,33676,87,33676,0.000633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,168956,TRUE,TRUE,87,33676,87,33676,0.000618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6216,NONE,FALSE,87,33676,70,809,0.610156,0,0,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,481
ARMCacheCoherence-PT-none,14,0.028643,170292,FALSE,FALSE,87,33676,87,33676,0.000664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,170656,TRUE,TRUE,87,33676,87,33676,0.000969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,169380,NONE,FALSE,87,33676,87,33676,0.00107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6862032,NONE,FALSE,87,33676,87,33676,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.4474,170360,FALSE,FALSE,87,33676,87,33676,0.000636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7087008,NONE,FALSE,87,33676,87,33676,0.000604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,167764,FALSE,TRUE,87,33676,87,33676,0.000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6212,FALSE,TRUE,87,33676,63,770,0.596636,10560000,1,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,535
ARMCacheCoherence-PT-none,7,0.0,168036,NONE,FALSE,87,33676,87,33676,0.00059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,170276,FALSE,TRUE,87,33676,87,33676,0.000788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6480,NONE,FALSE,87,33676,69,864,0.584641,0,0,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,433
ASLink-PT-01a,1,0.0,6016,TRUE,TRUE,431,735,428,735,0.000229,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.03234,60116,FALSE,FALSE,431,735,427,735,0.000208,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0,6012,FALSE,TRUE,431,735,428,735,0.000236,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,5816,TRUE,TRUE,431,735,351,667,0.001704,16657248,51,0,15,7,0,0,0,0,0,0,0,0,0,0,0,0,15
ASLink-PT-01a,13,0.0,5560,NONE,FALSE,431,735,427,735,0.000227,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
