model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,1058888,NONE,FALSE,87,33676,86,11752,0.837439,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,10,0.003909,61268,FALSE,FALSE,87,33676,86,11753,0.840556,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,11,0.0,661728,NONE,FALSE,87,33676,86,11751,0.84038,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,12,0.0,3388,FALSE,TRUE,87,33676,1,1,0.240318,2,0,0,0,21802,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,1228432,NONE,FALSE,87,33676,86,11751,0.841899,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,14,0.0,1233336,NONE,FALSE,87,33676,86,11753,0.836201,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,15,0.003042,61272,FALSE,FALSE,87,33676,86,11752,0.839289,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,16,0.005067,61268,TRUE,FALSE,87,33676,86,11753,0.842428,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,2,0.0,957184,NONE,FALSE,87,33676,86,11751,0.833975,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,3,0.0,663664,NONE,FALSE,87,33676,86,11751,0.840141,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,4,0.0,1432284,NONE,FALSE,87,33676,86,11752,0.837943,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,5,0.0,675764,NONE,FALSE,87,33676,86,11751,0.831067,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,6,0.0,1318348,NONE,FALSE,87,33676,86,11751,0.83518,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,7,0.0,1231832,NONE,FALSE,87,33676,86,11752,0.837598,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,8,0.0,773888,NONE,FALSE,87,33676,86,11751,0.840798,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,9,0.0,663020,NONE,FALSE,87,33676,86,11751,0.837676,0,0,0,0,21908,0,0,1,0,1,0,0,0,0,0,0,0,106
ASLink-PT-01a,1,0.003557,7524,FALSE,FALSE,431,735,359,672,0.003419,0,47,4,12,6,0,0,0,0,1,0,0,0,1,0,0,0,7
ASLink-PT-01a,10,0.003399,7608,FALSE,FALSE,431,735,353,667,0.001939,0,49,6,14,7,0,0,0,0,1,0,0,0,1,0,0,0,7
