model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6372,FALSE,TRUE,87,33676,57,665,4.09264,588061,17,0,0,32929,0,0,2,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6316,TRUE,TRUE,87,33676,56,645,4.31015,1283041,18,0,0,32979,0,0,3,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,4644,FALSE,TRUE,87,33676,30,222,4.19495,19200,23,0,0,33358,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3620,FALSE,TRUE,87,33676,1,1,0.334998,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4728,FALSE,TRUE,87,33676,39,245,4.16117,92160,22,0,0,33339,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,14,0.002624,7364,FALSE,FALSE,87,33676,53,614,4.32613,933121,21,0,0,33007,0,0,3,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.004599,7328,FALSE,FALSE,87,33676,54,606,4.16346,414721,20,0,0,32985,0,0,2,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6448,FALSE,TRUE,87,33676,55,717,4.09304,3456000,22,0,0,32880,0,0,3,0,2,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,4644,FALSE,TRUE,87,33676,30,222,4.16422,19200,24,0,0,33357,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,3,0.003803,6692,FALSE,FALSE,87,33676,34,226,4.15129,45000,23,0,0,33356,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,5720,TRUE,TRUE,87,33676,51,547,4.12803,1036800,22,0,0,33046,0,0,2,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,4644,FALSE,TRUE,87,33676,30,222,4.16426,19200,24,0,0,33357,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,4816,FALSE,TRUE,87,33676,38,265,4.14452,63360,19,0,0,33320,0,0,1,0,2,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002326,7360,TRUE,FALSE,87,33676,53,620,4.15127,1024001,22,0,0,32972,0,0,3,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6204,TRUE,TRUE,87,33676,50,609,4.15494,276481,22,0,0,32980,0,0,1,0,2,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,4648,FALSE,TRUE,87,33676,30,222,4.1177,19200,23,0,0,33358,0,0,1,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01a,1,0.0,6252,TRUE,TRUE,431,735,346,659,0.011039,13070810,54,16,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,6180,TRUE,TRUE,431,735,333,650,0.006584,10297735,57,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,11,0.033998,7796,FALSE,FALSE,431,735,333,650,0.006427,10297735,57,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,12,0.175201,7796,FALSE,FALSE,431,735,333,650,0.006616,10297735,57,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
