model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6228,FALSE,TRUE,87,33676,70,811,1.56465,0,17,0,0,32797,0,0,2,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6200,TRUE,TRUE,87,33676,69,768,1.56398,0,18,0,0,32867,0,0,3,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5936,FALSE,TRUE,87,33676,64,707,1.56842,29700000,23,0,0,32895,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3368,FALSE,TRUE,87,33676,1,1,0.074267,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6028,FALSE,TRUE,87,33676,65,736,1.54895,0,22,0,0,32867,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.001317,7068,FALSE,FALSE,87,33676,66,737,1.53954,0,21,0,0,32895,0,0,3,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.001158,7096,FALSE,FALSE,87,33676,67,752,1.57115,0,20,0,0,32853,0,0,2,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6200,FALSE,TRUE,87,33676,65,764,1.54347,0,22,0,0,32839,0,0,3,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5936,FALSE,TRUE,87,33676,63,706,1.55009,27000000,24,0,0,32895,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.003602,7164,FALSE,FALSE,87,33676,64,707,1.57549,0,23,0,0,32895,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6204,TRUE,TRUE,87,33676,65,778,1.55343,0,22,0,0,32825,0,0,2,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5936,FALSE,TRUE,87,33676,63,706,1.53761,27000000,24,0,0,32895,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6228,FALSE,TRUE,87,33676,68,809,1.53767,0,19,0,0,32797,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002339,6972,TRUE,FALSE,87,33676,65,708,1.54499,29700001,22,0,0,32895,0,0,3,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6092,TRUE,TRUE,87,33676,65,736,1.55959,29700001,22,0,0,32867,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5940,FALSE,TRUE,87,33676,64,707,1.54023,29700000,23,0,0,32895,0,0,1,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5852,TRUE,TRUE,431,735,348,661,0.001982,13146186,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,1
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,333,650,0.004173,10297735,69,18,19,8,0,0,0,0,0,0,0,0,2,0,0,0,1
ASLink-PT-01a,11,0.238514,8080,FALSE,FALSE,431,735,333,650,0.004147,10297735,69,18,19,8,0,0,0,0,0,0,0,0,2,0,0,0,1
ASLink-PT-01a,12,0.049798,7516,FALSE,FALSE,431,735,334,651,0.004534,10327611,69,18,19,8,0,0,0,0,0,0,0,0,2,0,0,0,0
