model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ARMCacheCoherence-PT-none,1,0.0,6368,FALSE,TRUE,87,33676,57,665,5.04568,588061,17,0,0,32929,0,0,9,0,1,0,0,0,0,0,0,0,0,34620
ARMCacheCoherence-PT-none,10,0.0,6312,TRUE,TRUE,87,33676,56,645,4.79402,1283041,18,0,0,32979,0,0,8,0,1,0,0,0,0,0,0,0,0,20055
ARMCacheCoherence-PT-none,11,0.0,4640,FALSE,TRUE,87,33676,30,222,4.84868,19200,23,0,0,33478,0,0,8,0,1,0,0,0,2,0,0,0,0,34728
ARMCacheCoherence-PT-none,12,0.0,3608,FALSE,TRUE,87,33676,1,1,0.499769,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4724,FALSE,TRUE,87,33676,39,245,4.83605,92160,22,0,0,33426,0,0,8,0,1,0,0,0,2,0,0,0,0,34687
ARMCacheCoherence-PT-none,14,0.002565,7360,FALSE,FALSE,87,33676,53,614,4.72394,933121,21,0,0,33007,0,0,8,0,1,0,0,0,0,0,0,0,0,20055
ARMCacheCoherence-PT-none,15,0.004678,7324,FALSE,FALSE,87,33676,54,606,5.04756,414721,20,0,0,32985,0,0,9,0,1,0,0,0,0,0,0,0,0,34620
ARMCacheCoherence-PT-none,16,0.0,6444,FALSE,TRUE,87,33676,55,717,4.57113,3456000,22,0,0,32880,0,0,6,0,1,0,0,0,1,0,0,0,0,3944
ARMCacheCoherence-PT-none,2,0.0,4640,FALSE,TRUE,87,33676,30,222,4.91016,19200,24,0,0,33468,0,0,8,0,1,0,0,0,2,0,0,0,0,34722
ARMCacheCoherence-PT-none,3,0.003227,6688,FALSE,FALSE,87,33676,34,226,4.92345,45000,23,0,0,33455,0,0,8,0,1,0,0,0,2,0,0,0,0,34706
