model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6260,FALSE,TRUE,87,33676,67,802,1.2619,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6240,TRUE,TRUE,87,33676,67,762,1.37504,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5976,FALSE,TRUE,87,33676,61,698,1.23379,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3412,FALSE,TRUE,87,33676,1,1,1.10235,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6048,FALSE,TRUE,87,33676,62,727,1.27117,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.008001,7096,FALSE,FALSE,87,33676,64,731,1.25476,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.006321,7304,FALSE,FALSE,87,33676,64,743,1.39028,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6216,FALSE,TRUE,87,33676,64,761,1.23653,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5976,FALSE,TRUE,87,33676,60,697,1.46691,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.013337,7196,FALSE,FALSE,87,33676,61,698,1.49586,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6236,TRUE,TRUE,87,33676,63,772,1.45546,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5976,FALSE,TRUE,87,33676,60,697,1.2826,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6252,FALSE,TRUE,87,33676,65,800,1.79305,0,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002668,7200,TRUE,FALSE,87,33676,62,699,1.38736,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6048,TRUE,TRUE,87,33676,62,727,1.46355,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5980,FALSE,TRUE,87,33676,61,698,1.2504,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,6012,TRUE,TRUE,431,735,349,662,0.003837,0,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5572,TRUE,TRUE,431,735,334,651,0.005016,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.028755,7528,FALSE,FALSE,431,735,334,651,0.005062,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.146978,7560,FALSE,FALSE,431,735,334,651,0.004972,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5512,FALSE,TRUE,431,735,334,651,0.00511,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5512,FALSE,TRUE,431,735,336,652,0.004613,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.003769,7588,FALSE,FALSE,431,735,336,653,0.005261,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5572,TRUE,TRUE,431,735,340,657,0.004801,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.002766,7000,FALSE,FALSE,431,735,334,651,0.004732,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5504,TRUE,TRUE,431,735,336,653,0.004632,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5512,FALSE,TRUE,431,735,336,652,0.005176,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5860,TRUE,TRUE,431,735,346,659,0.004176,0,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.003489,7584,FALSE,FALSE,431,735,334,651,0.00512,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6080,TRUE,TRUE,431,735,337,654,0.005099,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,5512,FALSE,TRUE,431,735,335,652,0.005246,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.0,5648,FALSE,TRUE,431,735,343,657,0.004018,0,63,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.007268,7616,FALSE,FALSE,846,1148,353,667,0.005292,0,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.058973,7548,TRUE,FALSE,846,1148,343,660,0.006512,11100746,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.0,5848,FALSE,TRUE,846,1148,357,670,0.006676,0,453,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.0,5596,TRUE,TRUE,846,1148,348,663,0.006574,11143657,459,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0
