model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6292,FALSE,TRUE,87,33676,67,802,1.29716,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6260,TRUE,TRUE,87,33676,67,762,1.19521,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5888,FALSE,TRUE,87,33676,61,698,1.39637,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3376,FALSE,TRUE,87,33676,1,1,1.08926,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6084,FALSE,TRUE,87,33676,62,727,1.21243,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.007736,7068,FALSE,FALSE,87,33676,64,731,1.22115,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.006383,7260,FALSE,FALSE,87,33676,64,743,1.36741,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6248,FALSE,TRUE,87,33676,64,761,1.39164,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5888,FALSE,TRUE,87,33676,60,697,1.20161,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.011068,7152,FALSE,FALSE,87,33676,61,698,1.22192,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6260,TRUE,TRUE,87,33676,63,772,1.29838,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5888,FALSE,TRUE,87,33676,60,697,1.43287,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6284,FALSE,TRUE,87,33676,65,800,1.3763,0,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002559,7152,TRUE,FALSE,87,33676,62,699,1.22781,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6144,TRUE,TRUE,87,33676,62,727,1.33162,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
