model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6264,FALSE,TRUE,87,33676,67,802,3.98073,0,0,489,0,32794,0,0,2,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6244,TRUE,TRUE,87,33676,67,762,3.99665,0,0,525,0,32836,0,0,31,2,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5984,FALSE,TRUE,87,33676,61,698,3.93891,8800000,1,647,0,32892,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3412,FALSE,TRUE,87,33676,1,1,0.41273,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6056,FALSE,TRUE,87,33676,62,727,4.08635,9600000,1,591,0,32864,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.008104,7100,FALSE,FALSE,87,33676,64,731,4.02024,0,0,585,0,32864,0,0,31,2,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.005555,7308,FALSE,FALSE,87,33676,64,743,4.02508,10400001,0,603,0,32850,0,0,2,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6220,FALSE,TRUE,87,33676,64,761,4.02968,0,1,537,0,32836,0,0,3,1,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5984,FALSE,TRUE,87,33676,60,697,4.01231,8000000,1,649,0,32892,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.010927,7200,FALSE,FALSE,87,33676,61,698,3.99748,8800000,1,647,0,32892,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6244,TRUE,TRUE,87,33676,63,772,4.00598,0,1,551,0,32822,0,0,2,2,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5980,FALSE,TRUE,87,33676,60,697,4.00768,8000000,1,649,0,32892,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6256,FALSE,TRUE,87,33676,65,800,4.02822,12480000,1,491,0,32794,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002682,7200,TRUE,FALSE,87,33676,62,699,4.03329,8800001,0,647,0,32892,0,0,3,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6052,TRUE,TRUE,87,33676,62,727,3.99251,8800001,0,593,0,32864,0,0,1,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5984,FALSE,TRUE,87,33676,61,698,4.00659,8800000,1,647,0,32892,0,0,1,3,2,0,0,3,0,0,0,0,0
ASLink-PT-01a,1,0.0,5864,TRUE,TRUE,431,735,348,661,0.00969,13146186,0,70,16,0,0,0,0,0,0,0,0,7,0,0,0,0,1
ASLink-PT-01a,10,0.0,5584,TRUE,TRUE,431,735,333,650,0.012657,10297735,1,78,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,11,0.511824,7540,FALSE,FALSE,431,735,333,650,0.012626,10297735,1,78,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,12,0.146262,7536,FALSE,FALSE,431,735,334,651,0.01281,10327611,1,79,19,1,0,0,0,0,0,0,0,7,2,0,0,0,0
ASLink-PT-01a,13,0.0,5508,FALSE,TRUE,431,735,333,650,0.012815,10297735,1,78,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,14,0.0,5512,FALSE,TRUE,431,735,335,651,0.013087,12082239,1,77,18,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,15,0.002982,7592,FALSE,FALSE,431,735,335,652,0.012499,10637016,1,76,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,16,0.0,5580,TRUE,TRUE,431,735,339,656,0.012321,10519513,1,71,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,2,0.002162,7560,FALSE,FALSE,431,735,333,650,0.012758,10297735,1,78,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,3,0.0,5508,TRUE,TRUE,431,735,335,652,0.011153,10354747,1,76,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,4,0.0,5508,FALSE,TRUE,431,735,335,651,0.011097,10349035,1,77,18,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,5,0.0,5756,TRUE,TRUE,431,735,345,658,0.01027,0,0,71,17,5,0,0,0,0,0,0,0,7,0,0,0,0,3
ASLink-PT-01a,6,0.002524,7708,FALSE,FALSE,431,735,333,650,0.012622,10297735,1,78,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,7,0.0,6432,TRUE,TRUE,431,735,336,653,0.012642,10416352,1,75,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
ASLink-PT-01a,8,0.0,5520,FALSE,TRUE,431,735,334,651,0.012508,10327204,1,77,19,5,0,0,0,0,0,0,0,7,2,0,0,0,3
