model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6264,FALSE,TRUE,87,33676,67,802,1.23014,0,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,10,0.0,6168,TRUE,TRUE,87,33676,67,762,1.19942,0,0,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,525
ARMCacheCoherence-PT-none,11,0.0,5980,FALSE,TRUE,87,33676,61,698,1.20759,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,12,0.0,3416,FALSE,TRUE,87,33676,1,1,1.09897,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6052,FALSE,TRUE,87,33676,62,727,1.2087,9600000,1,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,591
ARMCacheCoherence-PT-none,14,0.006685,7100,FALSE,FALSE,87,33676,64,731,1.37716,0,0,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,585
ARMCacheCoherence-PT-none,15,0.006266,7308,FALSE,FALSE,87,33676,64,743,1.20986,10400001,0,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,603
ARMCacheCoherence-PT-none,16,0.0,6220,FALSE,TRUE,87,33676,64,761,1.19791,0,1,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,537
ARMCacheCoherence-PT-none,2,0.0,5980,FALSE,TRUE,87,33676,60,697,1.21238,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.008749,7200,FALSE,FALSE,87,33676,61,698,1.20627,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,6244,TRUE,TRUE,87,33676,63,772,1.20992,0,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,5980,FALSE,TRUE,87,33676,60,697,1.20627,8000000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,6260,FALSE,TRUE,87,33676,65,800,1.21338,12480000,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.002677,7200,TRUE,FALSE,87,33676,62,699,1.19825,8800001,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,6052,TRUE,TRUE,87,33676,62,727,1.20555,8800001,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ARMCacheCoherence-PT-none,9,0.0,5980,FALSE,TRUE,87,33676,61,698,1.20986,8800000,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ASLink-PT-01a,1,0.0,6432,TRUE,TRUE,431,735,348,661,0.003791,13146186,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,10,0.0,5584,TRUE,TRUE,431,735,333,650,0.007062,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,11,0.027135,7532,FALSE,FALSE,431,735,333,650,0.006981,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,12,0.148035,8044,FALSE,FALSE,431,735,334,651,0.006942,10327611,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01a,13,0.0,5508,FALSE,TRUE,431,735,333,650,0.005937,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,14,0.0,5508,FALSE,TRUE,431,735,335,651,0.006984,12082239,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,15,0.002951,7592,FALSE,FALSE,431,735,335,652,0.007104,10637016,56,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,16,0.0,5580,TRUE,TRUE,431,735,339,656,0.006762,10519513,51,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,2,0.002752,7608,FALSE,FALSE,431,735,333,650,0.006766,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.0,5508,TRUE,TRUE,431,735,335,652,0.006087,10354747,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
