model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ARMCacheCoherence-PT-none,1,0.0,6432,FALSE,TRUE,87,33676,57,665,1.67165,588061,17,0,0,32957,0,0,18,3,1,0,0,0,0,0,0,0,0,219
ARMCacheCoherence-PT-none,10,0.0,6372,TRUE,TRUE,87,33676,56,645,1.65709,1283041,18,0,0,32978,0,0,18,2,1,0,0,0,0,0,0,0,0,221
ARMCacheCoherence-PT-none,11,0.0,4708,FALSE,TRUE,87,33676,30,222,1.4992,19200,23,0,0,33504,0,3,18,3,1,0,0,0,0,569,0,0,0,327
ARMCacheCoherence-PT-none,12,0.0,3680,FALSE,TRUE,87,33676,1,1,1.15974,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4788,FALSE,TRUE,87,33676,39,245,1.50565,92160,22,0,0,33456,0,3,18,3,1,0,0,0,0,597,0,0,0,286
ARMCacheCoherence-PT-none,14,0.002565,7420,FALSE,FALSE,87,33676,53,614,1.70528,933121,21,0,0,33006,0,0,18,2,1,0,0,0,0,0,0,0,0,221
ARMCacheCoherence-PT-none,15,0.004776,7388,FALSE,FALSE,87,33676,54,606,1.67886,414721,20,0,0,33013,0,0,18,3,1,0,0,0,0,0,0,0,0,219
ARMCacheCoherence-PT-none,16,0.0,6508,FALSE,TRUE,87,33676,55,717,1.78341,3456000,22,0,0,32908,0,1,18,1,1,0,0,0,0,129,0,0,0,77
ARMCacheCoherence-PT-none,2,0.0,4708,FALSE,TRUE,87,33676,30,222,1.47995,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,569,0,0,0,321
ARMCacheCoherence-PT-none,3,0.003884,6748,FALSE,FALSE,87,33676,34,226,1.50348,45000,23,0,0,33482,0,3,18,3,1,0,0,0,0,569,0,0,0,305
ARMCacheCoherence-PT-none,4,0.0,5780,TRUE,TRUE,87,33676,51,547,1.80445,1036800,22,0,0,33073,0,2,18,2,1,0,0,0,0,377,0,0,0,150
ARMCacheCoherence-PT-none,5,0.0,4708,FALSE,TRUE,87,33676,30,222,1.49182,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,569,0,0,0,321
ARMCacheCoherence-PT-none,6,0.0,4872,FALSE,TRUE,87,33676,38,265,1.49576,63360,19,0,0,33453,0,3,18,3,1,0,0,0,0,646,0,0,0,310
ARMCacheCoherence-PT-none,7,0.002257,7424,TRUE,FALSE,87,33676,53,620,1.68681,1024001,22,0,0,32999,0,0,17,3,1,0,0,0,0,0,0,0,0,148
ARMCacheCoherence-PT-none,8,0.0,6264,TRUE,TRUE,87,33676,50,609,1.66632,276481,22,0,0,33006,0,0,18,3,1,0,0,0,0,0,0,0,0,223
ARMCacheCoherence-PT-none,9,0.0,4708,FALSE,TRUE,87,33676,30,222,1.46335,19200,23,0,0,33504,0,3,18,3,1,0,0,0,0,569,0,0,0,327
ASLink-PT-01a,1,0.0,6252,TRUE,TRUE,431,735,346,659,0.011806,13070810,54,16,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,10,0.0,6244,TRUE,TRUE,431,735,333,650,0.005364,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,11,0.033469,7864,FALSE,FALSE,431,735,333,650,0.006662,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,12,0.173456,7860,FALSE,FALSE,431,735,333,650,0.006404,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,13,0.0,6180,FALSE,TRUE,431,735,333,650,0.006527,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,14,0.0,6188,FALSE,TRUE,431,735,335,651,0.006479,12082239,56,18,18,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,15,0.003524,7920,FALSE,FALSE,431,735,333,650,0.006431,10297735,57,13,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,24
ASLink-PT-01a,16,0.0,6252,TRUE,TRUE,431,735,338,655,0.006451,10489732,51,17,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,24
ASLink-PT-01a,2,0.002534,7864,FALSE,FALSE,431,735,333,650,0.006433,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,3,0.0,6184,TRUE,TRUE,431,735,335,652,0.006522,10354747,55,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,4,0.0,6184,FALSE,TRUE,431,735,335,651,0.005413,10349035,56,18,18,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,5,0.0,6896,TRUE,TRUE,431,735,345,658,0.005347,0,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01a,6,0.002732,8200,FALSE,FALSE,431,735,333,650,0.006292,10297735,57,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,23
ASLink-PT-01a,7,0.0,6332,TRUE,TRUE,431,735,335,652,0.00641,10386727,54,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,24
ASLink-PT-01a,8,0.0,6180,FALSE,TRUE,431,735,333,650,0.006387,10297735,56,18,19,8,0,2,0,0,0,0,0,0,0,5,0,0,0,24
ASLink-PT-01a,9,0.0,6260,FALSE,TRUE,431,735,342,656,0.00617,13008936,55,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,1,0.005392,7912,FALSE,FALSE,846,1148,344,658,0.013082,0,446,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,10,0.021276,7868,TRUE,FALSE,846,1148,335,652,0.008037,10356117,447,30,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,11,0.0,6280,FALSE,TRUE,846,1148,347,660,0.008377,0,444,24,18,8,0,1,0,0,0,0,0,0,0,2,0,0,0,38
ASLink-PT-01b,12,0.0,6256,TRUE,TRUE,846,1148,339,654,0.008349,10364365,447,29,20,8,0,1,0,0,0,0,0,0,0,3,0,0,0,42
ASLink-PT-01b,13,0.0,6264,FALSE,TRUE,846,1148,338,654,0.008398,0,446,25,20,8,0,2,0,0,0,0,0,0,0,5,0,0,0,46
ASLink-PT-01b,14,0.038979,7424,FALSE,FALSE,846,1148,345,659,0.008342,0,442,27,18,8,0,2,0,0,0,0,0,0,0,5,0,0,0,44
ASLink-PT-01b,15,0.0,6344,TRUE,TRUE,846,1148,350,663,0.008342,0,441,29,18,8,0,1,0,0,0,0,0,0,0,2,0,0,0,37
ASLink-PT-01b,16,0.008739,7420,FALSE,FALSE,846,1148,344,659,0.00843,10548906,445,29,19,7,0,1,0,0,0,0,0,0,0,3,0,0,0,40
ASLink-PT-01b,2,0.002964,7920,FALSE,FALSE,846,1148,334,651,0.008416,10543657,448,30,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,3,0.0,6264,FALSE,TRUE,846,1148,338,655,0.007426,0,444,30,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,4,0.0,6188,TRUE,TRUE,846,1148,335,652,0.008246,10354747,447,30,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,5,0.003708,7928,FALSE,FALSE,846,1148,338,654,0.007389,11624552,446,29,20,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,6,0.0,6244,TRUE,TRUE,846,1148,335,652,0.00847,10356267,446,29,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,44
ASLink-PT-01b,7,0.002735,7872,FALSE,FALSE,846,1148,337,653,0.008322,12227701,446,30,20,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-01b,8,0.0,6280,TRUE,TRUE,846,1148,347,660,0.007313,0,442,30,18,8,0,1,0,0,0,0,0,0,0,2,0,0,0,38
ASLink-PT-01b,9,0.0,6184,FALSE,TRUE,846,1148,333,650,0.008302,10297735,449,30,21,8,0,2,0,0,0,0,0,0,0,5,0,0,0,43
ASLink-PT-02a,1,33.5353,80700,FALSE,FALSE,626,1008,468,873,0.006441,0,91,27,30,11,0,4,0,0,0,0,0,0,0,10,0,0,0,37
ASLink-PT-02a,10,0.020143,8040,FALSE,FALSE,626,1008,467,873,0.008536,0,91,28,31,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,11,0.00287,8040,TRUE,FALSE,626,1008,467,873,0.008421,0,92,28,31,11,0,4,0,0,0,0,0,0,0,10,0,0,0,35
ASLink-PT-02a,12,0.0,430420,NONE,FALSE,626,1008,469,874,0.00848,0,93,24,31,11,0,3,0,0,0,0,0,0,0,8,0,0,0,34
ASLink-PT-02a,13,0.49994,8344,FALSE,FALSE,626,1008,478,880,0.008478,0,92,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,22
ASLink-PT-02a,14,0.0,6808,FALSE,TRUE,626,1008,464,871,0.008435,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,15,0.0,362884,NONE,FALSE,626,1008,473,877,0.007168,0,91,25,30,11,0,3,0,0,0,0,0,0,0,7,0,0,0,33
ASLink-PT-02a,16,23.1652,55524,FALSE,FALSE,626,1008,464,871,0.008627,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,2,0.0,6808,FALSE,TRUE,626,1008,464,871,0.008555,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,3,0.0,6872,TRUE,TRUE,626,1008,464,871,0.008635,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,4,0.002714,7452,FALSE,FALSE,626,1008,464,871,0.008515,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,5,0.002098,7448,FALSE,FALSE,626,1008,464,871,0.007479,0,93,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,6,0.0,6876,TRUE,TRUE,626,1008,466,873,0.007298,0,91,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02a,7,0.0,6896,FALSE,TRUE,626,1008,472,877,0.008459,0,91,27,31,11,0,3,0,0,0,0,0,0,0,7,0,0,0,31
ASLink-PT-02a,8,0.020978,8036,FALSE,FALSE,626,1008,465,872,0.008668,0,91,28,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,37
ASLink-PT-02a,9,0.0,6868,FALSE,TRUE,626,1008,465,872,0.008378,0,93,23,32,11,0,4,0,0,0,0,0,0,0,10,0,0,0,36
ASLink-PT-02b,1,0.00266,7540,FALSE,FALSE,1242,1621,480,884,0.016649,0,666,46,32,10,0,3,0,0,0,0,0,0,0,8,0,0,0,58
ASLink-PT-02b,10,0.0,6808,FALSE,TRUE,1242,1621,464,871,0.011789,0,675,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
ASLink-PT-02b,11,0.055111,8512,TRUE,FALSE,1242,1621,467,874,0.011803,0,672,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
ASLink-PT-02b,12,0.198997,8132,TRUE,FALSE,1242,1621,482,885,0.011995,0,667,43,32,11,0,3,0,0,0,0,0,0,0,8,0,0,0,60
ASLink-PT-02b,13,0.05287,7980,FALSE,FALSE,1242,1621,465,872,0.011732,0,674,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
ASLink-PT-02b,14,0.0,6904,TRUE,TRUE,1242,1621,480,883,0.01194,0,665,42,31,10,0,3,0,0,0,0,0,0,0,8,0,0,0,66
ASLink-PT-02b,15,0.013984,8584,TRUE,FALSE,1242,1621,473,879,0.011498,0,670,46,34,11,0,4,0,0,0,0,0,0,0,10,0,0,0,57
ASLink-PT-02b,16,0.052193,7916,TRUE,FALSE,1242,1621,465,872,0.011427,0,674,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
ASLink-PT-02b,2,0.0,6888,TRUE,TRUE,1242,1621,472,878,0.011205,0,668,47,34,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
ASLink-PT-02b,3,0.003258,7564,TRUE,FALSE,1242,1621,488,890,0.01184,0,662,45,30,10,0,3,0,0,0,0,0,0,0,8,0,0,0,59
ASLink-PT-02b,4,0.076565,8044,FALSE,FALSE,1242,1621,469,876,0.011945,0,673,46,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,60
ASLink-PT-02b,5,0.08084,7980,FALSE,FALSE,1242,1621,465,872,0.011595,0,673,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,63
ASLink-PT-02b,6,0.0,6808,FALSE,TRUE,1242,1621,465,872,0.011447,0,674,46,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,63
ASLink-PT-02b,7,1.51461,10828,TRUE,FALSE,1242,1621,477,883,0.011835,0,667,46,34,10,0,3,0,0,0,0,0,0,0,8,0,0,0,60
ASLink-PT-02b,8,0.291768,7560,FALSE,FALSE,1242,1621,466,873,0.011586,0,672,47,35,11,0,4,0,0,0,0,0,0,0,10,0,0,0,63
ASLink-PT-02b,9,0.024249,8060,FALSE,FALSE,1242,1621,475,880,0.011408,0,666,47,33,11,0,4,0,0,0,0,0,0,0,10,0,0,0,62
