model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ARMCacheCoherence-PT-none,1,0.0,6376,FALSE,TRUE,87,33676,57,665,1.4502,588061,17,0,0,32957,0,0,18,3,1,0,0,0,0,0,0,0,0,219
ARMCacheCoherence-PT-none,10,0.0,6320,TRUE,TRUE,87,33676,56,645,1.66994,1283041,18,0,0,32978,0,0,18,2,1,0,0,0,0,0,0,0,0,221
ARMCacheCoherence-PT-none,11,0.0,4648,FALSE,TRUE,87,33676,30,222,1.52201,19200,23,0,0,33504,0,3,18,3,1,0,0,0,0,0,0,0,0,327
ARMCacheCoherence-PT-none,12,0.0,3608,FALSE,TRUE,87,33676,1,1,1.09411,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,4728,FALSE,TRUE,87,33676,39,245,1.48047,92160,22,0,0,33456,0,3,18,3,1,0,0,0,0,0,0,0,0,286
ARMCacheCoherence-PT-none,14,0.002432,7368,FALSE,FALSE,87,33676,53,614,1.67854,933121,21,0,0,33006,0,0,18,2,1,0,0,0,0,0,0,0,0,221
ARMCacheCoherence-PT-none,15,0.003998,7328,FALSE,FALSE,87,33676,54,606,1.68085,414721,20,0,0,33013,0,0,18,3,1,0,0,0,0,0,0,0,0,219
ARMCacheCoherence-PT-none,16,0.0,6452,FALSE,TRUE,87,33676,55,717,1.77682,3456000,22,0,0,32908,0,1,18,1,1,0,0,0,0,0,0,0,0,77
ARMCacheCoherence-PT-none,2,0.0,4652,FALSE,TRUE,87,33676,30,222,1.49315,19200,24,0,0,33494,0,3,18,3,1,0,0,0,0,0,0,0,0,321
ARMCacheCoherence-PT-none,3,0.003625,6696,FALSE,FALSE,87,33676,34,226,1.47602,45000,23,0,0,33482,0,3,18,3,1,0,0,0,0,0,0,0,0,305
