model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.039306,261260,FALSE,FALSE,87,33676,87,33676,0.000414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.045427,261276,TRUE,FALSE,87,33676,87,33676,0.000451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.535272,261280,FALSE,FALSE,87,33676,87,33676,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165684,TRUE,TRUE,87,33676,87,33676,0.000415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.040218,261276,TRUE,FALSE,87,33676,87,33676,0.000429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.001347,17188,FALSE,FALSE,87,33676,63,742,0.385723,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.039374,148824,FALSE,FALSE,87,33676,61,742,0.375887,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.06532,261276,FALSE,FALSE,87,33676,87,33676,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.039535,148376,FALSE,FALSE,87,33676,64,801,0.377953,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.051709,261276,FALSE,FALSE,87,33676,87,33676,0.000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.248687,261216,FALSE,FALSE,87,33676,87,33676,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.038479,261216,FALSE,FALSE,87,33676,87,33676,0.000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.038182,261272,TRUE,FALSE,87,33676,87,33676,0.000483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165688,FALSE,TRUE,87,33676,87,33676,0.000412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.035818,261332,TRUE,FALSE,87,33676,87,33676,0.000429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14552,FALSE,TRUE,431,735,352,665,0.003381,13461242,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.044714,148972,FALSE,FALSE,431,735,427,735,0.000248,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.041925,149524,TRUE,FALSE,431,735,427,735,0.000315,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,15776,TRUE,TRUE,431,735,427,735,0.000259,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.042563,149532,TRUE,FALSE,431,735,427,735,0.00015,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0391,149908,FALSE,FALSE,431,735,427,735,0.00028,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,16056,FALSE,TRUE,431,735,427,735,0.000245,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,2237972,NONE,FALSE,431,735,427,735,0.000247,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.037025,148932,FALSE,FALSE,431,735,427,735,0.000315,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,14748,TRUE,TRUE,431,735,427,735,0.000249,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,15772,FALSE,TRUE,431,735,427,735,0.000317,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.042882,148416,TRUE,FALSE,431,735,353,666,0.002002,14105038,62,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,16276,FALSE,TRUE,431,735,427,735,0.000351,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.075589,149168,FALSE,FALSE,431,735,427,735,0.000312,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,15796,FALSE,TRUE,431,735,427,735,0.000222,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.042494,149520,FALSE,FALSE,431,735,427,735,0.000243,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.03913,149020,TRUE,FALSE,846,1148,846,1148,0.000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.04204,150252,FALSE,FALSE,846,1148,846,1148,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.045478,151552,FALSE,FALSE,846,1148,846,1148,0.000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.042546,149720,TRUE,FALSE,846,1148,846,1148,0.000217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.076632,149548,FALSE,FALSE,846,1148,846,1148,0.000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.000651,16948,FALSE,FALSE,846,1148,378,692,0.001953,25975265,452,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.04743,150460,FALSE,FALSE,846,1148,846,1148,0.000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,1538460,NONE,FALSE,846,1148,846,1148,0.000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.043778,149736,FALSE,FALSE,846,1148,846,1148,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,15856,FALSE,TRUE,846,1148,366,680,0.002524,19192482,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
