model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.038022,261260,FALSE,FALSE,87,33676,87,33676,0.000412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.035869,261276,TRUE,FALSE,87,33676,87,33676,0.000459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.528954,261276,FALSE,FALSE,87,33676,87,33676,0.000417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.036964,261276,TRUE,FALSE,87,33676,87,33676,0.000422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000812,17188,FALSE,FALSE,87,33676,63,742,0.384422,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.039339,148828,FALSE,FALSE,87,33676,61,742,0.377793,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.060584,261276,FALSE,FALSE,87,33676,87,33676,0.000434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.041347,148376,FALSE,FALSE,87,33676,64,801,0.377281,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.051785,261276,FALSE,FALSE,87,33676,87,33676,0.00041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.247701,261216,FALSE,FALSE,87,33676,87,33676,0.000409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.03726,261216,FALSE,FALSE,87,33676,87,33676,0.000408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.038788,261272,TRUE,FALSE,87,33676,87,33676,0.000414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165692,FALSE,TRUE,87,33676,87,33676,0.000422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.035845,261336,TRUE,FALSE,87,33676,87,33676,0.000419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165692,TRUE,TRUE,87,33676,87,33676,0.000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14552,FALSE,TRUE,431,735,352,665,0.003251,13461242,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.044898,148972,FALSE,FALSE,431,735,427,735,0.00032,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.046172,149524,TRUE,FALSE,431,735,427,735,0.000329,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
