model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.035586,261260,FALSE,FALSE,87,33676,87,33676,0.000394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.044307,261280,TRUE,FALSE,87,33676,87,33676,0.000468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.530497,261276,FALSE,FALSE,87,33676,87,33676,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.039442,261276,TRUE,FALSE,87,33676,87,33676,0.000436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000804,17188,FALSE,FALSE,87,33676,63,742,0.386378,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.045119,148828,FALSE,FALSE,87,33676,61,742,0.377699,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.071658,261276,FALSE,FALSE,87,33676,87,33676,0.000449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.035834,148376,FALSE,FALSE,87,33676,64,801,0.37652,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.051287,261276,FALSE,FALSE,87,33676,87,33676,0.000437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.246473,261216,FALSE,FALSE,87,33676,87,33676,0.000442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.036407,261216,FALSE,FALSE,87,33676,87,33676,0.000443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
