model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.051659,261292,FALSE,FALSE,87,33676,87,33676,0.000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.038594,261292,TRUE,FALSE,87,33676,87,33676,0.000466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.54096,261292,FALSE,FALSE,87,33676,87,33676,0.000445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.04015,261292,TRUE,FALSE,87,33676,87,33676,0.000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000784,17188,FALSE,FALSE,87,33676,63,742,0.384052,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.037317,148840,FALSE,FALSE,87,33676,61,742,0.377013,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.065894,261292,FALSE,FALSE,87,33676,87,33676,0.000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.043676,148392,FALSE,FALSE,87,33676,64,801,0.377213,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.053025,261292,FALSE,FALSE,87,33676,87,33676,0.000454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.24786,261232,FALSE,FALSE,87,33676,87,33676,0.000445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.037631,261232,FALSE,FALSE,87,33676,87,33676,0.000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.037312,261292,TRUE,FALSE,87,33676,87,33676,0.000412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165692,FALSE,TRUE,87,33676,87,33676,0.000399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.037563,261348,TRUE,FALSE,87,33676,87,33676,0.000424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14552,FALSE,TRUE,431,735,352,665,0.003277,13461242,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.043245,148988,FALSE,FALSE,431,735,427,735,0.000259,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.042926,149540,TRUE,FALSE,431,735,427,735,0.000304,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,15780,TRUE,TRUE,431,735,427,735,0.00026,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.042674,149548,TRUE,FALSE,431,735,427,735,0.000249,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.038673,149924,FALSE,FALSE,431,735,427,735,0.00025,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,16060,FALSE,TRUE,431,735,427,735,0.000248,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,2233232,NONE,FALSE,431,735,427,735,0.000313,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.044123,148944,FALSE,FALSE,431,735,427,735,0.000251,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,14752,TRUE,TRUE,431,735,427,735,0.000247,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,15780,FALSE,TRUE,431,735,427,735,0.000147,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.042901,148432,TRUE,FALSE,431,735,353,666,0.002595,14105038,62,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,16276,FALSE,TRUE,431,735,427,735,0.000248,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.075075,149184,FALSE,FALSE,431,735,427,735,0.00025,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,15796,FALSE,TRUE,431,735,427,735,0.000249,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.042851,149540,FALSE,FALSE,431,735,427,735,0.000301,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.045449,149052,TRUE,FALSE,846,1148,846,1148,0.000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.040635,150264,FALSE,FALSE,846,1148,846,1148,0.000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.04519,151568,FALSE,FALSE,846,1148,846,1148,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.043482,149736,TRUE,FALSE,846,1148,846,1148,0.000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.077636,149560,FALSE,FALSE,846,1148,846,1148,0.000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.001017,16948,FALSE,FALSE,846,1148,378,692,0.001955,25975265,452,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.046258,150476,FALSE,FALSE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,1543948,NONE,FALSE,846,1148,846,1148,0.000171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.040049,149756,FALSE,FALSE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,15860,FALSE,TRUE,846,1148,366,680,0.001949,19192482,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,15448,FALSE,TRUE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,917860,NONE,FALSE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,1534776,NONE,FALSE,846,1148,846,1148,0.000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.00053,38756,FALSE,FALSE,846,1148,846,1148,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,17260,FALSE,TRUE,846,1148,846,1148,0.000173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,17584,TRUE,TRUE,846,1148,846,1148,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.043376,150532,FALSE,FALSE,626,1008,488,890,0.001969,0,108,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.035441,149832,FALSE,FALSE,626,1008,618,1008,0.000215,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.043978,150780,FALSE,FALSE,626,1008,618,1008,0.000214,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,16736,TRUE,TRUE,626,1008,618,1008,0.000231,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,16092,FALSE,TRUE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.044156,149188,FALSE,FALSE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,16472,FALSE,TRUE,626,1008,618,1008,0.000214,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.04375,149124,FALSE,FALSE,626,1008,618,1008,0.000355,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,16752,TRUE,TRUE,626,1008,618,1008,0.000214,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,14916,TRUE,TRUE,626,1008,491,892,0.001964,0,106,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.041596,149376,FALSE,FALSE,626,1008,618,1008,0.000213,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.0,1278384,NONE,FALSE,626,1008,618,1008,0.000215,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,43.9041,747764,FALSE,FALSE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.043504,149728,FALSE,FALSE,626,1008,618,1008,0.000216,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,16756,FALSE,TRUE,626,1008,618,1008,0.000208,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.038989,149672,TRUE,FALSE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.053702,152364,FALSE,FALSE,1242,1621,1242,1621,0.00029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,18016,TRUE,TRUE,1242,1621,1242,1621,0.000144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0.0,20148,TRUE,TRUE,1242,1621,1242,1621,0.000143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0.0,16448,FALSE,TRUE,1242,1621,511,913,0.002626,0,698,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0.376992,154008,FALSE,FALSE,1242,1621,1242,1621,0.000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0.043384,152424,FALSE,FALSE,1242,1621,1242,1621,0.000146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0.053111,152160,FALSE,FALSE,1242,1621,1242,1621,0.000235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0.000793,17808,FALSE,FALSE,1242,1621,513,915,0.002662,0,696,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,16736,TRUE,TRUE,1242,1621,511,913,0.002648,0,698,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,14896,TRUE,TRUE,1242,1621,513,914,0.002637,0,697,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,16520,TRUE,TRUE,1242,1621,513,914,0.002635,0,697,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0
