model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.04539,261192,FALSE,FALSE,87,33676,87,33676,0.007329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.037701,261208,TRUE,FALSE,87,33676,87,33676,0.007245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.540454,261208,FALSE,FALSE,87,33676,87,33676,0.007154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165628,TRUE,TRUE,87,33676,87,33676,0.007264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.040401,261208,TRUE,FALSE,87,33676,87,33676,0.00728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000816,17224,FALSE,FALSE,87,33676,63,742,0.384321,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.036566,148756,FALSE,FALSE,87,33676,61,742,0.378205,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.06294,261208,FALSE,FALSE,87,33676,87,33676,0.007311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.045901,148304,FALSE,FALSE,87,33676,64,801,0.375056,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.053738,261204,FALSE,FALSE,87,33676,87,33676,0.007343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.249558,261148,FALSE,FALSE,87,33676,87,33676,0.007101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.037485,261148,FALSE,FALSE,87,33676,87,33676,0.007165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.037914,261208,TRUE,FALSE,87,33676,87,33676,0.007245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165628,FALSE,TRUE,87,33676,87,33676,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.037612,261320,TRUE,FALSE,87,33676,87,33676,0.007297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165628,TRUE,TRUE,87,33676,87,33676,0.007337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14448,FALSE,TRUE,431,735,352,665,0.003609,13461242,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.045339,148900,FALSE,FALSE,431,735,427,735,0.000238,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.041037,149452,TRUE,FALSE,431,735,427,735,0.000391,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,15900,TRUE,TRUE,431,735,427,735,0.00024,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.04201,149464,TRUE,FALSE,431,735,427,735,0.000227,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
