model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.040113,151704,FALSE,FALSE,87,33676,87,1216,1.24579,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.043682,151968,TRUE,FALSE,87,33676,87,1216,1.24279,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.047265,151704,FALSE,FALSE,87,33676,87,1216,1.24867,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,17292,TRUE,TRUE,87,33676,87,1216,1.25104,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.043114,151440,TRUE,FALSE,87,33676,87,1216,1.24229,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000832,17184,FALSE,FALSE,87,33676,63,742,1.6057,9600001,0,605,0,32850,0,0,3,3,2,0,0,3,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.04038,148756,FALSE,FALSE,87,33676,61,710,1.31447,8800000,1,593,0,480,0,0,0,3,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.040817,151704,FALSE,FALSE,87,33676,87,1216,1.24467,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.047328,148840,FALSE,FALSE,87,33676,64,769,1.31965,10560001,0,563,0,424,0,0,0,3,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.040255,151440,FALSE,FALSE,87,33676,87,1216,1.24324,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.386834,152436,FALSE,FALSE,87,33676,87,1216,1.24282,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.043389,151644,FALSE,FALSE,87,33676,87,1216,1.25433,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.040173,151708,TRUE,FALSE,87,33676,87,1216,1.24346,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,18912,FALSE,TRUE,87,33676,87,1216,1.24267,0,0,0,0,0,0,0,0,0,0,0,0,32460,0,0,0,0,0
