model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.050376,261268,FALSE,FALSE,87,33676,87,33676,0.009966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.050223,261284,TRUE,FALSE,87,33676,87,33676,0.009799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.543574,261284,FALSE,FALSE,87,33676,87,33676,0.009775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165684,TRUE,TRUE,87,33676,87,33676,0.00978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.050647,261288,TRUE,FALSE,87,33676,87,33676,0.00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000966,17212,FALSE,FALSE,87,33676,66,751,1.56218,0,21,0,0,32853,0,0,3,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.044169,148852,FALSE,FALSE,87,33676,64,751,0.332467,0,23,0,0,32902,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.071792,261284,FALSE,FALSE,87,33676,87,33676,0.009773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.04817,148396,FALSE,FALSE,87,33676,67,810,0.332551,0,20,0,0,32846,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.069578,261284,FALSE,FALSE,87,33676,87,33676,0.009821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.263187,261224,FALSE,FALSE,87,33676,87,33676,0.009774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.048663,261224,FALSE,FALSE,87,33676,87,33676,0.009828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.04892,261284,TRUE,FALSE,87,33676,87,33676,0.009798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165688,FALSE,TRUE,87,33676,87,33676,0.009743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.04578,261340,TRUE,FALSE,87,33676,87,33676,0.009835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165684,TRUE,TRUE,87,33676,87,33676,0.009764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14412,FALSE,TRUE,431,735,347,664,0.003504,13135856,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,6
ASLink-PT-01a,10,0.044755,148980,FALSE,FALSE,431,735,427,735,0.000659,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.045079,149532,TRUE,FALSE,431,735,427,735,0.000839,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,15836,TRUE,TRUE,431,735,427,735,0.00066,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.040431,149540,TRUE,FALSE,431,735,427,735,0.000665,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
