model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.042116,261288,FALSE,FALSE,87,33676,87,33676,0.000423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.038983,261288,TRUE,FALSE,87,33676,87,33676,0.000612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.541723,261292,FALSE,FALSE,87,33676,87,33676,0.000426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165692,TRUE,TRUE,87,33676,87,33676,0.000442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.038343,261288,TRUE,FALSE,87,33676,87,33676,0.000564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000785,17184,FALSE,FALSE,87,33676,63,742,0.387271,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.040096,148836,FALSE,FALSE,87,33676,61,742,0.380593,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.060613,261288,FALSE,FALSE,87,33676,87,33676,0.000422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.039291,148388,FALSE,FALSE,87,33676,64,801,0.375666,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.051687,261288,FALSE,FALSE,87,33676,87,33676,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.253634,261232,FALSE,FALSE,87,33676,87,33676,0.000435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.038644,261228,FALSE,FALSE,87,33676,87,33676,0.000448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.037263,261288,TRUE,FALSE,87,33676,87,33676,0.000434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165688,FALSE,TRUE,87,33676,87,33676,0.000439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.037585,261344,TRUE,FALSE,87,33676,87,33676,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,165688,TRUE,TRUE,87,33676,87,33676,0.000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,14556,FALSE,TRUE,431,735,352,665,0.001511,13461242,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.044286,148988,FALSE,FALSE,431,735,427,735,0.000272,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.043173,149540,TRUE,FALSE,431,735,427,735,0.000151,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.0,15780,TRUE,TRUE,431,735,427,735,0.000254,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.045546,149548,TRUE,FALSE,431,735,427,735,0.000256,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.040288,149924,FALSE,FALSE,431,735,427,735,0.000255,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0,16056,FALSE,TRUE,431,735,427,735,0.000257,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,2237440,NONE,FALSE,431,735,427,735,0.00032,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.044919,148944,FALSE,FALSE,431,735,427,735,0.000153,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,14752,TRUE,TRUE,431,735,427,735,0.000321,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,15780,FALSE,TRUE,431,735,427,735,0.000319,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.044027,148436,TRUE,FALSE,431,735,353,666,0.00262,14105038,62,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,16276,FALSE,TRUE,431,735,427,735,0.000253,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.076282,149184,FALSE,FALSE,431,735,427,735,0.000258,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,15800,FALSE,TRUE,431,735,427,735,0.000253,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,9,0.039257,149536,FALSE,FALSE,431,735,427,735,0.000149,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.041246,149056,TRUE,FALSE,846,1148,846,1148,0.000176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,10,0.044351,150264,FALSE,FALSE,846,1148,846,1148,0.000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,11,0.045605,151568,FALSE,FALSE,846,1148,846,1148,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,12,0.042058,149740,TRUE,FALSE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,13,0.07539,149564,FALSE,FALSE,846,1148,846,1148,0.00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,14,0.00068,16948,FALSE,FALSE,846,1148,378,692,0.001967,25975265,452,0,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,15,0.046451,150476,FALSE,FALSE,846,1148,846,1148,0.000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,16,0.0,1547032,NONE,FALSE,846,1148,846,1148,0.000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.040354,149752,FALSE,FALSE,846,1148,846,1148,0.000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,15860,FALSE,TRUE,846,1148,366,680,0.001946,19192482,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,15452,FALSE,TRUE,846,1148,846,1148,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,915224,NONE,FALSE,846,1148,846,1148,0.000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,1525004,NONE,FALSE,846,1148,846,1148,0.000181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.000493,38756,FALSE,FALSE,846,1148,846,1148,0.000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,17260,FALSE,TRUE,846,1148,846,1148,0.000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0.0,17584,TRUE,TRUE,846,1148,846,1148,0.000108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.046847,150532,FALSE,FALSE,626,1008,488,890,0.001948,0,108,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.046095,149832,FALSE,FALSE,626,1008,618,1008,0.000225,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.046826,150780,FALSE,FALSE,626,1008,618,1008,0.000217,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,16732,TRUE,TRUE,626,1008,618,1008,0.000218,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,16092,FALSE,TRUE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.044123,149188,FALSE,FALSE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,16472,FALSE,TRUE,626,1008,618,1008,0.000362,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.045503,149124,FALSE,FALSE,626,1008,618,1008,0.000215,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,16756,TRUE,TRUE,626,1008,618,1008,0.000212,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,14916,TRUE,TRUE,626,1008,491,892,0.001951,0,106,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.049368,149380,FALSE,FALSE,626,1008,618,1008,0.000211,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.0,1278972,NONE,FALSE,626,1008,618,1008,0.000214,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,43.9957,747764,FALSE,FALSE,626,1008,618,1008,0.000213,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.040521,149728,FALSE,FALSE,626,1008,618,1008,0.000362,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,16756,FALSE,TRUE,626,1008,618,1008,0.00021,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.043829,149672,TRUE,FALSE,626,1008,618,1008,0.000217,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.050643,152364,FALSE,FALSE,1242,1621,1242,1621,0.000148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0.0,18016,TRUE,TRUE,1242,1621,1242,1621,0.000141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
