model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.044799,261296,FALSE,FALSE,87,33676,87,33676,0.000469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.037368,261292,TRUE,FALSE,87,33676,87,33676,0.000475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.532109,261292,FALSE,FALSE,87,33676,87,33676,0.000423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,165692,TRUE,TRUE,87,33676,87,33676,0.000468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.036804,261292,TRUE,FALSE,87,33676,87,33676,0.000459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.000757,17188,FALSE,FALSE,87,33676,63,742,0.388775,9600001,21,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.037522,148840,FALSE,FALSE,87,33676,61,742,0.377647,8800000,23,0,0,32908,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.06219,261292,FALSE,FALSE,87,33676,87,33676,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.043191,148392,FALSE,FALSE,87,33676,64,801,0.378291,10560001,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.052859,261292,FALSE,FALSE,87,33676,87,33676,0.000438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.250956,261232,FALSE,FALSE,87,33676,87,33676,0.000456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.037239,261232,FALSE,FALSE,87,33676,87,33676,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.038408,261292,TRUE,FALSE,87,33676,87,33676,0.000447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,165688,FALSE,TRUE,87,33676,87,33676,0.000432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.035792,261348,TRUE,FALSE,87,33676,87,33676,0.000425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
