model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,308968,NONE,FALSE,87,33676,86,11807,0.808827,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,306128,NONE,FALSE,87,33676,86,11806,0.817368,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,254008,NONE,FALSE,87,33676,86,11806,0.806671,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,428936,NONE,FALSE,87,33676,86,11807,0.813778,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,253772,NONE,FALSE,87,33676,86,11806,0.814582,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,406724,NONE,FALSE,87,33676,86,11806,0.807186,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,372096,NONE,FALSE,87,33676,86,11807,0.817283,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,269952,NONE,FALSE,87,33676,86,11806,0.808806,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.003158,10440,FALSE,FALSE,431,735,365,674,0.00315,0,52,4,12,6,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.0,889064,NONE,FALSE,431,735,358,668,0.001889,0,55,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,843284,NONE,FALSE,431,735,360,670,0.002184,0,53,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5724,FALSE,TRUE,431,735,360,669,0.001401,0,54,6,13,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,816904,NONE,FALSE,431,735,361,671,0.003117,0,53,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.000715,6980,FALSE,FALSE,431,735,358,668,0.003125,0,55,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,769040,NONE,FALSE,431,735,361,671,0.001596,0,52,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,915572,NONE,FALSE,431,735,359,669,0.003115,0,54,6,14,7,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01b,1,0.001601,7664,FALSE,FALSE,846,1148,451,754,0.005755,0,316,10,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.002118,7636,FALSE,FALSE,846,1148,443,748,0.004629,0,320,11,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0.0,2034688,NONE,FALSE,846,1148,448,753,0.002665,0,315,11,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.001161,5748,FALSE,FALSE,846,1148,2,2,0.001871,0,312,9,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0.0,890280,NONE,FALSE,846,1148,450,753,0.002652,0,318,11,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0.0,2036916,NONE,FALSE,846,1148,445,750,0.005966,0,320,11,6,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0.0,700392,NONE,FALSE,846,1148,447,751,0.005707,0,317,11,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0.0,889164,NONE,FALSE,846,1148,457,759,0.004651,0,312,11,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0.0,1029180,NONE,FALSE,626,1008,518,909,0.004279,0,77,8,20,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,6316,FALSE,TRUE,626,1008,514,907,0.00426,0,79,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.000768,7084,FALSE,FALSE,626,1008,514,907,0.001891,0,79,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.0,1052608,NONE,FALSE,626,1008,514,907,0.001903,0,79,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.000854,7028,FALSE,FALSE,626,1008,514,907,0.004032,0,79,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,1023840,NONE,FALSE,626,1008,516,909,0.00332,0,77,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,1052176,NONE,FALSE,626,1008,517,910,0.004169,0,76,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,1143420,NONE,FALSE,626,1008,516,909,0.004243,0,77,8,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.001043,7612,FALSE,FALSE,1242,1621,646,1030,0.004825,0,479,20,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0.0,1113264,NONE,FALSE,1242,1621,637,1023,0.002754,0,479,20,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,909672,NONE,FALSE,1242,1621,651,1035,0.004837,0,472,20,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,998440,NONE,FALSE,1242,1621,642,1026,0.002774,0,484,18,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.0,1056928,NONE,FALSE,1242,1621,632,1018,0.00619,0,484,20,14,3,0,0,0,0,1,0,0,0,0,0,0,0,0
