model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,86,33834,0.002217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,86,11767,0.272228,0,0,0,0,21908,0,0,0,0,0,0,0,0,0,0,0,0,106
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,86,33834,0.002302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,86,33834,0.002302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,86,33834,0.00228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,86,33834,0.002263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,86,33834,0.002267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,86,33834,0.002342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,364,674,0.002444,0,48,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,7
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,365,682,0.000326,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,58
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,362,679,0.000554,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,61
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,365,681,0.000698,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,59
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,365,675,0.001562,0,47,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,7
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,364,681,0.000697,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,59
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,362,679,0.000339,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,61
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,362,679,0.000489,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,61
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,517,825,0.001123,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,30,628
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,519,826,0.000719,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,30,627
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,518,824,0.001643,0,310,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,12
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,516,824,0.000712,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,30,629
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,520,828,0.001209,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,30,606
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,519,827,0.001194,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,16,619
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,522,830,0.001219,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,27,623
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,516,824,0.000701,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,30,629
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,518,912,0.00213,0,71,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,15
ASLink-PT-02a,2,0.0,0,NONE,FALSE,626,1008,518,922,0.000455,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,94
ASLink-PT-02a,3,0.0,0,NONE,FALSE,626,1008,519,913,0.00213,0,70,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,15
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,518,922,0.000444,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,94
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,518,922,0.000448,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,94
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,520,923,0.000769,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,93
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,518,922,0.000786,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,94
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,518,922,0.000452,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,94
ASLink-PT-02b,1,0.0,0,NONE,FALSE,1242,1621,737,1164,0.002303,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,30,962
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,735,1159,0.00233,0,475,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,738,1161,0.002357,0,474,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,25
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,736,1160,0.002614,0,474,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,26
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,739,1166,0.001377,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,30,967
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,734,1161,0.001052,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,30,972
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,733,1160,0.001047,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,30,973
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,735,1162,0.001265,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,30,969
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,677,1166,0.000607,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,128
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,677,1166,0.000598,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,128
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,678,1167,0.001042,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,127
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,678,1157,0.002766,0,101,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-03a,5,0.0,0,NONE,FALSE,821,1281,679,1168,0.000598,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,126
ASLink-PT-03a,6,0.0,0,NONE,FALSE,821,1281,679,1158,0.002767,0,100,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,677,1166,0.000741,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,128
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,677,1166,0.000605,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,128
ASLink-PT-03b,1,0.0,0,NONE,FALSE,1638,2094,955,1468,0.002002,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1221
ASLink-PT-03b,2,0.0,0,NONE,FALSE,1638,2094,959,1437,0.001256,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1182
ASLink-PT-03b,3,0.0,0,NONE,FALSE,1638,2094,958,1470,0.002808,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1215
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,957,1470,0.001282,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1219
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,958,1471,0.001302,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1201
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,828,1371,0.006665,0,634,0,21,15,0,33,0,0,0,0,0,0,1,0,0,0,38
ASLink-PT-03b,7,0.0,0,NONE,FALSE,1638,2094,954,1467,0.001296,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1222
ASLink-PT-03b,8,0.0,0,NONE,FALSE,1638,2094,956,1469,0.001274,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1220
