model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,66,35182,0.010258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1504
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,64,801,0.383838,0,0,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,563
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,67,35088,0.00932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1410
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,68,35006,0.009134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,65,35264,0.010632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,66,35244,0.010193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,64,35454,0.011415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,66,35074,0.014794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1396
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,347,664,0.001613,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,73
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,348,669,0.000646,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,78
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,344,669,0.000656,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,83
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,347,671,0.000641,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,81
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,349,666,0.002716,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,71
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,348,672,0.000573,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,80
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,345,666,0.000503,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,81
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,344,669,0.000302,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,83
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,353,798,0.000996,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,38,1269
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,355,799,0.001005,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,40,1269
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,345,750,0.003164,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,40,1278
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,357,801,0.000968,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,39,1255
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,357,797,0.000997,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,40,1247
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,353,768,0.000805,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,23,1165
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,360,804,0.001436,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,36,1263
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,355,799,0.001722,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,40,1276
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,467,878,0.004669,0,0,0,31,10,0,0,0,0,0,0,0,0,2,0,0,1,134
ASLink-PT-02a,2,0.0,0,NONE,FALSE,626,1008,481,897,0.000446,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,134
ASLink-PT-02a,3,0.0,0,NONE,FALSE,626,1008,470,880,0.002692,0,0,0,30,10,0,0,0,0,0,0,0,0,2,0,0,1,132
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,483,898,0.000453,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,133
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,481,897,0.00045,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,134
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,483,898,0.000776,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,133
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,481,897,0.000455,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,134
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,482,898,0.000686,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,133
ASLink-PT-02b,1,0.0,0,NONE,FALSE,1242,1621,495,1246,0.003386,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,61,2500
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,478,1008,0.006872,0,0,0,33,10,0,0,0,0,0,0,0,0,2,0,0,61,2518
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,481,1010,0.006706,0,0,0,32,10,0,0,0,0,0,0,0,0,2,0,0,61,2523
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,483,1011,0.006417,0,0,0,32,10,0,0,0,0,0,0,0,0,2,0,0,61,2511
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,502,1207,0.00279,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,61,2278
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,493,1244,0.003385,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,61,2498
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,491,1242,0.003386,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,61,2511
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,492,1243,0.003379,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,61,2508
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,618,1125,0.000731,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,185
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,618,1125,0.000608,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,185
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,619,1126,0.0006,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,184
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,600,1100,0.0033,0,0,0,43,13,0,0,0,0,0,0,0,0,2,0,0,1,187
ASLink-PT-03a,5,0.0,0,NONE,FALSE,821,1281,623,1129,0.000604,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,181
ASLink-PT-03a,6,0.0,0,NONE,FALSE,821,1281,600,1101,0.003308,0,0,0,44,13,0,0,0,0,0,0,0,0,2,0,0,1,186
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,618,1125,0.000593,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,185
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,618,1125,0.000603,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,185
ASLink-PT-03b,1,0.0,0,NONE,FALSE,1638,2094,632,2589,0.02602,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,82,7702
ASLink-PT-03b,2,0.0,0,NONE,FALSE,1638,2094,635,1472,0.014835,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,82,6346
ASLink-PT-03b,3,0.0,0,NONE,FALSE,1638,2094,636,2592,0.025576,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,82,7692
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,634,2591,0.025748,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,80,7687
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,638,2594,0.026031,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,82,7676
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,612,1267,0.031764,0,0,0,47,13,0,0,0,0,0,0,0,0,2,0,0,82,7727
