model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,65,35181,0.010757,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1504
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,67,35288,0.011371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,66,35087,0.009842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1410
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,68,35006,0.009442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,65,35264,0.01102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,66,35244,0.010902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,64,35454,0.012412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,65,35073,0.009965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1396
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,370,678,0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,371,675,0.000316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,64
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,367,675,0.000325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,69
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,369,677,0.000336,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,372,680,0.000293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,369,677,0.000324,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,368,672,0.000318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,67
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,367,675,0.000321,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,69
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,384,775,0.001442,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,38,1249
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,384,775,0.001628,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1250
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,384,775,0.000923,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1253
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,386,777,0.000904,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39,1240
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,387,773,0.000924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1228
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,384,775,0.000736,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,1145
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,389,780,0.001555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1244
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,384,775,0.000924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,1257
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,522,908,0.000276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112
ASLink-PT-02a,2,0.0,0,NONE,FALSE,626,1008,522,908,0.000268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112
ASLink-PT-02a,3,0.0,0,NONE,FALSE,626,1008,524,910,0.000271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,110
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,523,909,0.000419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,111
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,522,908,0.000421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,523,909,0.000469,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,111
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,522,908,0.000266,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,523,909,0.000457,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,111
ASLink-PT-02b,1,0.0,0,NONE,FALSE,1242,1621,549,1052,0.004498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2468
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,548,1051,0.003472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2469
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,549,1052,0.004036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2475
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,548,1051,0.003463,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2472
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,554,1049,0.003345,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2246
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,548,1051,0.004181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2465
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,546,1049,0.003436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2478
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,547,1050,0.00338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61,2475
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,677,1141,0.000607,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,155
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,677,1141,0.000346,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,155
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,679,1143,0.00034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,678,1142,0.0006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,154
ASLink-PT-03a,5,0.0,0,NONE,FALSE,821,1281,681,1145,0.000585,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,151
ASLink-PT-03a,6,0.0,0,NONE,FALSE,821,1281,679,1143,0.000344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,153
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,677,1141,0.000595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,155
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,677,1141,0.000344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,155
ASLink-PT-03b,1,0.0,0,NONE,FALSE,1638,2094,711,1326,0.034886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,7656
ASLink-PT-03b,2,0.0,0,NONE,FALSE,1638,2094,714,1289,0.014697,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,6300
ASLink-PT-03b,3,0.0,0,NONE,FALSE,1638,2094,713,1328,0.031078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,7650
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,713,1328,0.028063,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,80,7641
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,715,1330,0.028381,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,7635
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,712,1327,0.028239,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,7655
ASLink-PT-03b,7,0.0,0,NONE,FALSE,1638,2094,710,1325,0.027901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,82,7650
ASLink-PT-03b,8,0.0,0,NONE,FALSE,1638,2094,711,2601,0.024399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7614
ASLink-PT-04a,1,0.0,0,NONE,FALSE,1016,1554,837,1379,0.000916,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,192
ASLink-PT-04a,2,0.0,0,NONE,FALSE,1016,1554,832,1374,0.000647,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,198
ASLink-PT-04a,3,0.0,0,NONE,FALSE,1016,1554,832,1374,0.000909,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,198
ASLink-PT-04a,4,0.0,0,NONE,FALSE,1016,1554,832,1374,0.000414,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,198
ASLink-PT-04a,5,0.0,0,NONE,FALSE,1016,1554,834,1376,0.000373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197
ASLink-PT-04a,6,0.0,0,NONE,FALSE,1016,1554,832,1374,0.000425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,198
ASLink-PT-04a,7,0.0,0,NONE,FALSE,1016,1554,832,1374,0.000417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,198
ASLink-PT-04a,8,0.0,0,NONE,FALSE,1016,1554,834,1376,0.000416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,196
ASLink-PT-04b,1,0.0,0,NONE,FALSE,2034,2567,880,1607,0.608533,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36578
ASLink-PT-04b,2,0.0,0,NONE,FALSE,2034,2567,878,1600,0.493674,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36583
ASLink-PT-04b,3,0.0,0,NONE,FALSE,2034,2567,877,1604,0.611452,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36593
ASLink-PT-04b,4,0.0,0,NONE,FALSE,2034,2567,882,1609,0.602332,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36364
ASLink-PT-04b,5,0.0,0,NONE,FALSE,2034,2567,879,1606,0.608188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36583
ASLink-PT-04b,6,0.0,0,NONE,FALSE,2034,2567,879,1606,0.606546,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36587
ASLink-PT-04b,7,0.0,0,NONE,FALSE,2034,2567,878,1605,0.608114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36592
ASLink-PT-04b,8,0.0,0,NONE,FALSE,2034,2567,876,1603,0.607488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,103,36593
ASLink-PT-05a,1,0.0,0,NONE,FALSE,1211,1827,987,1607,0.000493,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,241
ASLink-PT-05a,2,0.0,0,NONE,FALSE,1211,1827,989,1609,0.000449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
ASLink-PT-05a,3,0.0,0,NONE,FALSE,1211,1827,989,1609,0.000492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,239
ASLink-PT-05a,4,0.0,0,NONE,FALSE,1211,1827,987,1607,0.000507,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,241
ASLink-PT-05a,5,0.0,0,NONE,FALSE,1211,1827,988,1608,0.000487,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,240
ASLink-PT-05a,6,0.0,0,NONE,FALSE,1211,1827,990,1610,0.000488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,237
ASLink-PT-05a,7,0.0,0,NONE,FALSE,1211,1827,990,1610,0.000483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,237
ASLink-PT-05a,8,0.0,0,NONE,FALSE,1211,1827,987,1607,0.000488,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,241
ASLink-PT-05b,1,0.0,0,NONE,FALSE,2430,3040,1042,1877,0.637586,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,40474
ASLink-PT-05b,2,0.0,0,NONE,FALSE,2430,3040,1040,1879,22.0495,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124,208079
ASLink-PT-05b,3,0.0,0,NONE,FALSE,2430,3040,1040,1879,0.736008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,37112
ASLink-PT-05b,4,0.0,0,NONE,FALSE,2430,3040,1047,1886,0.579305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95,36981
ASLink-PT-05b,5,0.0,0,NONE,FALSE,2430,3040,1044,1883,22.4737,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124,208087
ASLink-PT-05b,6,0.0,0,NONE,FALSE,2430,3040,1043,1882,0.748959,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,40447
ASLink-PT-05b,7,0.0,0,NONE,FALSE,2430,3040,1036,2075,0.00812,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,5230
ASLink-PT-05b,8,0.0,0,NONE,FALSE,2430,3040,1045,1884,22.5276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122,208070
ASLink-PT-06a,1,0.0,0,NONE,FALSE,1406,2100,1143,1841,0.000565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,283
ASLink-PT-06a,2,0.0,0,NONE,FALSE,1406,2100,1143,1841,0.000562,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,283
ASLink-PT-06a,3,0.0,0,NONE,FALSE,1406,2100,1143,1841,0.000567,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,283
ASLink-PT-06a,4,0.0,0,NONE,FALSE,1406,2100,1144,1842,0.000584,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,281
ASLink-PT-06a,5,0.0,0,NONE,FALSE,1406,2100,1144,1842,0.000568,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,282
ASLink-PT-06a,6,0.0,0,NONE,FALSE,1406,2100,1144,1842,0.000517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
ASLink-PT-06a,7,0.0,0,NONE,FALSE,1406,2100,1144,1842,0.000577,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,282
ASLink-PT-06a,8,0.0,0,NONE,FALSE,1406,2100,1143,1841,0.000881,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,283
