model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,66,35182,0.009688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,64,801,0.377083,0,0,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,563
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,67,35088,0.008972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,68,35006,0.008419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,65,35264,0.009956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,66,35244,0.009894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,64,35454,0.011139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,66,35074,0.008846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,347,664,0.002811,0,54,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,15
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,348,669,0.000727,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,78
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,344,669,0.000339,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,83
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,347,671,0.000338,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,81
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,349,666,0.002442,0,53,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,14
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,348,672,0.000712,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,80
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,345,666,0.000723,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,81
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,344,669,0.000729,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,83
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,351,786,0.00233,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1259
