model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.030925,170312,TRUE,FALSE,87,33676,87,33676,0.000682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,5920,NONE,FALSE,87,33676,62,727,0.590694,9600000,22,0,0,32901,0,0,23,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.031167,170332,FALSE,FALSE,87,33676,87,33676,0.000666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,167980,TRUE,TRUE,87,33676,87,33676,0.000607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6184,NONE,FALSE,87,33676,70,809,0.590269,0,16,0,0,32831,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.029062,170316,FALSE,FALSE,87,33676,87,33676,0.00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,170452,TRUE,TRUE,87,33676,87,33676,0.00066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,168348,NONE,FALSE,87,33676,87,33676,0.000917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,6918232,NONE,FALSE,87,33676,87,33676,0.000653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,18.3904,170768,FALSE,FALSE,87,33676,87,33676,0.000844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,7164712,NONE,FALSE,87,33676,87,33676,0.000843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,167648,FALSE,TRUE,87,33676,87,33676,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6188,FALSE,TRUE,87,33676,63,770,0.600813,10560000,21,0,0,32859,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,167056,NONE,FALSE,87,33676,87,33676,0.000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,168944,FALSE,TRUE,87,33676,87,33676,0.000868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,6448,NONE,FALSE,87,33676,69,864,0.583001,0,16,0,0,32794,0,0,0,2,0,0,0,0,0,0,0,0,0
