model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6248,FALSE,TRUE,87,33676,67,802,1.14639,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6240,TRUE,TRUE,87,33676,67,762,1.27013,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5976,FALSE,TRUE,87,33676,61,698,1.20345,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3408,FALSE,TRUE,87,33676,1,1,1.08172,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6040,FALSE,TRUE,87,33676,62,727,1.21547,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.008135,7136,FALSE,FALSE,87,33676,64,731,1.19661,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.005281,7292,FALSE,FALSE,87,33676,64,743,1.22946,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6204,FALSE,TRUE,87,33676,64,761,1.20715,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5976,FALSE,TRUE,87,33676,60,697,1.2762,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.012874,7184,FALSE,FALSE,87,33676,61,698,1.40176,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6240,TRUE,TRUE,87,33676,63,772,1.20322,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5976,FALSE,TRUE,87,33676,60,697,1.20988,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6244,FALSE,TRUE,87,33676,65,800,1.2156,0,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
