model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,2592,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,3440,TRUE,TRUE,431,735,8,1,0.001528,2,54,16,32,7,0,1,1,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,10,0.0,3380,TRUE,TRUE,431,735,7,0,0.001486,1,57,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,11,0.0,3316,TRUE,TRUE,431,735,2,0,0.001509,1,57,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,12,0.0,3316,TRUE,TRUE,431,735,2,0,0.001474,1,57,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,13,0.0,3248,FALSE,TRUE,431,735,1,0,0.001681,1,57,18,27,8,0,11,10,0,2,0,0,0,2,0,0,0,0
ASLink-PT-01a,14,0.0,3252,FALSE,TRUE,431,735,1,0,0.001456,1,56,18,26,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,15,0.0,3372,TRUE,TRUE,431,735,4,0,0.001449,1,56,13,26,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,16,0.0,3372,TRUE,TRUE,431,735,7,0,0.001472,1,51,17,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,2,0.0,3308,TRUE,TRUE,431,735,2,0,0.001505,1,57,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,3,0.0,3312,TRUE,TRUE,431,735,1,0,0.001497,1,55,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,4,0.0,3252,FALSE,TRUE,431,735,1,0,0.001492,1,56,18,26,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,5,0.0,3440,TRUE,TRUE,431,735,12,1,0.001527,2,53,18,33,8,0,1,1,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,6,0.0,3376,TRUE,TRUE,431,735,3,0,0.001503,1,57,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,7,0.0,3760,TRUE,TRUE,431,735,6,1,0.001505,2,54,18,27,8,0,10,9,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,8,0.0,3252,FALSE,TRUE,431,735,1,0,0.001496,1,56,18,27,8,0,11,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,9,0.0,3436,FALSE,TRUE,431,735,3,1,0.001519,2,55,18,34,8,0,1,1,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,1,0.0,3468,TRUE,TRUE,846,1148,5,2,0.002209,3,445,29,31,8,0,6,5,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,10,0.0,3336,FALSE,TRUE,846,1148,2,0,0.002197,1,447,30,29,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,11,0.0,3404,FALSE,TRUE,846,1148,8,0,0.002186,1,443,24,25,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,12,0.0,3404,TRUE,TRUE,846,1148,3,0,0.002183,1,447,29,28,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,13,0.0,3400,FALSE,TRUE,846,1148,4,0,0.002175,1,446,25,28,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,14,0.0,3404,TRUE,TRUE,846,1148,9,0,0.002185,1,442,27,27,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,15,0.0,3788,TRUE,TRUE,846,1148,9,1,0.002185,2,441,29,27,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,16,0.0,3404,TRUE,TRUE,846,1148,3,0,0.002183,1,445,29,27,7,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,2,0.0,3336,TRUE,TRUE,846,1148,1,0,0.002184,1,448,30,29,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,3,0.0,3720,FALSE,TRUE,846,1148,5,1,0.002139,2,444,30,28,8,0,9,9,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,4,0.0,3340,TRUE,TRUE,846,1148,1,0,0.002151,1,447,30,29,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,5,0.0,3400,TRUE,TRUE,846,1148,4,0,0.002182,1,446,29,28,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,6,0.0,3404,TRUE,TRUE,846,1148,3,0,0.002178,1,446,29,29,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,7,0.0,3340,TRUE,TRUE,846,1148,2,0,0.002213,1,446,30,27,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,8,0.0,3404,TRUE,TRUE,846,1148,6,0,0.00219,1,442,30,27,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-01b,9,0.0,3336,FALSE,TRUE,846,1148,1,0,0.002172,1,449,30,29,8,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02a,1,0.0,2604,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0.0,2600,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0.0,2596,NONE,FALSE,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0.0,3456,TRUE,TRUE,1242,1621,9,1,0.003108,2,666,46,46,10,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,10,0.0,3284,FALSE,TRUE,1242,1621,1,0,0.003103,1,675,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,11,0.0,3344,FALSE,TRUE,1242,1621,2,0,0.003028,1,672,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,12,0.0,3472,FALSE,TRUE,1242,1621,9,1,0.003061,2,665,43,45,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,13,0.0,3348,TRUE,TRUE,1242,1621,1,0,0.003043,1,674,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,14,0.0,3416,TRUE,TRUE,1242,1621,6,0,0.003036,1,665,42,44,10,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,15,0.0,3472,FALSE,TRUE,1242,1621,6,1,0.003032,2,670,46,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,16,0.0,3284,FALSE,TRUE,1242,1621,1,0,0.003033,1,674,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,2,0.0,3788,TRUE,TRUE,1242,1621,6,1,0.003051,2,668,47,46,11,0,10,10,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,3,0.0,3476,FALSE,TRUE,1242,1621,11,1,0.003051,2,662,45,42,10,0,14,14,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,4,0.0,3796,TRUE,TRUE,1242,1621,8,2,0.003057,3,671,46,48,11,0,16,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,5,0.0,3348,TRUE,TRUE,1242,1621,2,0,0.003069,1,673,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,6,0.0,3284,FALSE,TRUE,1242,1621,1,0,0.003027,1,674,46,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,7,0.0,3420,FALSE,TRUE,1242,1621,7,0,0.003038,1,667,46,47,10,0,15,15,0,1,0,0,0,1,0,0,0,0
ASLink-PT-02b,8,0.0,3348,TRUE,TRUE,1242,1621,2,0,0.003112,1,672,47,48,11,0,15,15,0,1,0,0,0,1,0,0,0,0
