model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.027696,0,TRUE,FALSE,87,33676,80,34098,0.007557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,87,33676,0.001828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,51.7384,0,FALSE,FALSE,87,33676,85,33836,0.004685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
ARMCacheCoherence-PT-none,4,0.0,0,FALSE,TRUE,87,33676,85,33916,0.005119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,67,35260,0.02044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,66,35087,0.017754,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1410
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,65,35261,0.020773,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1586
ARMCacheCoherence-PT-none,8,0.0,0,FALSE,TRUE,87,33676,86,33758,0.003576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,393,697,0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
ASLink-PT-01a,2,0.023674,0,FALSE,FALSE,431,735,376,680,0.000226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,379,687,0.000254,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,56
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,372,676,0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,372,680,0.000256,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,64
ASLink-PT-01a,6,0.022118,0,FALSE,FALSE,431,735,393,697,0.000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
ASLink-PT-01a,7,2.07178,0,TRUE,FALSE,431,735,392,696,0.000241,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41
ASLink-PT-01a,8,0.099779,0,FALSE,FALSE,431,735,388,696,0.000242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
ASLink-PT-01b,1,0.023446,0,TRUE,FALSE,846,1148,443,759,0.000885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,894
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,501,852,0.000797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826
ASLink-PT-01b,3,0.0,0,TRUE,TRUE,846,1148,427,730,0.000954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,914
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,426,773,0.000924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,988
ASLink-PT-01b,5,0.0,0,TRUE,TRUE,846,1148,575,915,0.000735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632
ASLink-PT-01b,6,0.0,0,FALSE,TRUE,846,1148,390,778,0.001529,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,33,1203
ASLink-PT-01b,7,0.0,0,FALSE,TRUE,846,1148,462,813,0.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884
ASLink-PT-01b,8,0.0,0,FALSE,TRUE,846,1148,468,806,0.000888,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,883
ASLink-PT-02a,1,0.0,0,TRUE,TRUE,626,1008,522,908,0.000367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112
ASLink-PT-02a,2,0.0,0,TRUE,TRUE,626,1008,553,935,0.000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
ASLink-PT-02a,3,0.023166,0,TRUE,FALSE,626,1008,544,926,0.000341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
ASLink-PT-02a,4,0.024309,0,FALSE,FALSE,626,1008,529,915,0.00033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
ASLink-PT-02a,5,0.001732,0,FALSE,FALSE,626,1008,529,915,0.000501,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
ASLink-PT-02a,6,0.751192,0,FALSE,FALSE,626,1008,531,917,0.000333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,561,943,0.000306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
ASLink-PT-02a,8,0.0,0,FALSE,TRUE,626,1008,532,918,0.000389,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100
ASLink-PT-02b,1,0.025449,0,TRUE,FALSE,1242,1621,674,1099,0.001275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1243
