model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,FALSE,TRUE,87,33676,67,802,7.46196,0,0,0,0,32797,0,0,1,3,2,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,2,0.0,0,FALSE,TRUE,87,33676,60,697,7.45406,0,0,0,0,32895,0,0,0,3,2,0,0,0,1,0,0,1,649
ARMCacheCoherence-PT-none,3,0.007487,0,FALSE,FALSE,87,33676,61,698,7.664,0,0,0,0,32895,0,0,0,3,2,0,0,0,1,0,0,1,647
ARMCacheCoherence-PT-none,4,0.0,0,TRUE,TRUE,87,33676,63,772,7.42007,0,0,0,0,32825,0,0,1,2,2,0,0,0,1,0,0,1,551
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,60,697,7.57682,0,0,0,0,32895,0,0,0,3,2,0,0,0,1,0,0,1,649
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,65,800,7.48014,0,0,0,0,32797,0,0,0,3,2,0,0,0,1,0,0,1,491
ARMCacheCoherence-PT-none,7,0.002263,0,TRUE,FALSE,87,33676,62,699,7.45342,0,0,0,0,32895,0,0,2,3,2,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,0,TRUE,TRUE,87,33676,62,727,7.38085,0,0,0,0,32867,0,0,0,3,2,0,0,0,0,0,0,0,593
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,348,661,0.00508,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,71
ASLink-PT-01a,2,0.002475,0,FALSE,FALSE,431,735,336,657,0.006137,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,1,80
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,338,659,0.005652,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,1,78
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,338,658,0.006282,0,0,0,17,7,0,0,0,0,0,0,0,0,2,0,0,1,79
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,348,665,0.005269,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,73
ASLink-PT-01a,6,0.002563,0,FALSE,FALSE,431,735,336,657,0.006627,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,1,80
ASLink-PT-01a,7,0.0,0,TRUE,TRUE,431,735,339,660,0.006151,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,1,77
ASLink-PT-01a,8,0.0,0,FALSE,TRUE,431,735,337,658,0.006543,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,1,79
ASLink-PT-01b,1,0.003245,0,FALSE,FALSE,846,1148,352,755,0.007945,0,0,0,19,7,0,0,0,0,0,0,0,0,1,0,0,23,1157
ASLink-PT-01b,2,0.008279,0,FALSE,FALSE,846,1148,343,748,0.008338,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,40,1277
ASLink-PT-01b,3,0.0,0,FALSE,TRUE,846,1148,347,752,0.010032,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,38,1255
ASLink-PT-01b,4,0.0,0,TRUE,TRUE,846,1148,344,749,0.009806,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,40,1283
ASLink-PT-01b,5,0.010762,0,FALSE,FALSE,846,1148,347,751,0.009557,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,40,1280
ASLink-PT-01b,6,0.0,0,TRUE,TRUE,846,1148,346,751,0.010265,0,0,0,19,7,0,0,0,0,0,0,0,0,2,0,0,40,1273
ASLink-PT-01b,7,0.011504,0,FALSE,FALSE,846,1148,347,751,0.010138,0,0,0,18,7,0,0,0,0,0,0,0,0,2,0,0,40,1273
ASLink-PT-01b,8,0.0,0,TRUE,TRUE,846,1148,357,759,0.010086,0,0,0,17,7,0,0,0,0,0,0,0,0,2,0,0,40,1273
ASLink-PT-02a,1,1.70686,0,FALSE,FALSE,626,1008,471,880,0.008697,0,0,0,29,10,0,0,0,0,0,0,0,0,2,0,0,1,132
ASLink-PT-02a,2,0.0,0,FALSE,TRUE,626,1008,467,878,0.008766,0,0,0,31,10,0,0,0,0,0,0,0,0,2,0,0,1,134
ASLink-PT-02a,3,0.0,0,TRUE,TRUE,626,1008,467,878,0.008624,0,0,0,31,10,0,0,0,0,0,0,0,0,2,0,0,1,134
