model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6256,FALSE,TRUE,87,33676,67,802,1.17684,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6240,TRUE,TRUE,87,33676,67,762,1.2124,0,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5976,FALSE,TRUE,87,33676,61,698,1.21289,0,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3412,FALSE,TRUE,87,33676,1,1,1.09674,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6048,FALSE,TRUE,87,33676,62,727,1.21595,0,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.006863,7096,FALSE,FALSE,87,33676,64,731,1.26114,0,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.005291,7304,FALSE,FALSE,87,33676,64,743,1.21196,0,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6216,FALSE,TRUE,87,33676,64,761,1.20714,0,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5976,FALSE,TRUE,87,33676,60,697,1.16751,0,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.010914,7196,FALSE,FALSE,87,33676,61,698,1.33979,0,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6240,TRUE,TRUE,87,33676,63,772,1.20405,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
