model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,FALSE,TRUE,87,33676,67,802,1.13695,0,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,2,0.0,0,FALSE,TRUE,87,33676,60,697,1.08861,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.009725,0,FALSE,FALSE,87,33676,61,698,1.21257,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,0,TRUE,TRUE,87,33676,63,772,1.2171,0,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,60,697,1.1907,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,65,800,1.22233,0,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.002494,0,TRUE,FALSE,87,33676,62,699,1.20399,0,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,0,TRUE,TRUE,87,33676,62,727,1.20298,0,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,348,661,0.006287,0,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,2,0.002455,0,FALSE,FALSE,431,735,333,650,0.005746,0,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,335,652,0.006961,0,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,335,651,0.006461,0,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,345,658,0.003321,0,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,6,0.002676,0,FALSE,FALSE,431,735,333,650,0.00589,0,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,7,0.0,0,TRUE,TRUE,431,735,336,653,0.006681,0,54,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,8,0.0,0,FALSE,TRUE,431,735,334,651,0.006858,0,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01b,1,0.00791,0,FALSE,FALSE,846,1148,346,720,0.006421,0,445,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,2,0.00225,0,FALSE,FALSE,846,1148,335,662,0.007371,0,448,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,3,0.0,0,FALSE,TRUE,846,1148,339,666,0.008683,0,444,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,4,0.0,0,TRUE,TRUE,846,1148,336,663,0.007395,0,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,5,0.003507,0,FALSE,FALSE,846,1148,341,666,0.005864,0,446,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,30
