model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,FALSE,TRUE,87,33676,67,802,1.18911,0,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,0,FALSE,TRUE,87,33676,60,697,1.21876,0,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.01291,0,FALSE,FALSE,87,33676,61,698,1.21597,0,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,0,TRUE,TRUE,87,33676,63,772,1.21543,0,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,FALSE,TRUE,87,33676,60,697,1.23998,0,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,FALSE,TRUE,87,33676,65,800,1.2104,0,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.002524,0,TRUE,FALSE,87,33676,62,699,1.22931,0,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,TRUE,TRUE,87,33676,62,727,1.20231,0,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,0,TRUE,TRUE,431,735,349,662,0.004988,0,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.002424,0,FALSE,FALSE,431,735,334,651,0.005408,0,69,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,3,0.0,0,TRUE,TRUE,431,735,336,653,0.006521,0,67,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,4,0.0,0,FALSE,TRUE,431,735,336,652,0.006527,0,68,18,18,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,5,0.0,0,TRUE,TRUE,431,735,346,659,0.004556,0,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.003091,0,FALSE,FALSE,431,735,334,651,0.006429,0,69,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,7,0.0,0,TRUE,TRUE,431,735,337,654,0.006719,0,66,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01a,8,0.0,0,FALSE,TRUE,431,735,335,652,0.005605,0,68,18,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,1,0.005276,0,FALSE,FALSE,846,1148,353,667,0.006472,0,455,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0.0031,0,FALSE,FALSE,846,1148,342,659,0.008208,0,462,30,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,3,0.0,0,FALSE,TRUE,846,1148,346,663,0.007032,0,458,30,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,4,0.0,0,TRUE,TRUE,846,1148,343,660,0.00731,0,461,30,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,5,0.003792,0,FALSE,FALSE,846,1148,348,663,0.008197,0,459,29,19,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,6,0.0,0,TRUE,TRUE,846,1148,344,661,0.008015,0,460,29,21,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,7,0.002958,0,FALSE,FALSE,846,1148,346,662,0.008079,0,459,30,20,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-01b,8,0.0,0,TRUE,TRUE,846,1148,356,669,0.008184,0,452,30,18,8,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,1,25.051,0,FALSE,FALSE,626,1008,470,875,0.008874,0,112,27,30,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,2,0.0,0,FALSE,TRUE,626,1008,465,872,0.008415,0,114,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,3,0.0,0,TRUE,TRUE,626,1008,465,872,0.007281,0,114,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,4,0.002526,0,FALSE,FALSE,626,1008,465,872,0.008668,0,114,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,5,0.002526,0,FALSE,FALSE,626,1008,465,872,0.007416,0,114,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,6,0.0,0,TRUE,TRUE,626,1008,467,874,0.008517,0,112,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,7,0.0,0,FALSE,TRUE,626,1008,474,879,0.008441,0,108,27,31,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02a,8,0.020343,0,FALSE,FALSE,626,1008,467,874,0.00861,0,112,28,32,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02b,1,0.003072,0,FALSE,FALSE,1242,1621,491,895,0.011146,0,687,46,32,10,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02b,2,0.0,0,TRUE,TRUE,1242,1621,482,888,0.011309,0,692,47,34,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02b,3,2.28616,0,TRUE,FALSE,1242,1621,499,901,0.009806,0,682,45,30,10,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02b,4,0.021782,0,FALSE,FALSE,1242,1621,479,886,0.011403,0,695,46,35,11,0,0,0,0,0,0,0,0,1,0,0,0,0
ASLink-PT-02b,5,0.058397,0,FALSE,FALSE,1242,1621,476,883,0.010089,0,697,47,35,11,0,0,0,0,0,0,0,0,1,0,0,0,0
