model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6264,FALSE,TRUE,87,33676,67,802,1.20606,0,0,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,489
ARMCacheCoherence-PT-none,2,0.0,5980,FALSE,TRUE,87,33676,60,697,1.25044,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,3,0.007384,7204,FALSE,FALSE,87,33676,61,698,1.20659,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,4,0.0,6244,TRUE,TRUE,87,33676,63,772,1.20184,0,1,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,551
ARMCacheCoherence-PT-none,5,0.0,5980,FALSE,TRUE,87,33676,60,697,1.3058,0,1,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,649
ARMCacheCoherence-PT-none,6,0.0,6264,FALSE,TRUE,87,33676,65,800,1.21165,0,1,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,491
ARMCacheCoherence-PT-none,7,0.002361,7200,TRUE,FALSE,87,33676,62,699,1.18149,0,0,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,647
ARMCacheCoherence-PT-none,8,0.0,6056,TRUE,TRUE,87,33676,62,727,1.21949,0,0,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,593
ASLink-PT-01a,1,0.0,6436,TRUE,TRUE,431,735,348,661,0.004311,0,54,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ASLink-PT-01a,2,0.002278,7640,FALSE,FALSE,431,735,333,650,0.005418,0,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,3,0.0,5512,TRUE,TRUE,431,735,335,652,0.004605,0,55,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,4,0.0,5512,FALSE,TRUE,431,735,335,651,0.004977,0,56,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,5,0.0,5848,TRUE,TRUE,431,735,345,658,0.002919,0,53,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,9
ASLink-PT-01a,6,0.002752,8116,FALSE,FALSE,431,735,333,650,0.004518,0,57,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,7,0.0,5888,TRUE,TRUE,431,735,336,653,0.004629,0,54,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01a,8,0.0,5524,FALSE,TRUE,431,735,334,651,0.004311,0,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,13
ASLink-PT-01b,1,0.007855,7120,FALSE,FALSE,846,1148,346,720,0.005608,0,445,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,2,0.002469,7636,FALSE,FALSE,846,1148,335,662,0.006796,0,448,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,3,0.0,5772,FALSE,TRUE,846,1148,339,666,0.006054,0,444,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,4,0.0,5544,TRUE,TRUE,846,1148,336,663,0.006138,0,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,5,0.003774,7532,FALSE,FALSE,846,1148,341,666,0.004311,0,446,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,6,0.0,5604,TRUE,TRUE,846,1148,337,664,0.006536,0,446,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-01b,7,0.002633,7564,FALSE,FALSE,846,1148,339,665,0.009622,0,446,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,30
ASLink-PT-01b,8,0.0,5860,TRUE,TRUE,846,1148,349,672,0.004122,0,442,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,27
ASLink-PT-02a,1,22.176,57956,FALSE,FALSE,626,1008,469,874,0.005857,0,91,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,2,0.0,6256,FALSE,TRUE,626,1008,464,871,0.005941,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,3,0.0,6296,TRUE,TRUE,626,1008,464,871,0.005975,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,4,0.004778,7472,FALSE,FALSE,626,1008,464,871,0.006805,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,5,0.002194,7472,FALSE,FALSE,626,1008,464,871,0.008127,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,6,0.0,6376,TRUE,TRUE,626,1008,466,873,0.005743,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02a,7,0.0,6544,FALSE,TRUE,626,1008,473,878,0.004089,0,91,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,20
ASLink-PT-02a,8,0.00667,7536,FALSE,FALSE,626,1008,466,873,0.005238,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-02b,1,0.002431,7580,FALSE,FALSE,1242,1621,485,889,0.009576,0,666,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-02b,2,0.0,6336,TRUE,TRUE,1242,1621,474,890,0.009224,0,668,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,3,4.88278,21428,TRUE,FALSE,1242,1621,492,904,0.009533,0,662,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,39
ASLink-PT-02b,4,0.02151,7044,FALSE,FALSE,1242,1621,472,889,0.009242,0,671,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-02b,5,0.20628,6976,FALSE,FALSE,1242,1621,468,885,0.00815,0,673,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-02b,6,0.0,6264,FALSE,TRUE,1242,1621,467,884,0.007872,0,674,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,45
ASLink-PT-02b,7,0.529835,8536,TRUE,FALSE,1242,1621,480,896,0.007905,0,667,46,34,10,0,3,0,0,0,0,0,0,0,0,0,0,41
ASLink-PT-02b,8,0.141034,8036,FALSE,FALSE,1242,1621,469,886,0.007218,0,672,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-03a,1,0.0,142716,NONE,FALSE,821,1281,596,1093,0.007477,0,129,33,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,2,0.003621,8876,FALSE,FALSE,821,1281,597,1093,0.009636,0,128,38,44,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,3,0.0,7108,TRUE,TRUE,821,1281,622,1109,0.003936,0,124,38,41,14,0,0,0,0,0,0,0,0,0,0,0,0,19
ASLink-PT-03a,4,0.0,7040,TRUE,TRUE,821,1281,595,1092,0.007182,0,129,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,5,0.0,122604,NONE,FALSE,821,1281,595,1092,0.006418,0,129,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,6,0.0,7036,TRUE,TRUE,821,1281,600,1096,0.008216,0,129,38,45,14,0,5,0,0,0,0,0,0,0,0,0,0,29
ASLink-PT-03a,7,0.0,7040,FALSE,TRUE,821,1281,596,1093,0.007195,0,129,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03a,8,0.004591,8400,FALSE,FALSE,821,1281,596,1093,0.008109,0,128,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-03b,1,0.0,7036,FALSE,TRUE,1638,2094,601,1107,0.011527,0,899,64,48,14,0,6,0,0,0,0,0,0,0,0,0,0,57
ASLink-PT-03b,2,1.13604,10228,FALSE,FALSE,1638,2094,628,1130,0.010144,0,885,62,45,13,0,4,0,0,0,0,0,0,0,0,0,0,48
ASLink-PT-03b,3,0.0,7040,FALSE,TRUE,1638,2094,599,1106,0.009943,0,900,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,57
ASLink-PT-03b,4,0.005961,8432,TRUE,FALSE,1638,2094,601,1108,0.008883,0,898,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,57
ASLink-PT-03b,5,0.0,101752,NONE,FALSE,1638,2094,602,1108,0.010038,0,899,63,48,14,0,6,0,0,0,0,0,0,0,0,0,0,57
ASLink-PT-03b,6,0.002371,8064,FALSE,FALSE,1638,2094,608,1113,0.009244,0,897,63,48,14,0,5,0,0,0,0,0,0,0,0,0,0,51
