model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,0,NONE,FALSE,87,33676,86,33675,0.001285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ARMCacheCoherence-PT-none,2,0.0,0,NONE,FALSE,87,33676,64,801,0.377414,0,20,0,0,32852,0,0,0,3,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,0,NONE,FALSE,87,33676,86,33675,0.00133,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ARMCacheCoherence-PT-none,4,0.0,0,NONE,FALSE,87,33676,87,33676,0.000622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,0,NONE,FALSE,87,33676,87,33676,0.000603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,0,NONE,FALSE,87,33676,87,33676,0.000598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.0,0,NONE,FALSE,87,33676,87,33676,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,0,NONE,FALSE,87,33676,86,33675,0.001327,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,1,0.0,0,NONE,FALSE,431,735,352,665,0.002441,0,63,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.0,0,NONE,FALSE,431,735,426,734,0.000365,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,3,0.0,0,NONE,FALSE,431,735,426,734,0.000364,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,4,0.0,0,NONE,FALSE,431,735,426,734,0.000359,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,5,0.0,0,NONE,FALSE,431,735,353,666,0.00265,0,62,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.0,0,NONE,FALSE,431,735,426,734,0.000465,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,7,0.0,0,NONE,FALSE,431,735,426,734,0.00037,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01a,8,0.0,0,NONE,FALSE,431,735,426,734,0.000361,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-01b,1,0.0,0,NONE,FALSE,846,1148,808,1110,0.000746,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,38,0
ASLink-PT-01b,2,0.0,0,NONE,FALSE,846,1148,806,1108,0.00035,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0
ASLink-PT-01b,3,0.0,0,NONE,FALSE,846,1148,366,680,0.00196,0,461,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0.0,0,NONE,FALSE,846,1148,807,1109,0.000346,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,39,0
ASLink-PT-01b,5,0.0,0,NONE,FALSE,846,1148,806,1108,0.000353,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0
ASLink-PT-01b,6,0.0,0,NONE,FALSE,846,1148,823,1125,0.00035,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0
ASLink-PT-01b,7,0.0,0,NONE,FALSE,846,1148,810,1112,0.000348,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,36,0
ASLink-PT-01b,8,0.0,0,NONE,FALSE,846,1148,806,1108,0.000343,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,40,0
ASLink-PT-02a,1,0.0,0,NONE,FALSE,626,1008,488,890,0.00198,0,108,0,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0.0,0,NONE,FALSE,626,1008,617,1007,0.000299,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02a,3,0.0,0,NONE,FALSE,626,1008,491,892,0.001963,0,106,0,29,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0.0,0,NONE,FALSE,626,1008,617,1007,0.000468,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02a,5,0.0,0,NONE,FALSE,626,1008,617,1007,0.000303,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02a,6,0.0,0,NONE,FALSE,626,1008,617,1007,0.000302,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02a,7,0.0,0,NONE,FALSE,626,1008,617,1007,0.000306,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02a,8,0.0,0,NONE,FALSE,626,1008,617,1007,0.000661,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-02b,1,0.0,0,NONE,FALSE,1242,1621,1181,1560,0.000498,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0
ASLink-PT-02b,2,0.0,0,NONE,FALSE,1242,1621,511,913,0.002699,0,698,0,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0.0,0,NONE,FALSE,1242,1621,513,914,0.002653,0,697,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0.0,0,NONE,FALSE,1242,1621,513,914,0.004095,0,697,0,32,10,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0.0,0,NONE,FALSE,1242,1621,1181,1560,0.000488,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0
ASLink-PT-02b,6,0.0,0,NONE,FALSE,1242,1621,1181,1560,0.000489,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0
ASLink-PT-02b,7,0.0,0,NONE,FALSE,1242,1621,1181,1560,0.000501,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0
ASLink-PT-02b,8,0.0,0,NONE,FALSE,1242,1621,1181,1560,0.000488,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,61,0
ASLink-PT-03a,1,0.0,0,NONE,FALSE,821,1281,808,1280,0.000883,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-03a,2,0.0,0,NONE,FALSE,821,1281,808,1280,0.000548,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-03a,3,0.0,0,NONE,FALSE,821,1281,809,1281,0.000509,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,4,0.0,0,NONE,FALSE,821,1281,630,1119,0.002461,0,149,0,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,5,0.0,0,NONE,FALSE,821,1281,808,1280,0.000626,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-03a,6,0.0,0,NONE,FALSE,821,1281,630,1120,0.002945,0,148,0,43,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,7,0.0,0,NONE,FALSE,821,1281,808,1280,0.000405,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-03a,8,0.0,0,NONE,FALSE,821,1281,808,1280,0.000406,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-03b,1,0.0,0,NONE,FALSE,1638,2094,1556,2012,0.000648,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,82,0
ASLink-PT-03b,2,0.0,0,NONE,FALSE,1638,2094,1556,2012,0.000647,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,82,0
ASLink-PT-03b,3,0.0,0,NONE,FALSE,1638,2094,1556,2012,0.000671,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,82,0
ASLink-PT-03b,4,0.0,0,NONE,FALSE,1638,2094,1558,2014,0.000648,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,80,0
ASLink-PT-03b,5,0.0,0,NONE,FALSE,1638,2094,1556,2012,0.000649,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,82,0
ASLink-PT-03b,6,0.0,0,NONE,FALSE,1638,2094,657,1147,0.00338,0,934,0,47,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,7,0.0,0,NONE,FALSE,1638,2094,1556,2012,0.000645,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,82,0
ASLink-PT-03b,8,0.0,0,NONE,FALSE,1638,2094,1638,2094,0.000197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,1,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000524,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04a,2,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000908,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04a,3,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000519,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04a,4,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000514,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04a,5,0.0,0,NONE,FALSE,1016,1554,1000,1554,0.000646,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,6,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000508,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04a,7,0.0,0,NONE,FALSE,1016,1554,768,1346,0.002911,0,192,0,56,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,8,0.0,0,NONE,FALSE,1016,1554,999,1553,0.000644,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-04b,1,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.001773,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,2,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000846,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,3,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000819,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,4,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000807,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,5,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000815,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,6,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000794,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,7,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000809,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-04b,8,0.0,0,NONE,FALSE,2034,2567,1931,2464,0.000826,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,103,0
ASLink-PT-05a,1,0.0,0,NONE,FALSE,1211,1827,1190,1826,0.000623,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-05a,2,0.0,0,NONE,FALSE,1211,1827,1191,1827,0.000471,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05a,3,0.0,0,NONE,FALSE,1211,1827,911,1576,0.003423,0,232,0,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05a,4,0.0,0,NONE,FALSE,1211,1827,1190,1826,0.000631,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-05a,5,0.0,0,NONE,FALSE,1211,1827,910,1575,0.003387,0,233,0,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-05a,6,0.0,0,NONE,FALSE,1211,1827,1190,1826,0.000628,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-05a,7,0.0,0,NONE,FALSE,1211,1827,1190,1826,0.000633,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ASLink-PT-05a,8,0.0,0,NONE,FALSE,1211,1827,1190,1826,0.000633,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0
