"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L"
"ARMCacheCoherence-PT-none","1","300.00","138608","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01a","1","300.00","201708","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","1","89.31","7836","FALSE","FALSE","846","1148","846","1148","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","300.00","129648","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","300.00","8500","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","1","300.00","104576","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03b","1","300.00","10068","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04a","1","300.00","8540","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-04b","1","300.00","11120","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-05a","1","300.00","9532","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-05b","1","300.00","12464","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-06a","1","300.00","10328","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-06b","1","300.00","13956","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-07a","1","300.00","11384","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-07b","1","300.00","15064","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-08a","1","300.00","11976","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-08b","1","300.00","16632","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-09a","1","300.00","12820","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-09b","1","300.00","17948","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-10a","1","300.00","13464","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-10b","1","300.00","19268","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0010","1","0.14","6604","TRUE","FALSE","89","88","89","88","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0020","1","0.64","6976","FALSE","FALSE","159","168","159","168","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0050","1","8.37","6984","TRUE","FALSE","369","408","369","408","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0100","1","21.25","8464","FALSE","FALSE","719","808","719","808","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0200","1","159.33","12932","FALSE","FALSE","1419","1608","1419","1608","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-0500","1","300.00","25672","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-1000","1","300.00","47456","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-2000","1","300.00","91252","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AirplaneLD-PT-4000","1","300.00","178668","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-01","1","0.11","6304","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-05","1","0.25","6368","FALSE","FALSE","39","64","39","64","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-10","1","0.03","6320","TRUE","FALSE","39","64","39","64","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-15","1","2.08","9752","FALSE","FALSE","39","64","39","64","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-20","1","0.86","6840","FALSE","FALSE","39","64","39","64","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-25","1","300.01","698164","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angiogenesis-PT-50","1","19.07","50100","TRUE","FALSE","39","64","39","64","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-01a","1","0.02","6188","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-01b","1","0.51","6516","FALSE","FALSE","114","112","114","112","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-02a","1","0.05","6516","TRUE","FALSE","57","55","57","45","0","0","0","0","0","0","0","0","0","0","0","10"
"AutoFlight-PT-02b","1","1.15","6780","FALSE","FALSE","206","204","206","204","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-03a","1","0.18","6516","TRUE","FALSE","82","80","82","65","0","0","0","0","0","0","0","0","0","0","0","15"
"AutoFlight-PT-03b","1","3.47","7112","FALSE","FALSE","298","296","298","296","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-04a","1","0.64","6516","FALSE","FALSE","107","105","107","85","0","0","0","0","0","0","0","0","0","0","0","20"
"AutoFlight-PT-04b","1","7.78","7084","FALSE","FALSE","390","388","390","388","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-05a","1","1.46","6780","TRUE","FALSE","132","130","132","105","0","0","0","0","0","0","0","0","0","0","0","25"
"AutoFlight-PT-05b","1","300.01","266108","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-06a","1","0.60","6780","TRUE","FALSE","157","155","157","125","0","0","0","0","0","0","0","0","0","0","0","30"
"AutoFlight-PT-06b","1","26.12","7516","TRUE","FALSE","574","572","574","572","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-12a","1","3.81","7068","FALSE","FALSE","307","305","307","245","0","0","0","0","0","0","0","0","0","0","0","60"
"AutoFlight-PT-12b","1","190.07","8516","FALSE","FALSE","1126","1124","1126","1124","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-24a","1","29.55","7424","FALSE","FALSE","607","605","607","485","0","0","0","0","0","0","0","0","0","0","0","120"
"AutoFlight-PT-24b","1","300.00","10064","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-48a","1","300.00","126360","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-48b","1","300.00","14592","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-96a","1","300.00","10852","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-96b","1","300.00","24804","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
