model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,173596,FALSE,TRUE,87,33676,70,34986,0.017546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1306
ARMCacheCoherence-PT-none,10,0.0,173088,TRUE,TRUE,87,33676,69,35050,0.018913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
ARMCacheCoherence-PT-none,11,0.0,174360,FALSE,TRUE,87,33676,64,35451,0.025607,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,12,0.0,173844,FALSE,TRUE,87,33676,64,35454,0.02388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,13,0.0,175392,FALSE,TRUE,87,33676,65,35261,0.021882,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586
ARMCacheCoherence-PT-none,14,0.148646,174080,FALSE,FALSE,87,33676,66,35244,0.020559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580
ARMCacheCoherence-PT-none,15,0.119333,175156,FALSE,FALSE,87,33676,67,35368,0.022473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692
ARMCacheCoherence-PT-none,16,0.0,173616,FALSE,TRUE,87,33676,65,35073,0.021345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396
ARMCacheCoherence-PT-none,2,0.0,175288,FALSE,TRUE,87,33676,63,35453,0.024561,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,3,1.01135,175892,FALSE,FALSE,87,33676,64,35451,0.024523,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,4,0.0,174660,TRUE,TRUE,87,33676,65,35181,0.021639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504
ARMCacheCoherence-PT-none,5,0.0,176456,FALSE,TRUE,87,33676,63,35453,0.025208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780
ARMCacheCoherence-PT-none,6,0.0,173416,FALSE,TRUE,87,33676,68,34987,0.019909,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308
ARMCacheCoherence-PT-none,7,0.303229,176672,TRUE,FALSE,87,33676,65,35452,0.023457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ARMCacheCoherence-PT-none,8,0.0,175084,TRUE,TRUE,87,33676,65,35264,0.021128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588
ARMCacheCoherence-PT-none,9,0.0,175736,FALSE,TRUE,87,33676,64,35451,0.024655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778
ASLink-PT-01a,1,0.0,5872,TRUE,TRUE,431,735,371,675,0.000173,14910343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
