model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6220,FALSE,TRUE,87,33676,67,802,0.58382,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6200,TRUE,TRUE,87,33676,67,762,0.58278,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5940,FALSE,TRUE,87,33676,61,698,0.582929,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3372,FALSE,TRUE,87,33676,1,1,0.531771,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,6012,FALSE,TRUE,87,33676,62,727,0.58359,9600000,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004215,7056,FALSE,FALSE,87,33676,64,731,0.578827,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003235,7260,FALSE,FALSE,87,33676,64,743,0.57952,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,6176,FALSE,TRUE,87,33676,64,761,0.577912,21780000,22,0,0,32873,0,0,17,1,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5936,FALSE,TRUE,87,33676,60,697,0.58206,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.006722,7152,FALSE,FALSE,87,33676,61,698,0.584104,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,6196,TRUE,TRUE,87,33676,63,772,0.581068,14520000,22,0,0,32859,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5932,FALSE,TRUE,87,33676,60,697,0.581349,8000000,24,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,6216,FALSE,TRUE,87,33676,65,800,0.581363,12480000,19,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,7,0.001222,7152,TRUE,FALSE,87,33676,62,699,0.579585,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6076,TRUE,TRUE,87,33676,62,727,0.580056,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5940,FALSE,TRUE,87,33676,61,698,0.587496,8800000,23,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ASLink-PT-01a,1,0.0,5976,TRUE,TRUE,431,735,349,662,0.002153,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,10,0.0,5600,TRUE,TRUE,431,735,334,651,0.002713,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,11,0.0139,7488,FALSE,FALSE,431,735,334,651,0.002729,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,12,0.080307,7524,FALSE,FALSE,431,735,334,651,0.002705,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,13,0.0,5476,FALSE,TRUE,431,735,334,651,0.00272,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,14,0.0,5476,FALSE,TRUE,431,735,336,652,0.002712,12117203,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,15,0.0017,7548,FALSE,FALSE,431,735,336,653,0.002734,10666892,68,13,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,16,0.0,5604,TRUE,TRUE,431,735,340,657,0.00273,10549701,63,17,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,2,0.001177,6960,FALSE,FALSE,431,735,334,651,0.002727,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,3,0.0,5532,TRUE,TRUE,431,735,336,653,0.002699,10384623,67,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,4,0.0,5476,FALSE,TRUE,431,735,336,652,0.002727,10379103,68,18,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,5,0.0,5820,TRUE,TRUE,431,735,346,659,0.002158,13686182,61,18,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,6,0.001382,7544,FALSE,FALSE,431,735,334,651,0.002739,10327611,69,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,7,0.0,6048,TRUE,TRUE,431,735,337,654,0.002728,10446384,66,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01a,8,0.0,5476,FALSE,TRUE,431,735,335,652,0.002711,10357080,68,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
