model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,6204,FALSE,TRUE,87,33676,67,802,0.583559,13728001,17,0,0,32831,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.0,6192,TRUE,TRUE,87,33676,67,762,0.582126,23232001,18,0,0,32873,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,5516,FALSE,TRUE,87,33676,38,563,0.580089,120960,32,0,0,32929,0,9,41,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3364,FALSE,TRUE,87,33676,1,1,0.530398,2,0,0,0,32425,0,0,16,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,5672,FALSE,TRUE,87,33676,39,595,0.58101,155520,31,0,0,32901,0,9,38,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,14,0.004164,7044,FALSE,FALSE,87,33676,64,731,0.581372,17600001,21,0,0,32901,0,0,17,2,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.003132,7252,FALSE,FALSE,87,33676,64,743,0.584056,10400001,20,0,0,32887,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.0,5828,FALSE,TRUE,87,33676,42,625,0.580348,362880,29,0,0,32873,0,9,42,1,1,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,5516,FALSE,TRUE,87,33676,38,565,0.583339,120960,33,0,0,32929,0,8,38,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,3,0.005616,6804,FALSE,FALSE,87,33676,40,567,0.58205,164640,31,0,0,32929,0,8,38,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,5848,TRUE,TRUE,87,33676,41,639,0.579767,246960,30,0,0,32859,0,8,39,2,1,0,0,0,2,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,5520,FALSE,TRUE,87,33676,38,565,0.581041,120960,33,0,0,32929,0,8,38,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,5876,FALSE,TRUE,87,33676,42,668,0.581035,230400,28,0,0,32831,0,9,38,3,1,0,0,0,1,0,0,0,0
ARMCacheCoherence-PT-none,7,0.001189,7144,TRUE,FALSE,87,33676,62,699,0.618602,8800001,22,0,0,32929,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,8,0.0,6064,TRUE,TRUE,87,33676,62,727,0.583456,8800001,22,0,0,32901,0,0,17,3,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,9,0.0,5584,FALSE,TRUE,87,33676,38,563,0.582576,120960,32,0,0,32929,0,9,41,3,1,0,0,0,1,0,0,0,0
ASLink-PT-01a,1,0.0,5968,TRUE,TRUE,431,735,349,662,0.002647,13221562,61,16,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
