model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,1725024,NONE,FALSE,87,33676,86,11807,1.12096,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,10,0.005873,63128,FALSE,FALSE,87,33676,86,11808,1.12273,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,11,0.0,948348,NONE,FALSE,87,33676,86,11806,1.12069,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,12,0.0,3376,FALSE,TRUE,87,33676,1,1,0.368173,2,0,0,0,21802,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,1452284,NONE,FALSE,87,33676,86,11806,1.12333,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,14,0.0,1427076,NONE,FALSE,87,33676,86,11808,1.12313,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,15,0.004674,64352,FALSE,FALSE,87,33676,86,11807,1.1222,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,16,0.007413,63396,TRUE,FALSE,87,33676,86,11808,1.13021,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,2,0.0,1778368,NONE,FALSE,87,33676,86,11806,1.1263,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,3,0.0,947760,NONE,FALSE,87,33676,86,11806,1.12309,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,4,0.0,1652932,NONE,FALSE,87,33676,86,11807,1.12542,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,5,0.0,946748,NONE,FALSE,87,33676,86,11806,1.12155,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,6,0.0,1617264,NONE,FALSE,87,33676,86,11806,1.12283,0,1,0,0,21853,0,0,1,0,1,0,0,0,0,0,0,0,0
