model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ARMCacheCoherence-PT-none,1,0.0,1769788,NONE,FALSE,87,33676,86,11723,3.23231,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,10,0.005769,63972,FALSE,FALSE,87,33676,86,11724,3.23633,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,11,0.0,947596,NONE,FALSE,87,33676,86,11722,3.21783,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,12,0.0,3376,FALSE,TRUE,87,33676,1,1,0.374076,2,0,0,0,21802,0,0,1,0,1,0,0,0,0,0,0,0,0
ARMCacheCoherence-PT-none,13,0.0,1451648,NONE,FALSE,87,33676,86,11722,3.24221,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,14,0.0,1419008,NONE,FALSE,87,33676,86,11724,3.24179,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,15,0.004788,62756,FALSE,FALSE,87,33676,86,11723,3.29992,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,16,0.007436,63224,TRUE,FALSE,87,33676,86,11724,3.23389,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,2,0.0,1782428,NONE,FALSE,87,33676,86,11722,3.23598,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,3,0.0,946920,NONE,FALSE,87,33676,86,11722,3.22883,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,4,0.0,1658752,NONE,FALSE,87,33676,86,11723,3.23778,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
ARMCacheCoherence-PT-none,5,0.0,947612,NONE,FALSE,87,33676,86,11722,3.23358,0,0,0,0,21908,0,0,1,0,1,0,0,29,0,0,0,0,106
